---pTx_1ej8 Braves vs. Cubs Game Highlights (4/18/21) | MLB Highlights
-3-bmNoZSbg Astros vs. Blue Jays Game Highlights (6/6/21) | MLB Highlights
-3PQbtQn9e0 Giants vs. Dodgers Game Highlights (7/21/21) | MLB Highlights
-3kbyyB2gIQ Dodgers come back behind Mookie Betts, Max Muncy | Dodgers-Angels Game Highlights 8/15/20
-6z0JZkWUiM Nationals vs. Phillies Game Highlights (7/27/21) | MLB Highlights
-9yUAgQ8d1w Orioles vs. Blue Jays Game Highlights (9/1/21) | MLB Highlights
-A-rx5Ka5Tk Vlad Guerrero Jr.'s homer leads Blue Jays to playoffs | Yankees-Blue Jays Game Highlights 9/24/20
-AoCPVanP5E Cody Bellinger crushes walk-off home run | Rockies-Dodgers Game Highlights 8/22/20
-GKMYEw8XDk Brad Keller's shutout fuels Royals | Pirates-Royals Game Highlights 9/13/20
-GQjf4m0KiE Nick Margevicius throws six scoreless in 3-2 win | Astros-Mariners Game Highlights 9/23/20
-J3C5ETjJjk Giants vs. Nationals Game Highlights (6/13/21) | MLB Highlights
-LFl6v3zGHE Astros vs. White Sox ALDS Game 3 Highlights (10/10/21) | MLB Highlights
-SVLFdPl-iA Lowe homers twice, Rays take World Series Game 2 to even series | Rays-Dodgers Game 2 Highlights
-T3WRGIQo8o Tigers vs. Indians Game Highlights (4/9/21) | MLB Highlights
-VKdP8mnS2A Braves vs. Rockies Game Highlights (9/3/21) | MLB Highlights
-Wts5O_XFH0 Athletics vs. Mariners Game Highlights (7/23/21) | MLB Highlights
-ZvQrfM9AYQ Brewers vs. Rockies Game Highlights (6/18/21) | MLB Highlights
-bu_jhCGBzQ D-backs vs. Dodgers Game Highlights (9/13/21) | MLB Highlights
-cQE_mPr_a4 Rangers vs. Angels Game Highlights (4/20/21) | MLB Highlights
-dM6bfEzsG0 Yankees vs. Orioles Game Highlights (4/29/21) | MLB Highlights
-dyoZK_XuaU Marlins vs. Pirates Game Highlights (6/4/21) MLB Highlights
