11bhka58cKM Why We Keep Retelling the Classics (Feat. Princess Weekes) | It's Lit
1YxH43Cw6tI What People Get Wrong About African-American English | Otherwords
3Yid7IQh-Dg How Do Clichés Evolve into Memes? | Otherwords
3qZxD0wfH-M Why Do People Think Huck Finn Is Racist? (Feat. Princess Weekes) | It's Lit
4E_RmBMH-6A How Gargoyles Became Monsters | Monstrum
4IYisDTeycY The Fatal Song of the Sirens | Monstrum
523gI5kZSSA The Enchanting Fairies of Celtic Lore | Monstrum
5sC_5SsMI8A Why George Romero Changed Zombies Forever | Monstrum
6xPFdX5qEyk The Killer Origins of the Werewolf | Monstrum
7ZhrOnxbccY Yara-ma-yha-who: Australia’s Regurgitating, Blood-Sucking Monster | Monstrum
8wws89pdCDY Monster Bugs, Attack! The Origins of 𠆋ig Bug’ Science Fiction | Monstrum
98M3Az_ku4A The Crazed Hunt for the Himalayan Yeti | Monstrum
Am6PkJ1seGI El Silbón: The Deadly Whistler of the South American Grasslands| Monstrum
Ba19Lemgu2U Werehyena: The Terrifying Shapeshifters of African Lore | Monstrum
C6NNOOUgHag How Isis Brought Her True Love Back From the Dead | Fate & Fabled
CRpwhM9RScg Basilisk or Cockatrice? The Mysterious King of Serpents | Monstrum
D21xMcTuTms Why We Still Love Little Women, 150 Years Later (feat. Lindsay Ellis and Princess Weekes) | It's Lit
DDfK3wf3V_I The (Stephen) King of Horror Feat. Lindsay Ellis | It’s Lit
DL5UytyNZ5o Is Swearing Good for Your Brain? | Otherwords
Fap4bdUwelQ What's the Longest Word? | Otherwords
FcNUxb_4qbo Will-o’-the-Wisp: Monstrous Flame or Scientific Phenomenon? | Monstrum
Fe8_13i7wDY How Do You Write a Bestseller? (Feat. @Lindsay Ellis) | It's Lit
GUpeDwiD64M Mothman: America's Notorious Winged Monster | Monstrum
HejyXGQN-wk What Constellations Mean to Different Cultures | Fate & Fabled
I15v-4b4Mk0 Adze: the Shapeshifting Firefly from West Africa | Monstrum
IxzNEMnzmeg 60 Euphemisms for Death! | Otherwords
JBVn4SzvImo Slender Man: How The Internet Created a Monster | Monstrum
JqFNjFakpDc Octavia Butler, The Grand Dame of Science Fiction | It’s Lit
KIGmsxBMnjA The Origins of the Zombie, from Haiti to the U.S. | Monstrum
LRNMa65cuEo Fire Cat or Fire Cart? The History of Japan’s Kasha | Monstrum
OgDAFxVm5tw Popular Words Invented by Authors | Otherwords
Qc93hC9WAfo Dracula: The First Modern Vampire | Monstrum
RR1rILLuUzE The Legend of La Llorona | Monstrum
RXAq_eN1sSU Trolls: Scandinavia’s Malevolent, Magical Outcasts | Monstrum
R_FWt-jLAW8 Why the Dragon is Central to Chinese Culture | Monstrum
S91lr1mnF3o The Original Headless Horseman | Monstrum
SZkgRYX2JUc Welcome to Fate & Fabled!
SzJvpmoWQrI Dune, The Most Important Sci Fi Series Ever? (Feat. Princess Weekes) | It’s Lit
TeUGl1rOXx0 Bunyip: Australia’s Mysterious Amphibian Monster | Monstrum
UCfOH_RKgmU Golem: The Mysterious Clay Monster of Jewish Lore | Monstrum
UbLG7FOKRxE To Kill, To Kill a Mockingbird? | It’s Lit
UqPvWdX4ICE Modern Zombies: The Rebirth of the Undead | Monstrum
VFlyQk_uVAI The Constructed Languages of JRR Tolkien (Feat. Lindsay Ellis) | It’s Lit
VNM1Y8i8tuI Draugr: The Undead Nordic Zombie | Monstrum
VUg44ImYIIo Inside the Absurdist Mind of Kurt Vonnegut | It's Lit
Vo1qv8uYlAs The Original Urban Legend: Spring-heeled Jack | Monstrum
VsZVKCQHdlo How Dragons Conquered the World | Monstrum
X-epEUnqnP0 Martians! How Aliens Invaded Earth | Monstrum
XphVJIxOwd8 Why Are Cats Mythology’s Most Popular Creatures? | Fate & Fabled
YI1xmwqGEBw Afrofuturism: From Books to Blockbusters | It’s Lit
YvdedlbyrQM Jinn: The Ancient Arabian Shapeshifters | Monstrum
Z3UTpq3OBp0 Why Edgar Allan Poe Isn't Just a Sad Boy | It's Lit
_WC-zpVw-Xo The Fates: Greek Mythology's Most Powerful Deities | Fate & Fabled
_axaqyGbSmk Manananggal: The Flying, Disembodied, Blood Sucking Nightmare | Monstrum
a2gt_TK5hXQ The Women of Jane Austen | It's Lit
aNTemQym0d8 How to Survive a Zombie Apocalypse (with Dr. Z) | Monstrum
aS4VCxMeWQM Baba Yaga: The Ancient Origins of the Famous ‘Witch’ | Monstrum
aff9ZQLClcU The Werewolf’s Modern Metamorphosis | Monstrum
bdDIMOehLm8 The Case for Fan Fiction (feat. Lindsay Ellis and Princess Weekes) | It’s Lit
c7Q_ABFyewM Nuckelavee: Scotland’s Skinless Evil Monstrosity | Monstrum
c_ywuNEEiVE The Dark Origins of Hansel and Gretel | Monstrum
d-jkZE8AdLA El Chupacabras, a Modern Mystery | Monstrum
d1ZU6EFDdas The It’s Lit! Musical Episode (Feat. Lindsay Ellis)
d2UccTPnl4w Can Computers REALLY Talk? Or Are They Faking It? | Otherwords
dsYyBdg4emI Frankenstein is More Horrific Than You Might Think | Monstrum
