Speaker 1:          00:03          Yeah,

Speaker 2:          00:10          I write every day. I get up around five or so and get two little kids off to school and then I go to work around nine and work until four o'clock or so and then do it pretty much every day. Oh, I wish. No, it doesn't get easier. It gets harder in fact, because I, you can't write the same book and that would, that's always tempting to making a sentences is hard work. You can't copy your own sentences and you can't copy those of others. And so you're searching, you're searching for a certain grace in a certain rhythm and melody that's underneath the pros that carries the story.

Speaker 2:          00:59          Great question. The first answer that pops in my head is absolutism certainty. I'm certain about very little in this world and I just trust those who are, they have a, I feel a stinker. The smell of, of a blinders and of, of uh, compacity and pretentiousness that for me, a companies, uh, certainty or a little bit of hype. Hypocrisy also weaves its way through absolutism. And there's so much of it around us on television. Every talk show seems to have it. And in the real world, I'm always encountering people who declare things about the world I live in with the certainty that I just don't, don't see around me. And in my writing that shows. That's why the issue of truth appears so much throughout all of my books that I'm skeptical of. Well, what's declared to be true?

Speaker 2:          02:00          I don't think pride is the right word. I look, I look at the book now 20 years after having written it with a sense of dissociation. I find it hard to believe that those stories are mine and those sentences are mine. And in a way they aren't any longer. They're part of a world of literature. A book goes out and it takes on its own. I want to say it someone life, but it's the own, the about illness and identity that is divorced from the person who, who made it. And I feel sometimes even now, but like a fraud that I know I wrote the book and intellectually I know it, but, um, it to read, it surprises me at times, phrasal surprise me or an event will surprise me and come at me a bit, little bit as a stranger's voice does. And in a way, I am a stranger. The person who wrote that book, I'm 20 years older and I've had 20 years of, of new experiences, children and things I never had before that make that old voice seem old.

Speaker 2:          03:12          No, no way. It's life is eerily, and uncannily echoed that final chapter of the block where the timmy, that little kid at the end of that book was a forerunner to the author who wrote the book. It's an effort, uh, as the story says at the end of say, little timmy is life. I A little boy who grew up in a small cow town in southern Minnesota and found himself in a entangled and in Vietnam, but not just in Vietnam and in hard moral choices that it never had occurred to me I'd ever faced in my life. And the little naive lone ranger playing timmy that became that soldier in Vietnam was a kind of stranger to the guy who wrote that book, the the middle aged me. And just as now the author of the book seems a bit of a stranger. Um, by bid off, I mean, I, I'm not talking mysticism. I'm simply saying that, you know, 20 years is a long time to pass and, and uh, well when a sense of self changes, I think of myself now primarily as a father and secondarily as a writer and I've heard those words come out of my mouth. 20 years ago it would have been impossible. It didn't want, kids didn't think it would be very much fun, didn't think it would challenge me. I thought it'd be kind of bored by it. And now that is more of my life then, then a writing.

Speaker 2:          04:53          It's nothing intelligent behind it. That is, it wasn't a rationally planned operation, but rather it's how the world comes at me. He comes at me and a mix of my imagination coming over here to do this interview. I'm imagining will I meet and what will it be like? And I've never done a video interview before. And what will the physicality of the place be and all these and partly the real world. And I think that I'm not all that uncommon in that. I think we all live partly in our daydreams. And daydreams is the wrong word because it makes it sound syrupy and mystically I'd met, but I partly mean daydreams and I partly mean just thought or anticipation of event that hasn't yet occurred. And I think we all live there and you certainly live there in a situation such as a war where you're partly, uh, the reality of the world is in your face.
