Speaker 1:          00:00          Yeah,

Speaker 2:          00:06          Rita dove title, professor of English, I guess you know, when I read this sounds really weird, but when I was about 10 or 11, I stumbled across the Elliot at home. My father had bought the great books of the Western world and one of the first books there was the elliot. I had no idea what it was, but it was a very long thing and I thought this is the beginning of literature, so I'm going to read this and I understood probably about half of it, but it was fascinating. It was an incredibly tense and interesting story and once I got into the whole way that the poems worked, it were like a, like a swash buckling mystery in a way. So that made me feel like, gosh, this is exciting. I'd like to do that too.

Speaker 2:          01:11          The one that I remember, I wrote posts before this, but the one that I consider first real poem was about that time too, but it was an easter poem. Um, in school we were supposed to write, write, or paint or do something artistic for Easter. So I wrote this poem called the rabbit with the droopy ear and I remember it because when I began writing the poem I had no idea how it was going to end. I just had this idea of a rabbit, the Easter bunny who had one ear that you know, droop down and he was distressed. So I kept writing and it rhymed and all that, and it was actually the rhyme itself that helped me solve the problem of a rabbit with the droopy year. So the end of the poem that goes hip, hip, hooray, let's toast the cup for now. Both ears were hanging up, he hanged himself from a tree and his ears hang straight and everybody's cheering. And I was just, I don't know, it was very exciting to find that. Indeed. I actually had to read it aloud in class, you know, that was another thing. Those were the days when you did these things in class, but now people showed their paintings if they had something from eastern. I had to read my poem aloud and, and people liked it, the kids liked it, my friends. So that was an instant success story.

Speaker 2:          02:31          It hasn't totally changed. Um, it, it's changed in the sense that, that, uh, to some extent I know let's say that the goal is not to come to some kind of neat solution as that did, but, um, but it hasn't changed in the sense that at some level I'm never quite sure how the poem is going to resolve itself and that I'm always in some way surprise. I make a discovery in a poem once I write it a buy now that means more accessing the subconscious and the fact that if I begin writing a poem on that means I'm intrigued in some way by whatever it's about and that if I'm not trying to find something new and pushing that envelope in the poem, I can't expect my reader to be particularly excited about it either.

Speaker 2:          03:31          Um, it's different every time. And in fact, years ago there was an, I did do something like that, uh, for a magazine. Uh, we're a, we're a journalist actually followed me around and we tried to. But, but I'm frightened different every time. My inspiration comes from everywhere. Uh, just walking down the street just and I never know where it's going to come from, so I keep a notebook with me at all times. Um, and the only criteria for anything making it into that notebook is if it stops me in my tracks for even an instant, if it catches my eye or my ear, you know. And, and I just write it down. That means that there are recipes in there, you know, there are words and sometimes there's a character description or sometimes it's aligned. And after that point though, what happens is kind of odd.

Speaker 2:          04:28          Um, I tend to, I work in fragments in the sense that I'm not going to sit down and say, first line is this, and now I'm going to just write my way through it. I let the poem, it's like piecing it together like a pot. So I might have a line that I might write down on the middle of a page and I still write things down with a pen on paper. I go to the computer when it gets too messy and use it like an elaborate typewriter because I've printed out. And then I mess it up again, but when I do get down, sit down to write in my room with my study and I try to write it a certain time every night. I'm a night person at best times or midnight to six, actually I'll leave you my notebooks and if something catches my eye and I feel like I want to transfer it from the notebook to the page I do.

Speaker 2:          05:21          And then comes this very strange process, which is difficult to describe and that, uh, right until I get stuck or I can't go any further, I'm boring myself or whatever. And then I might go to another poem. Uh, I might go to another folder where there are other drafts of poems and various stages of completion. And the only way I have for keeping track of all this fragment tarry stuff is by color. And I have different colored folders, red folders, blue, yellow. So I might go into my study, let's say one evening and say I feel like the blue folder today and I'll pick up the blue folder and see what's in there. So it's something that I've kind of worked out over the years, but the colors are only because I didn't want to put anything. I didn't want to file anything in a, in a straight.

Speaker 2:          06:18          Um, I think if you put something in a file that says war poems or love pumps, but you already restrict the way in which the pole might move. If I put it in blue, it could be sad blue, it could be happy blue, it can be peaceful blue. But my mood at the moment when I'm about to work on that poem wants, will, will tell me where I want to go. So it's an odd process, but I do do lots of revisions and I love to revise. So 30, 40 revisions is not unusual at this stage. I do most of my revisions by myself until I reach a point where I either need to give it lots of time because time is a great reviser to, you know, just months of, of uh, putting it aside or I will show it. A lot of times I'll show it to my husband who is a novelist and as a prose writer, he has a totally different take on things.

Speaker 2:          07:21          So he comes at it a different way. Um, I yearned for those old days, you know, from graduate school and you go into a workshop and people would give you all these ideas and you take it away from him. But at this point, um, that just doesn't, it's not in the current. So I think it's both. I think that, that you certainly don't have to be aged and you know, and, and travel the world to write a poem, in fact sometimes traveling the world is, is, is a way of not writing a poem, but it's the quality of experiences being able to, to experience something. And when you begin to write about it, be able to apply the tools that you need for writing, you know, a mastery of the language in a way of, of, of, of piecing together the language. I guess that those two factors have to come together.

Speaker 2:          08:24          So you do need to be to work at it, but you also have to be able to know when to, when to take the experience as it happened, when to tweak it a little bit, what part of the experience is going to move somebody else or what part is really your own private moment? So I've, I've seen poems written by very young people which are absolutely stunning and of course we have examples of bod layer and wrote. He was in his teens. These were amazing poem. So he obviously didn't have a wealth of experience or age or anything like that. And I've seen pumps which of course could only have been written by someone who was older and had lived a certain stages of life, have gone through certain stages of life. But it's a combination of the two really is, you know, I, I've always felt that the, the poems I've written, which have historical contexts are hopefully not just simply plucking something out of history and saying, oh great, let's write about that.

Speaker 2:          09:37          In every case, what has happened is that I've become fascinated or haunted by something and couldn't shake it as an African American, as a woman, I think that I've been sensitized to the way of which history of privileges of white male and the way in which certain aspects of history, the things that we are taught in school, the things that are handed down, never, never entered the picture, but they might've been very important. Anyone can tell you that, uh, at the risk of over simplification, let me say that anyone can tell you that, that, that, how you're raised as a child has a great deal to do with how you behave as an adult and, uh, whether you have complexes or whether you need to prove yourself or all that kind of stuff. And yet the mother in a traditional family who has raised chuck never makes it in the history books.

Speaker 2:          10:38          I mean, and so, so those kinds of things have always irritated me. Let's put it that way. And I'm, and I'm always reminded when I, when I see someone, Napoleon's stocks through the battlefields. And I think, yeah, but how do you get that way? How this guy become who he was. So that's, that's the predisposition I have. I think us as a writer, as a person who wanted to create poetry, that's one of the things that has always been one of my things I carry along with me each time is different. For instance, in this new book, which is a tells the story of a, of a black mixed race violin is George Bridgetown who grew up in 18th and 19th century Europe. I came upon him because I was watching a movie immortal beloved, and there was a scene in which Beethoven walks by a group of musicians and there's this black violence on my, what I've heard of color of my casting because it's a bit strange. And so I looked him up and the, I didn't intend to write poems. I above it. Um, I just wanted to know more about it and I kept reading and the more I read, the more I realized the only way I was going to get him out of my head was to get into his start writing down. So in each case it's, it's been something like that.

Speaker 2:          12:17          I think it's going to be a mix of things. What I find very interesting, well first of all, poetry of all the forms of literature I think is the most suited for the digital age and for the shorter attention spans and all of that. It, it, twitter's very easily some lyric pumps and um, it's very easy to zip up home to someone. So that's, that's one of the things I think wonderful about poetry in the digital age. I think that is going to be a mix between people who will really only need to see a book on a page and those who will only want to hear on the stage. I want to hear the hear the oral word. What's interesting about the digital age is because of all of the ways in which we have of transporting moving images now and making it very portable.

Speaker 2:          13:18          The oral aspect of portraits coming back in the portrait began as an oral discipline and we had the printing press and then it became gradually something which, uh, began to lose a little bit of its musicality because now we could read it. So all of the rhymed pumps, which, you know, all the formal homes, which certainly began as a way of, of, um, helping us remember a poem as an aid to memory it, that wasn't necessary anymore. We moved away from that. Now we have spoken word, right. It's coming back in. So it's, it's absolutely fascinating to me. I think it's going to change a little bit more, become a little bit more musical and we'll have a whole range of things. But it's an exciting time. My first advice would be to read, read, read it, which sounds interesting coming in a digital age, but it's so much easier to listen to upon it is to sit down and actually read it and to hear it in your head. And that's something that, that every poet or aspiring poet needs to be able to do anything to hear it in their head. What I wish someone had told me,

Speaker 3:          14:34          hmm,

Speaker 2:          14:39          I wish someone had told me that

Speaker 2:          14:45          my stories are really mine to tell another with anything that um, I think is important or that that has moved me, has the ability to move somebody else. It was a long process too for me. And I think for many young poets to be able to realize that even the smallest, the most domestic, uh, experience can move someone else. It doesn't have to be about, um, the Trojan war, you know, doesn't have to be the Elliot. It doesn't, uh, it doesn't have to be something that, again, here, we'll get to history that, that makes it to the front page of the news. But we live our lives in detail. All of us, we walked down the street, we breathe, we hear things, we try to transcribe it in generalities and the details are what make us come alive. And I wish someone had said that just at the beginning. So I wouldn't have felt so discouraged when I began writing and thinking who would want to hear the stories of a young black girl? You know, growing up in the Midwest, you know, that's not interesting. I have to live in Paris. No, you don't.

