Speaker 1:          00:00          Hmm.

Speaker 2:          00:05          The so called liberal argument, which is probably more liberal today than it has been in many, many decades. Um, you know, they argue that we should have equal equality. Everybody should be equal. We should all make the same amount of money. We should all have the same assets and well, I don't believe that. I think that's fundamentally inimical to free market capitalism. I think that's a kind of Soviet, uh, East Europe, you know, old communist socialist model that has never worked you, you can't make anybody everybody equal. They tried to redistrict it, redistribute income and wealth rather than increase it. Um, my credo here is instead of making the economic pie smaller and handling smaller pieces to everyone, let's make the pie bigger and get everybody a larger piece. And I think history has proven really since the fall of Soviet communism that that model of income leveling is a bad model.

Speaker 2:          01:08          It's a mild does work. It took seven years for the Soviets to felt fall, but they fell. And China, for example, the other big communist country, I won't say that they've fallen, but they've changed their economy. It's now much more of a market oriented economy in my judgment. Markets distribute goods, market set prices, and if there are free opportunities inside markets, that's how people who work hard will do well. And I think the ethos in America is to work hard. That's always been where we are. In other words, we all start at the same beginning. The starting line is the same. By law and tradition, we should be prejudice, free, color free, gender free, whatever. We all have the same legal starting line, but that doesn't mean we all finish at the finish line at the same. And I think that's human nature. So we talk about this in the book and in particular as you asked about, uh, tax policy, taxing rich people at high confiscatory rates has never worked in this country.

Speaker 2:          02:15          It's outside of our tradition. It's been tried a couple of times. Um, FDR tried it 1930s and it didn't work and the economy was no better in the late thirties than it was when he took over in 1932. Um, the war spending did help, but the great new deal experiment failed the great times of prosperity in this country. It's so when we lower tax rates and we shrank government, we put government in a lesser position. I'm a believer in the private sector. The government does not run the economy. We run the economy. So you go back and look at some unbelievable prosperity periods like the post civil war period. Unbelievable. The 1920s, unbelievable prosperity, the 1960s, unbelievable. The 1980s and nineties, fantastic economic growth. Those all have some common characteristics and usually they include low marginal tax rates. So you keep more of what you earn. That's a reward for your work and investment and entrepreneurship.

Speaker 2:          03:27          Uh, less government, fewer regulations. That doesn't mean no government. It doesn't mean no regulations. I'm for a safety net, but it means at some point you go too far and you're strangling businesses. You're strangling small businesses. And that's who I'm really worried about. So that's my basic argument. John F. Kennedy, to get right to the chase in this book, John F Kennedy's tax cut legacy has been lost. It's a very strange story and that's one of the reasons why Brian Dimitra rich and I wrote this book. Kennedy was the first post World War II supply side tax cutting president. He was the first Eisenhower wouldn't do it. And the 1950s, despite certain urban legends, the 1950s where allows the economy three recessions, and in eight or nine years, Kennedy knew having one by a cat's whisker against Nixon. Kennedy knew that he had to grow the American economy at 5% a year.

Speaker 2:          04:26          That was his target. Nixon didn't go there and Kennedy never really told us in the 1960 election how he was going to grow at five, but he said, this is what we're going to do. And then he went back and forth with his advisors in 1961 and 1962 the first step he made was one I disagree with. He had a lot of government spending lots and lots of government spending, safety net spending, infrastructure spending, you name it, which is liberal academic advisors. Um, uh, suggested to him that was their idea, spend, spend and leave tax rates high. You know, at the top tax rate was 91%. It's inconceivable. So you earn an extra dollar, you get 9 cents, but government gets the rest. That's a big number. That's a big number. So anyway, make a long story short or at least this part of the story.

Speaker 2:          05:25          Short, Kennedy had several Republicans in his cabinet. This is an interesting side note, but very important for today. One of them was a guy named Douglas Dillon who came from a famous banking family. Uh, just like get Kennedy. He has as much money as JFK, his father and his banking guy and owned the vineyard in south of France. He was Eisenhower's under secretary of state. Anyway, Kennedy puts him in the top tier Treasury Department and Dylan makes the argument that the liberals were wrong and instead we should give men and women more opportunities, more rewards, more incentives to grow the economy. If you get paid more, you're likely to work more. Or if the tax rate is lower on investment for a new business, if you are rewarded with higher pay after tax, you're going to be rejuvenated. You're going to get out there and go for the gold.

Speaker 2:          06:31          And that hasn't been happening since World War II hadn't happened in the 1950s. Uh, it was just throughout one number for it. It's in that book at 91% tax rate. So as I said, you make a, you make an extra dollar, you get 9 cents, right? The government gets a 91 cents. Now, Ronald Reagan as a movie actor quit acting because he decided 9 cents on the dollar was not enough for him to motivate him. True Story. Um, Kennedy cut the top tax rate from 91 to 70. So instead of taking home 9 cents on the dollar, you took home 30 cents on the dollar. That's an over 200% increase. And after tax income, and Kennedy argued he was the pioneer and I Reagan Kennedy, that this will create opportunities and incentives. They'll get government out of the way. It'll get people work at harder. It'll get them to take risks to start new companies.

