Speaker 1:          00:06          [inaudible].

Speaker 2:          00:06          Alright. Hey, what's going on? Welcome to my kitchen and as I mentioned, I told you I was going to show you how to make a pie crust, right? The fucking holidays coming up. Who's kidding? Who? You didn't do shit with your life, right? You haven't done anything. You're not bringing anything to the table. You don't have any kids. Maybe you got busted for fucking drinking and driving. You just don't fit in with your family that you got to do something right. Then we'd go, you make a pie crust him. All right, this is what you're going to need. You're going to need one of these, a road pit, a fucking papers. They're staying in a pastry cloth, like a board thing. I don't know what this is called. All right, so maybe this is the graphic up right now, this thing, and he got, you got two types of these things. He got this one. This is an old one. That was one of the styles that I fucking hate doing. That makes a lot of noise. This is, this was my grandmother's right?

Speaker 2:          00:58          I just took it from when she's on the weekend. I was just like, grandma taking this right. You didn't want to eat. I'm just kidding. She died and that's what I got. Um, so anyways. Alright, so two cups of flour and this is a, this is the all purpose gold medal flour. It's not a gluten free. Save the fucking with whatever the hell it is. It's like, look, you're making a pie already. You know what I mean? It's not going to be helpful today. Tell yourself you're going to go to the gym. So there's two cups of this and you also put solid. So you just go like this. You take the one cup dumping in like that. They should one cup. Then I put the salt right over there. You getting there? Are you getting that? You put the salt just like that. Dump it on. Type of like that, right? Boom. See the done with that. You take this thing here. You just doing what's going like this. I don't know why you do this. Look at it. See how it's in there. It looks a little different there, right? [inaudible]

Speaker 2:          02:15          yeah. Naked worked with their products and they make sure you don't steal any. All right? So at this point, I mean I'm a five year old could do this. Everybody gets freaked out about papers, you know what I mean? Like, oh, what's going to happen? What if I fuck it up? Who Cares? Nobody's watching it. It's not like they're filming it. Um, all right, so this is, hey a, this is a butter base cross. So you want eight ounces of it. Every it's I kind of fucked up. I mentioned that. Well, it has it right here. See what I make it nice and easy. All right. Eight tablespoons, I should say dope. Two, three, four, five, six, seven, eight. It's a whole, it's own goddamn stick. Um, so you want to have this shit cold. You don't want to have it at room temperature because it's going to be too mushy.

Speaker 2:          02:56          So then you just take it like this. You've washed your hands of right. Um, and you just cut it up like this, cut it off. You drop it in there. You getting that Andrew, for the people at home. You know what's funny somewhere, I don't know why and I don't know who, but somebody who's probably jerking off to this cause it is the internet. Put the head butter in the fucking wanting to see a balding redhead do. This is why you want an 8.2 everybody makes 28 who did you? Who'd you blow to get that thing? And you don't have to suck any debt to get these. You just go to bed, bath and beyond, right? The reason to sell yourself on the street and fight. So now the problem is if you start going like this with it, the buttons just going to get in here.

Speaker 2:          03:45          It's going to be a pain in the ass. So what I try to do is I just kind of used, he's only just, I get everything covered in the flowering. I don't see that just like dad. Now I want you to want to do what you want to do is just attack, be tapped to. The butter's going to get stuck in this. You start off tapping lightly, all right? And then you gradually build an intensity. This is essentially what all those women's magazines say. Women like how you please them in bed. This is like the foreplay. Oh you are? That is a beautiful dress. Oh yeah. How many brothers and sisters do you have? Oh that's interesting. This is the hard part of doing a cooking show, Charlotte. This is usually when like Rachel, we're able to just tell some fucking stories cause it reminds me of when we were like up in the cabins in Hampshire one time. [inaudible]

Speaker 2:          04:41          I thinks she's on medication and that's sort of the consistency you're looking for, their little coin y'all type of thing. How fucking ridiculous is it that it makes it too much? You're going to get, you're going to get a tough cluster. This grease every real mother who still beats at children and crocs and stays at home. Like women should say. He goes to meet and Cresco and you just do the same thing to just cover a little bit of flour so it doesn't stick to whatever the fuck this thing's called. Stick handle with that a little bit. You know more Phil Castle, less Sidney Crosby here. Right, by the way, are you guys were like, oh, why did they have two half times in hockey? First of all, the math doesn't make sense. That will be a third and a two third time. Okay, it's an ass.

