Speaker 1:          00:00:01       Okay.

Speaker 2:          00:00:01       Hey, what's going on? It's Bill Burr and It's time for the Monday morning podcast for Monday, January 16th, 2070 what's going on?

Speaker 3:          00:00:11       how are you?

Speaker 2:          00:00:13       How are you everybody and happy, um, Luther king day to everybody you know, happy Martin Luther King Day, you know, for, for those you are, that means some to you for those you just, yeah. You know, it's another day off edge. Just like when Georgie over our abies birthday in February. Did we get those days off? Um, the two whities there, the two whities in February, I believe it's in February. Right. During black history month, you still got a shoehorn George Washington day and Lincoln's birthday in there? Correct. Then you got another yt and why? Hey, you got another yt and a was saint Patrick a you pasty faced fucking son of a bitch. Ya Right. Then in April you got uh Oh, here comes Peter cottontail hopping down the body trail. Right. With his own little white bunny. Yes. Right now what do you got? You got in May. Who is that?

Speaker 2:          00:01:16       Is that April go today? I don't know. I run out of somewhere around there. Those are weird. The dog days of the year. It's like fucking, you know, a flag day. Then I always get memorial day and Labor Day. Memorial Day is is May, right? Memorial Day, Memorial Day is in May. We recognize all the veterans, you know, that fought for your freedom so you can sit around, eat fucking dip and shit, right. Changing all your fucking VCR tapes over to fucking DVD days and then to a little fucking stick, whatever the fuck it is you do that day. Right. Um, and you got July 4th so everybody can go around and fucking, you know, trade stories about their uncle that blew his fucking fingers off cause he never got married. He was trying to impress his nephews and nieces. Right. You're so cool. Lucky Jimmy.

Speaker 3:          00:02:11       All right. See you see that right there son? You see that right there? That's why I told you y'all could. Jimmy ain't no fucking good title. Mom. Quit your cry. Well I don't want to hear it. No more weight going over uncle Jimmy's. Okay. It's over there with loose fucking women and just play with them. Fire crackers.

Speaker 2:          00:02:31       Right. So that's July 4th, then August, August is kind of like a month. It's up for grabs. No Jewish holidays. No. Hey, remember Jesus did this for you. What did he say to him? Muslims, what do you got? You got some that month. How about you? Buddhist Buddhists don't give a shit, right? They're like, hey man, like every day for everybody. And it's just like, as long as we're sitting around and feeling the breeze, that's what I'm trying to be, you know, I'm trying to be that person today was to be my 10th day in a row to a meditate, but I didn't, I woke up late and I had to take my lady over to the doctors and um, and I just, I just got up late. Yeah. I had this fucking weird ass dream too. And this weird dream where I was when on my back porch I was watching these helicopters flying in formation and dive bomb in my neighborhood.

Speaker 2:          00:03:21       And I was like, what the fuck did they do in that for? And then one of them lost control and I had this weird view from my house that I've never had before. And it was just basically the cockpit, you know, and the engine dead part in the skids, no main rotor, no tail, no tail road and nothing else. And for some reason it wasn't tipping over and falling to the ground like a fucking trashcan or most likely inverting. It just fucking, it just went straight and it sort of landed and I ran down there, I was in my underwear cause you were always in your underwear, in your dreams, right? You never have your pants on. It's so fucking weird. This all always with mine, there's always that level of humiliation. No matter what's going on, I can't find my pants. Right. Um, anyways, so the fucking thing lands.

Speaker 2:          00:04:07       So I run up and then I'm thinking like, wait a minute, do I want to see the carnage that is in there? And then all these people showed up with like cell phone cameras and stuff and I was standing there in my underwear and I ran home. That was that. They go, there's your dream to interpret for the week. All right. Cause I'm not going to therapy anymore because I spent enough fucking money, you know, with somebody daydreaming with the goddamn notebook. Right? And none of them ever look like that brought on the Sopranos. Let's be honest. Right? Um, yeah. So I started, I woke up late. All right? So I need to fucking relax. Quiet my mind. Make it more of a still pond. Whenever a rock falls into the pond, what happens? The waters ripple. Yes. The waters ripple. And if too many rocks fall in, what happens? There starts to be a storm. And this is what I want you to pay attention to today during today's meditation is your brain is still pond.

Speaker 4:          00:05:07       Okay,

Speaker 2:          00:05:09       well, can you hear it? This screaming, watery death of 1200 passengers going under the water of, of your mind. Sorry, I lost it. I don't know what the fuck I was talking about. Anyways. Um, I also, my apologies this week, apology number one, I own apology to the fucking Atlanta Falcons. I owe an apology to the Houston Texans. I owe an apology to Meryl Streep. Evidentaly going into Twitter according to one person. All right, let's start with the Seattle Seahawks, right? You know, I thought those were going to be the dirty, filthy stinken disease carry and birds that were going to win that gang. I said last week, and I, I kind of quote, you know who got off easy this weekend, the New England patriots and the Seattle Seahawks because the cowboys and the packers are going to beat the fuck out of each other and the Steelers and the fucking chiefs are gonna beat the shit out of each other, right? And then all we gotta do is play the winner.

Speaker 3:          00:06:14       Okay.

Speaker 2:          00:06:15       That these two teams were just going to waltz to the AFC and NFC championship game as if that is a given. Well, let's start with the Atlanta Falcons. I picked the wrong dirty Burt's a very impressive win, and I know Seattle fans are going to be like, we had some major injuries, which they did coming into the game and then they lost another guy. I understand that. Okay, I totally understand that. Seattle fans. You're 100% right. Christ.

Speaker 3:          00:06:40       You can hear you cry in from here. Your stadium is so loud.

Speaker 2:          00:06:47       Oh my God though. Seattle. See they're so fucking lie. I'm so sick. I ESP and fucking like just ignoring that entire fact. They just don't. They know what it is. You know what? As they can't, they have the ability to separate themselves from the truth. That's what I really respect from ESPN is they can just separate themselves with truth and just go for the fucking money. They don't give a shit about what's right or none of them give a fuck. They just say in shit to say shit. So idiots like me get upset and yell at their fucking TV and keep watching. And then what do they do? They get some more habit dash theory, right? They date, date, you know, they, they get, they get a bigger fucking whatever the fuck it is thereafter over there. New Tie Tech. I don't know. I don't know what motivates people that want to sit around in suits talking about sports. Why do they wear suits? By the way, can anybody explain that to me? Why are they all sitting there like there on meet the press when they talking? I just, I don't fucking understand it. You know, and it's contagious. Talk and standing in a fucking suit. Talking about a sports is so fucking contagious. Ben Roethlisberger,

