Speaker 1:          00:00          Okay.

Speaker 2:          00:01          Um, I took a sauna when I was in, uh, Germany and evidently they, I heard that they were naked. They go into those saunas naked and it's coed. So I asked Verzi if you wanted to go down to the sauna. He said yes. And then I texted him, he must've fell asleep. So I said, fuck it. I went down, I worked out, got a great workout in, and then I went to go into the sun and there was nobody in there. And the old me, I liked the steam. Now I really liked the dry sauna because you can get way hotter. You know, Joe Rogan converted me, right? So I go in there and I went in there like an American, I have my slippers on, I had my towel on and all of that shit. And then all of a sudden this dude comes walking in and he is a towel on.

Speaker 2:          00:42          I'm like, oh, thank God. Thank God it's Berlin. Okay, Berlin. Okay, this is like their New York City, so everybody's going to act accordingly. And then he just immediately takes his towel off and I'm like, what the fuck? So any lazy and then lays down. Yeah. What he did was he put his outside leg, the leg close to me, he put it up. So he was sort of covering his junk, slashed, looked like he was getting ready to do, recreate the Burt Reynolds playgirl center full. Right. So anyways, and I know this is going to be the fucking Photoshop. So I'm sitting there, I got, what the fuck? All right. Whatever one naked dude who gives a shit. Right? And then all of a sudden another guy comes in, this guy comes in, he doesn't have his towel on. He's just holding his towel in front of his junk. Then he goes in like it was shaped like a horse shoe, you know, like the old fucking a Denver Bronco Stadium back in the day. So I'm on one side of the horse shoe. I'm on like the visitor's side. The first naked dude is on the fucking home site and then this naked guy comes in and he lays down the same way. Same playgirl fucking thing with the outside leg up. He's sitting in the end zone seats.

Speaker 2:          01:55          All right. And I'm like Jesus fucking Christ. So now I'm laughing cause all I'm thinking is I'm going to tell Versie cause at this point it's just naked guys and just naked guys. It's just funny. I used to in my act and naked man is either funny or scary, right? If you're at a football game and a naked guy jumps out of the crowd and runs across the field, you're laughing your ass off. If you're walking home late at night, then naked guy jumps out of the fucking bushes. It's one of the scariest things ever. So this was just funny. I'm in a gym, there's all kinds of people around or whatever, even though it's just the three of us in there. But you know I can just get up, walk out the fucking door. There is no danger here. There's two naked guys. It's fucking hilarious. So I'm looking down at the floor and all I'm thinking about is I can't wait to tell version of this fucking story. They both lane here and like fucking twin Burt Reynolds. And I'm sitting here with my slippers on and my towel, you know, I dunno. So anyways, and then all of a sudden the door opens again and now a woman comes walking in and I'm looking, I kind of look at the guys like, are they going to cover themselves up and they don't. Then she comes in and just takes fucking towel off.

Speaker 2:          03:03          I'm just like, what the fuck? And then she sits down in the end zone seats. All right, so above her and the upper deck is this naked guy to her left is the other naked guy. She's naked anally. She looks over at me and I got a towel on and slippers. So now I'm looking like the Weirdo. Now I'm the fucking pervert. Like we're at this fucking guy. We're all getting naked. Why you sitting over there? Right? So now I'm like, well, I go to get the fuck outta here. And just as I said that the dude in the home seat, he stands up and he's going to walk out and I'm like, all right, perfect. Now he's going to use the shower. I'm just going to wait these stone with the shower. Then I'm going to fucking walk up. So that's exactly what happens.

Speaker 2:          03:43          I walk out, but when I walk out, what I forgot to mention was they had like, you know those ice baths that like NFL players go to get into um, bad, something like that. But it wasn't ice. It was just like, uh, uh, it was a tank. You climbed up like six steps and then climbed down into this thing and it was freezing fucking cold right after the sauna. Right. And just closes up all your pores. It gets rid of all the fucking toxins and all of that. All this shit washes off here. Granted, everybody else is using it. So it's probably fucking gross in some level. I have no idea. Maybe because it's so cold. It kills the shit. I don't know what. So I wanted to use it, but there was no way I was going to use it because I had to get up to the top of it and take my towel off and be standing up there with my fucking man who had twisted in the breeze before I went down into the fucking Arctic water.
