Speaker 1:          00:00:02       A,

Speaker 2:          00:00:03       what's going on it's Bill Burr and it's time for the Monday morning podcast for Monday, February 27th, 2017 what's going

Speaker 3:          00:00:09       one on how are you ?

Speaker 2:          00:00:12       how's it going? Sorry, the podcast is a little bit late this week. Um, you know, the fucking checkout was, you know, 10:00 AM at this place I was staying at and I thought I could sleep till 10 and then do the fucking podcasts and leave at noon. That's what I thought. You know, I'm sorry. Am I still in America? Checkout time is maybe 11. Where the fuck is it? 10:00 AM

Speaker 2:          00:00:37       the fuck is Trump not president anymore? I mean, I thought this was something that he thought he thought he was gonna make it great again. Make it great again. That'd be check out at one in the fucking afternoon. Once you sign an executive order. If order for that orange headed content. How about that? This podcast is not funny. It's sad. It's a lonely man by himself. I'm sorry for the bad Trump impression. Um, anyways, I am in Gainesville, Florida right now. You're probably wondering, Bill, what the fuck are you doing in Gainesville, Florida, home with the Florida gators? You know, you're on there either on a fucking Monday. It's not football season. Why are you here? It's cause I have to do the makeup date for the show that I was going to do back in November when I was going to go to the Florida gators game down there at the fucking swamp. I was going to do that and go to the Florida gator LSU game. And um, that game got rained out. Whatever. They had a fucking hurricane and everybody freaked out cause Jacksonville was going to get the shit kicked out of him. Gay Gainesville was, you know, as far as I'm concerned it was safe, you know, with my complete lack of a meteorology logical background. Is that the right word? I Dunno. So I'm back here. I'm back here, you know, in February.

Speaker 2:          00:01:53       Well, nothing's going on. Oh Shit. What about that team? What if they fuck a team has a good basketball team as a game tonight? Maybe that's, maybe that's what's going on. I don't fucking know. Anyways. Um, I'm here in fucking day. Uh, Gainesville, uh, had a great time this whole weekend being out there and now Daytona, Daytona Beach, Florida, and uh, Jesus Christ, dude, some of the fucking locals in Daytona. Yeah. Heart just goes out to, you know what I mean? It's just these, these fight all these dudes. It's all those people that, that people in Hollywood trash, you know what I mean?

Speaker 2:          00:02:30       It's just a bunch of, you know, a lot of fucking white people that just, Jesus' life is just fucking kicked the shit out of them. Not saying everybody, but I'm just saying, I fucking came into town fucking walking down the street the first night I got video of this. I'm, I'm walking. There's like a fight about rate of breakout outside of a pizza joint and everybody there was like my age, except they look my age, you know what I mean? They might have a better hairline, which isn't hard with me, but they're just fucking fat.

Speaker 4:          00:03:05       Yeah.

Speaker 2:          00:03:06       Fucking big fat fucking, uh, what's that pride, those sex shit that people eat? That is it called that Shit Larry, the cable guy talks about right where he goes fucking proud six 18 seat. When you fucking go out and you eat a whole fucking pig and you stomach's like, what the fuck you just do to me rather than natty the whole fucking pig again. You can take this shit and make it feel like eating a whole pig itself is okay. That shit, they had those bodies,

Speaker 2:          00:03:37       lot of cargo shorts that were just frayed at the bottom. A lot of bad tattoos. A lot of fucking people that look like, even if they weren't on drugs, you know when people do drugs for so fucking long, there's only so coherent that you can get back to. We went to this fucking restaurant right on the Strip and uh, this fucking lady, Jesus Christ, if she wasn't high, she just don't, she had just done so many fucking drugs. She bought the fucking wings over. Right. And they were like, they weren't ice cold. They will room temperature, which is fucking ice cold. And I'm like, yeah. Uh, and I hate sending food back. We're sitting in this fucking restaurant, right. And we sitting in a, it's like basically a NASCAR, cause we're, they had to go to the Daytona 500 the next day. Right. It's like a NASCAR that they cut in half and put a booth in the middle of it. Right.

Speaker 4:          00:04:30       Um,

Speaker 2:          00:04:31       assumption. I don't know what the fuck it is. And we looked up later and evidently this was the worst restaurant me and Nate ended up going to this fucking thing. Ended up being the worst restaurant. It wasn't bad. I ordered the fucking, it looks shady and the music they were playing, they were playing like Zz top. She's got legs. They played George through a good twice. Uh, they played yes. Owner of a lonely heart. I was just sitting there. It fell. He goes, in 1985 I was joking on stage that night I was waiting for fucking Marty McFly to come walking in key word there, fly and um, to see some guy walking around sort of mouthing the words to this joint. It wasn't even a good George Story. Good Song. It wasn't bad to the bone or a whatever that fucking was one whiskey, one scotch or one beer wasn't that one. It was at, uh, the cover day that my bag dog, my bitch don't come no more booming on over rock and on over. It just said, I gone, oh my God.

Speaker 4:          00:05:40       Um,

Speaker 2:          00:05:41       the waitress fucked up every possible way she could have fucked up other than just blowing your nose into the bread. I mean, other than that, she, every fucking thing you could do, she fucked up. It was hilarious. I've, I felt bad for, I could see, you know, she just, you know, we all do it. We all do it in business. We stay out there too long. Madonna did it, you know, she's still twerk and she's like 60. It's like Madonna for the love of fucking God. Can you dress your age? Okay Kid, you have a shred of fucking decency for yourself so that people can just in a general sense, look in your, your, your direction. You know what I mean? There was a bunch of guys down on Daytona beach dressing the way Madonna was dressing. There was a bunch of fucking guys my age still wearing tank tops where your arms have no muscle definition anymore.

