Speaker 1:          00:00:00       Some bus, seventh, 19, 41, a date which will live in infamy. Perfect.

Speaker 2:          00:00:18       Leah events.

Speaker 3:          00:00:26       The figure is from this time and place I take pride in being the Alina tear down drama. Welcome. This kind of examination, whether or not their president said, well, I'm not a crop. If we dig deep in our district and our doctrine don't remember, but we are not descended from fearful of man.

Speaker 2:          00:01:10       It's hardcore history. I remember a conversation I had quite a long time ago now with an author of a book. The author had written a book about how John F Kennedy was assassinated by Lee Harvey Oswald, just like the government always said it happened

Speaker 2:          00:01:31       and I had been asking him a bunch of questions about conspiracies and you know this or that aspect of the Kennedy assassination and only one of his answers in a really stands out in my mind now because it seems irrelevant on so many different fronts. One of the answers on why it was so hard for some people to accept what this guy was purporting as the truth he said, was because people are inherently very uncomfortable with the idea that a single nobody can have such an effect on all of our lives. It's more comforting. He said to believe that powerful, you know, groups of people or conspiracies are actually running things. Even if you think those powerful groups are nefarious, it's somehow comforting to think that somebody is in charge. That it's not all just random number, that a plane couldn't just drop from the sky and land on your house tomorrow. And I thought about this when I was thinking about know someone, if somebody had asked you a question, who was the most important figure in the past hundred years in terms of why the world has gone the way it did? You know, you would think of all these famous people whose names almost anyone who's a halfway educated would recognize. And yet, what's interesting is you could conceivably put the name down of somebody who was historically speaking, you know, uh, nobody,

Speaker 2:          00:03:03       Lee Harvey Oswald on the pages of the history books besides the Kennedy assassination, is a nobody, he didn't do anything else of importance, but that event was huge, right? If he actually killed John F Kennedy, the way the narrative says, Lee Harvey Oswald changed the world,

Speaker 2:          00:03:19       he changed the president instantly, right? I mean, how many of us have the potential to change who the president of the United States is that lone gunman did, if he was indeed the lone gunman, the person who may be most responsible for the modern world, this entire world, including the nine slash 11 attacks that you know, many commentators say, shaped the modern world, right? We live in an era of terrorism or the age of terrorism. You'll hear them say without them seeming to really understand that the age of terrorism supposedly sparked by the nine slash 11 attacks and the very, very, very early 21st century or themselves manifestations of an act of terrorism that launched us into the 20th century. If we actually live in an age of terrorism, as some of these people like to say, we've been living in it for more than 100 years, I think you could make the case that the most important individual in the last century is Gavrilo, Princip and Gavrilo. Princip is a name. Very few of you will recognize. How can a person have so little achievement in on the world. Stage B perhaps credited with creating the entire world around us. I mean if, if Gavrilo Princip doesn't live, is there a nine slash 11 attack ever, and if that was all he did, wouldn't he be important you a lot more than that. Get principles. The reason there was a second world war because Gavrilo Princip is the reason there was a first

