Speaker 1:          00:00          MMM.

Speaker 2:          00:12          All right, bye. I see. Hey, we've the inimitable and disdain Dr. Jordan Peterson. If you haven't been following the last couple of years, he might be hiding on Rankin serving some of the sixth string dimension. So I don't want to go into too much detail, but I'm very honored and privileged to be able to have a bit of a conversation with them today. Um, there's just one or two questions that I'd like to ask you with regards to the fiasco. We've, the kept the caffeine human interview and talking about journalistic integrity and how that sort of rent up. Um, what you were talking about yesterday in the VIP area about the media now sending out a memo saying this is not how to do interviews. What are your thoughts? Can you elaborate on the demise of journalistic integrity or the death of journalistic?

Speaker 3:          01:03          Well, I don't, I don't know so much if there's, if you can characterize it yet as a demise. It's certainly a transmutation because journalism is taking all sorts of new forms. It's emerging and many new forms online and in print and also on youtube and in podcasts. We're definitely in the midst of a technological revolution. And I think that there's a proclivity on the part of the traditional media, let's say, uh, to, to, to panic, to fail, and to use increasingly desperate means of attracting attention while that's occurring. And it's easier to attract attention in the short term with heavily polarized views and opinion pieces and that sort of thing. And it's like clickbait, I suppose it's, yeah, that's right. It's the, it's the, it's the mainstream media equivalent of clickbait. It might be a reasonable short term strategy, but it's a deadly longterm strategy for any credible news organization because credible news organizations live and die by their reputation and reputation is, are easily lost.

Speaker 3:          02:04          And so I think that what happened with the Channel Four interview was, uh, it was an example of journalistic reputation being lost because there was almost a complete disconnect between the person that Kathy Newman thought she was talking to and me. And, you know, she should have noticed that I would say, let's say she had reason to be hostile and suspicious to begin with. Um, we, we could, we could give her that, but hypothetically by a few minutes into the interview with seven or eight minutes after four or five questions didn't go the way that she thought they might go, I would have been much more appropriate for her to default back to a normal conversational tech instead of treating the encounter like a forum for victory. I think that was her mistake fundamentally. And the mistake of what many journalists is to think about it as something as a, as a forum to attain victory. Oh my son could gels to journalistic

Speaker 2:          03:00          Justin.

Speaker 3:          03:02          Yeah. It was dominance, hierarchy, maneuver match essentially. Yeah. So, and I didn't want to play that game particularly. So.

Speaker 2:          03:09          So when um, there was feedback afterwards and she had said that she thought the interview went well and she didn't know what the role cast is about God. Who was about, do you see from the Union perspective? Cause that, cause that's my background. I'm looking at it from is there the capacity and the propensity because self reflection does, does a person not to see it. Okay.

