Speaker 1:          00:00:00       No, but you need more orange.

Speaker 2:          00:00:06       Welcome everybody

Speaker 2:          00:00:09       to the h three podcasts experience. So great to have you with us. Great. Does see that. If you look really beautiful today with your Auntie and great idea, I switched like three buildings until I decided on the orange. The orange looks great and I want to thank our sponsors today. Stitch fix or ring seatgeek end quid today. We've got a whole slew of juicy topics to get to, including Greg Paul, the father of Jake and Logan. Paul has not only made a tape and what she is having a, how do I say this without getting in trouble with youtube where a, he's uh, his Janet Ohs is going into a female genitals. People have speculated that this tape, that it records his gentleman was going into another person's gender roles. Sex tape. You could say sex tape. Yeah. It's like save time. Right? That's the, I don't know. Um, he's had, people are speculating.

Speaker 2:          00:01:04       That's an underage girl. There's no evidence of that at all. Why is it still called a tape? It's not really a tape. Is it? Hmm. We need to update that sex footage. Vid tape sounds a little more like hidden away though. It's like, oh, I got that tape in my pocket. But really it's just on your phone. Yeah. So it's not that fun anymore, but sex tape, it still is. Sec State be up a post. Malone has apparently been cursed. I love this story. It's great. And of course the Hilarious, hilarious antics of reporters from the recent hurricane. Um, there's a new trend and not really a new trend. They've been doing it for ages where they just stand and hurricanes and it's hilarious. And I've put together a whole thing. So these are this, this, and so much more. Welcome everybody to the age three buck gas beyond the experience. Fully enlightened. I'm your host Ethan client with the beautiful, talented, lovely, incredible levine. He look like.

Speaker 3:          00:02:05       Thank you. Love of my life. Beautiful. Whoa. So good that well

Speaker 2:          00:02:13       enough about Ila. Let's get to the one person in the world who turns me on even more. Greg Paul now. Okay. So let's start from the top because this is a whole story that's kind of develop. So I want to explain to you guys from the top what happened. Okay. Now, first of all, I think the first thing that happened in Dan, correct me if I'm wrong on anything, but I think I've got my facts straight, is that Logan Paul's channel was hacked. Hmm. And the attacker, uh, uploaded a basically a fake iphone giveaway, which is honestly not that much of a departure from his usual content. So I'm surprised anyone even noticed because they took it down really fast. Click the link in the description to claim your free iphone x giving away 1500. I iphones. Apparently people were clicking this link and just getting like straight up key loggers and viruses, which is great. You know, all the best stuff on the Internet has to offer.

Speaker 2:          00:03:22       So that got taken down pretty quickly. And um, on Sunday the hackers released jake pauls calendar via their twitter pages since been banned. It included the address and contact info for many celebrities, including Justin Bieber. Yikes. And what was thought? This is a great twist thought to be Ethan me, of course. That's me. Um, when Jake Paul was on our podcast, he saved a dance number because he had a pre show call with Dan and he saved it as h three h three. So Dan's phone number was leaked over a blowing up with a phone call. That was fun. Tell me about that then. Um, it was a Sunday afternoon, um, was just chilling at home and all of a sudden get a call from an unknown number. Oh, that's weird. You answered it. No, I ignored it. What kind of maniac answers don't know numbers in 2018.

Speaker 2:          00:04:21       Yeah, absolutely. But as soon as it ended, uh, another one and then another one, another one, and pretty quickly I was like, okay, something, something happened and this is, this is not normal. And uh, yeah, just tracked it down to the old Jakey poop. Did you not answer one of the calls? No. No. And I didn't get any texts or anything. Yeah. Texts. Well again, because they thought it was you. So it was just all kinds of people saying what's up Ethan? And like all kinds of messages for you. So anything interesting to know? No. Really nothing interesting at all, which I mean these people, it's like you get ahold of a number of a famous person, they have no idea what to say. You're just calling the call. I'll say when I'm on my phone number got leaked previously when we got hacked dealer and they posted our phone number on twitter and we were, we were pro, I swear to God we're getting like a hundred calls a minute.

