Speaker 1:          00:00:00       Yes.

Speaker 2:          00:00:05       Welcome everybody. We are back. Thank you for joining us. Today's episode is sponsored by Quip, Capterra ring at 23 and me today with us are two of my favorite people in the world, Christina p Thompson. God bless them. Today we celebrate the release of Christina ps, new special out on Netflix right now. Featured in the degenerates. Also touring A. Christine's be online.com and Thompson also touring. Yes sir. At Thomson [inaudible] dot com slash tour. Thank you for saying it correctly. Well Hey, it is two or fewer. I like to get out some of the east coast people. They see a tournament. Yeah, and I'm always like a different word that's wrong. They say tournament tournament. They say yeah, like keep me up to be one of those people. I have friends from philly that go like, you're going to stay for the tournament and I'm like the tournament and I don't know.

Speaker 2:          00:01:02       It's a real problem. I feel like that's not the right word. I think it's completely wrong to say it like that. Am I missing? But the spelling I guess could lead you to be like, yeah, it's tour. No men. So how do you say it? Tour? No, no, I'm saying I'm talking about it turned to tournaments to say tournament. You don't say tournament. No, that's insane. That's a bad. And we're back and we're back. Thank you guys so much for being here. Happy. No, not November to both of you here. I'm fucking backed up. He backed up. I am. Do you don't know about? No, no, not November. I'm assuming. I've seen sounded some rumblings on the Internet for sure, but I mean after. So you can say whatever the heck you want after sober October though. No Jazz November. It's not happening, but I haven't just this whole month.

Speaker 2:          00:01:55       You haven't June. Not on purpose. Yeah, pretty much. You'll go, you'll go a seven days in a month without even trying to think, well, here's why you were traveling and I guess sick. You don't care if I don't and none of those things inhibit me. Okay. I jerk. I jerked it maybe the first or second, but now, I mean now it's like five days of built. It's backed up. You could feel an ache. I'm kind of feeling empty and when they're full you mean by the. By the load side of the, the girth of the testes. The, Hey, are you serious? Will agree with you. She's pretty good at it. I didn't. I didn't even know that about myself, that the shill got a store somewhere. I'll lean over and be like, let me slide it in. And she'd be like, hold on. She'll do like an exam.

Speaker 2:          00:02:39       She's like, Oh yeah, oh, it's been woo, this is dangerous. But one of the glues going to come out like it's been. Oh my goodness, that's graphic, but I feel like I'm kind of short. I'm feeling kind of aggressive today and she'll also pick up on that. She'll be like, you're that upset about it. That's amazing. Yeah. Really honed in on each other's a load sizes in behavior. That's amazing. You've been together for 14 years, so when he's 10 years officially married tomorrow. Oh my goodness. That's wonderful. Well, you guys are truly excellent. Amazing. One of the great couples on the planet, so I'm very, like I said, we could work something out though. For what? For getting this thing out tomorrow. Sure. We'll see. You can masturbate. Yeah, but then it ruins. It ruins what, Babe? The font of of you being like. That's so much.

Speaker 2:          00:03:32       Oh, can I be honest? Be honest right here. Now. I don't think I've gone more. Oh my God. I'm trying to honestly think this guy really jerks at. That's where he's going to tell me. I don't think I've gone more than a day without accumulating maybe since I was like a day. Don't look at me. I mean, I don't know, maybe a couple of days, but you. For me it's like, you know, there's this great. You guys have seen the Seinfeld about the competence. Kramer has this great line that has resonated with me since I heard it. She says masturbating. No, that has red. I think about it every day. He goes, Elaine wants to join the competition, and they say that's not fair. She says, well, you know, masterminds like shaving your legs. And she says, I shaved my shaving. She says, I shaved my legs and Kramer says not every day.

Speaker 2:          00:04:25       That's right. Right, right, right. Well that's true. Now let me ask you something though, because I'm assuming you guys aren't getting it in every day. Marital loves. So are you. Where do you. Where are you doing your thing? Is it the shower bathroom? Well, not where you're going to notice me. That. No, I don't keep it a secret then something. Have you been caught? Have ever been caught? Actually, no. I cannot wait to catch him. I've never been called. I think I was caught once by my vehicle was under the blanket. It was more embarrassing than dramatic, but either will never catch me masturbating. Why is that? Why you buy this? I don't. This is the bed detective. Do you? Are you trying to walk in now? The detective's going to come out though now. I'm not safe. You're going to be like in the middle. We're going to be really close and you're held me back. And then just to see her face like Linda through a door can be in the reflection of the monitor watching porn. But you don't care. You can go a week without even thinking about it. Uh, no. I mean I think about it a lot, but sometimes I'll go like, here's the thing to men, we got two kids. One's a real little one. Yeah. So like your sleep and, and you know when you have a busy schedule, like we know we were all doing a lot of things. Yeah. Sometimes it's like, it's literally, oh my God, I just got to bed and I'm so tired.

Speaker 3:          00:05:58       Sometimes it'll be like, oh, it's morning. I could do it right now. And I will, um, or night in the shower, shower. And then. But I'm saying sometimes like that I'll be like a, is this going to be a good one? Or you don't mean. Because there's ones who were like, that was a disappointing one at this point. They're all disappointing for me. How has it discipline? There's disappointing. That's where you're just like, ah man. That was just, it got. I mean, he's just got some of the food through the system, but it's not like it. You know what I mean? This, that. Let me put it this way. It's just like stale chip. You jerk off and it's just like. And then you're like, all right, there's no, there's almost no pleasure. Like compulsive. Yeah. That's interesting. I'm really backed up, right? Yeah, I hear Ya.

Speaker 3:          00:06:42       Tomorrow we'll do it. Oh Wow. Well here you go. Ah, yeah. We have to understand sober October kind of ruined that month too because he was exercising six hours a day. That really fucked me up, man. I worked out for almost 4,000 minutes, which whatever. That adds up to a lot of minute. Yeah. Because it gives you a little recap on that through the APP and I swear to you were a lot of times we're doing two a days like working out in the morning and then in the afternoon or evening and I would, I would fall asleep like into the deepest slumbered, which is nice. It was nice. Yeah. Yeah. But I didn't have the. No, nothing. Should we tell him what happened? Remember, remember, right towards the end of October, October. I don't know, it's just fucking sad. We went all right. We went to make marital love and I had full body cramps and had to stop old body crap dude. Like arms hands.

Speaker 3:          00:07:43       And I was like, I didn't even tell you this. I felt some of those cramps before I stopped. I was like, fuck it, ignore it. Don't, don't stop and go stop. And then when it was to the point where like, I felt like I was gonna fully collapsed. His wife said something. I have never experienced the whole body cramps. I mean what I'm saying, I had a, you know, I've had calf cramp arm, um, chat like these were all at once. That was so dehydrated, you know, how was do it seems so intense. Do you enjoy it? Do a mean with the sober. I enjoy fitness aspect of it seems so intense. It was intense. I did enjoy it. I think it's fun to compete with friends. Like it's fun to go like, Ethan, I bet I can do this. I will be. You Go, well if you go like I can do it too, and then like we really are and then I'm checking on you and you're checking on. That part's fun. I think if I was just competing with like people on the Internet, I'd be like, I dunno. Yeah, yeah. What was. Was there any noticeable effects for view gloss? Wait, are you feeling. How is. I mean you haven't even. I feel like I'll tell you why it ruins our home life was like where's dad? Just hiking for eight hours at a like our son

Speaker 2:          00:08:56       is crying one day. Are you seeing fell behind and I bowl rigs out and shit like that. And you're like, what? Why are we doing this again? You're all over 40. Well I'm middle aged in the forties. It feels good actually. I'm buying online. Can we celebrate Ms Dot Sheila though? And your pregnancy. I'm dying to talk to you about this. Have you talked about this a lot on this show? But yeah, there's a lot to say. I'm sure about it. We're doing a little updates, like we had an ultra, our first ultrasound last week. That's a cool. It like a little, little, little, a gummy bear with a heartbeat. Heartbeat when they do the ultrasound, I remember I remember separate times than the lady being like, do you want to hear the heartbeat? Like who goes now? You're saying it's there. All right. And then you're like, yeah, of course. And then they're going to do. You're like, who doesn't want to hear that? Like, okay, they should be concerned if you set off a notification.

Speaker 2:          00:10:03       It's such a cool moment. So you're feeling great. Yeah. I'm not nauseous at all. I guess. Weird. Everyone is like, oh. But I, we've talked about how I've never puked in my life and in your life. Never even felt the uh, almost puke. Like if you ever almost puked. I've had this like when you're little, when you're looking for something or come up. Well there's been times I that even possible. You mean like indigestion? Not the same. You don't, you don't even know you. She so doesn't even understand what puking it. I remember once we were at a party, she over drank and she was feeling nauseous. It's about to Alice, shoving my fingers down her throat and she couldn't have a gag reflex. Maybe. I don't think she does know. But you've never ever done it with booze and it came up in voluntarily?

Speaker 2:          00:10:57       No, I like, I blacked out a few times from alcohol, but I would still not dangerous. But regardless, it's serving you well. And because, uh, I got to say it, there was this funny moment where before we knew she was pregnant and she was like, God, this, this pizza's so good. Started eating food, enjoying food, or we're like, what the hell is going on here? And then like a couple days later I found out she was pregnant. That's when I tell you, after I gave birth to our second son, food just tasted like cardboard. Like I lost. That's what I'm afraid of because when you're, when you're pregnant it's like you're hot and you just can't. I couldn't stop eating. I'm like enjoying food for the first time in a long time. I don't know, like, I don't want it to sound depressing, but I'm enjoying food click rate.

Speaker 2:          00:11:49       Yeah. I guess like when you're high and what are you eating the most of? What do you crave? I was just telling you I don't crave meat, right? I don't. I can't normally like Meta or. No, no, but I'm like this is more than usual. More kind of aversion because usually it's the opposite. Women get aversion to like salads when you're hot trimester because parents, because your show, there's no note. They're going to be the cutest little parents. You're going to be the band or the sweetest fucking bitch. I swear to God like I've been having like a midlife crisis and you guys walk away from that edge. You know what I mean? Like, and you guys are all so supportive in the sweetest God damn people. I love just being around you guys. I've been excited about this podcast because you guys are so sweet and calming and like you've got, you've got like you've got your shit together and you're so nice and you like us.

Speaker 2:          00:12:45       It seems like what we're talking about. We've been trying to schedule more dinners and yeah, it's fun. I was sick the last time. I'm still coughing. I regretted I was a great regret. No, no. I think actually when, when you got. I think I was getting sick too. Yeah, I got sick also. I got, I got antibiotics and it was a whole thing. I didn't go there. Are you going to do a natural birth at the house? Are you going to rent like a tub at the house? The house live of the podcast. Oh, you don't know this? Uh, Jews aren't more on wait. Is that a Catholic Christian fucking Weirdos out there who were absolutely. Wait, why the Christian thing? It's a happy thing. It's weird. Why? Tell me what you're talking about. So there are lunatics. They're usually white. They usually white. It's white people.

Speaker 2:          00:13:41       It's white hippie Vegan types. They'll have home births and they'll get like a tub and put it in the living room and then give birth in a tub and just not have any epidural or any pain meds. You know that your reaction is exactly what the reaction should be. Healthy. React and do people come and walk? They have parties. Every party. Absolutely. What do you expect that water. It looks like in the bath, it's so hot. I'll take a sip at the end. I would jump into those papers, ceremonies that the dad then gets into Jackson. He jerks, right. It's huge load load for one delivery. Oh Wow. That sounds. Yeah, I'm into that. But yeah. So you know Kat, Kat von d tattoo artist. She's like a famous tattoo artist. Anyway, she's praying right now and she puts on instagram and she's going to have a home birth and no vaccinations. Vaccinations on the kid and she's been. So she's eating Vegan through pregnancy and look, hey, that's all more power. That's your choice. But she just gets lit up like honestly, you guys going to vaccinate

Speaker 3:          00:14:52       or how stupid thing is that? Um, when I was born I don't think I had autism, but now I'm pretty sure that I do. So I haven't seen any. So I think no vaccines, whatever the vaccine is for to prevent autism. You don't want that. I want. Oh yeah, she was, she's got a lot of views. She has. She's very popular, very popular. I really liked her actually. She was on that show, las forever and Miami ink. Um, but she just gets lit up, you know, you kind of asked for it when you're home. Birth is, uh, is this something relevant here, Dan? A nut? She's talking about the home birthing brought my husband and I closer, Yada Yada, Yada. Sisterhood, brotherhood. Naturally I've become more empathetic. Can you scroll down, Dan? Is there any relevant a part here? Oh yeah. Because the captions, pretty bunch of hub bub vaccine kids idiot vaccine.

Speaker 3:          00:15:52       Your kids idiot. Yeah. Yeah. Well, I do think that [inaudible] is pretty insane. I mean, it's so insane. What are, who are these people? Where are they, where are these people? There's a lot of conspiracy theory. I mean that a lot of people, like they'll realize that, you know, the American medical journals have debunked that entertained for a while and then I actually did a valid study on it and yeah. You know, why are we not all walking around with autism? Why are we all not great? I mean, we're all, we're all vaccinated and smallpox has gone, but I mean, well I guess we are a little autistic. I mean, look, look at what's going on here. I think I might have something to do with new jacket every day. Every day. Really. Are you going to leave clues relate to find what's the little nut trail now?

Speaker 3:          00:16:44       The detective's gonna catch you man. Sometimes I wish I jerked off less, but I can't just know. Part of your thing, it's just your daily downside. Do I do have concern that it is a compulsive behavior? That might be true. Let me ask you this because there was a comic who I won't sell out, but a comic told me that we were going to do a show and he was like, yeah, you know, I, I jerk off like in the hotel before shows and I was like, oh my God, I would not do that at all because it would make me too tired. I was like, I don't want to feel tired to go do the show. The opposite. I would like to. I would do it after a show, like get back to the room and easy and then Romance, oh, I like to spend time with me.

Speaker 3:          00:17:29       No, but does it not? Can you do it? And then like, are you the type that it kind of knocks you out or you're like, oh, I can just go out. It depends, you know, I found that jerking off in the morning is generally a bad idea really, because it'll, it could slow your day down so much because once you jerk off, like you're going to be on your phone, if you had like a big event, like I don't know you, you had to. No, no, no. I won't do it right before. No Way. Yeah, that's what I was. No Way skype performs jerker generally. I'm a night jack. He was keeping notes. Aren't you guys together? I assume you're watching your shows at night. You're married. I guess I fall asleep first book. There's not. Look, it happens you. This is something that just happens.

Speaker 3:          00:18:09       And, and uh, you know, my clothes were. When are you sneaking off? Are you of these guys to do? You pull up the Samsung and this turned into an acquisition. Yeah, I generally, yes. The phone. Yeah. I'll use the phone. Do you ever do that thing? I've done this where like you kind of pay attention to how deeply she's sleeping and you're like, I think I can do it right here. Yeah, yeah, yeah, for sure. You are so sick and then you have masturbated in the bed when Tom was sleeping. No. Have you don't think so.

Speaker 3:          00:18:47       You have. Yeah. There's no shame. Yeah. No, I get so embarrassed. Look at me. I'm fucked. I'm telling everybody about my compulsive masturbating jerking off one time in the bed when you guys are, you're not afraid of being caught. I think the fear of being caught so thrill though, right? Not For me. I don't like being afraid. No. I'm not afraid of being caught in that. I'm so confident that I'm not going to be caught here, like asking for me to find I know what I'm doing. She doesn't want to catch me know too because I noticed that like I, you know, my morning shower is not usually. Not usually not. Sometimes I do, but you always go like, is it cool to come in, you know, what the fuck you're doing in there, and I've a couple of times I've been choking my chicken and you came in but you were like a wreck.

Speaker 3:          00:19:37       Yeah. But I was able to position myself kind of like hey baby was also enough steam, you know, so I was like, what's the thing? We moved to a new house recently and the bathroom, I don't have any privacy there because it's connected with the bedroom and so I'm really afraid to go for the shower these days because if you walk in it's going to be so obvious that I'm like concealing my toner. You guys have a new game though. This can be a fun game. You'll continually jerk off every day. You know what altered off and you could be watching tv if that's cool with you. It's not gonna Bother. No, I don't think we're a little strange. Like if you're watching like a 90 day fiance and I'm just beating off. Is that a problem? While we were watching? No, that would be weird. Yeah. You can't just get up and kitting, like taking a dump. You can't just get up and take it down. 90 Day fiance you watched that? We started to. And then we forgot about it. Dude. What's the. Okay, what is the, uh, the video you parody? Like what'd you make fun of the reaction? Yeah. So you're talking about our new video. Yeah, I loved it. It was a plc pilot for ICAT. Fished my kid. That's so weird. Which is funny because.

Speaker 2:          00:20:48       And they roasted the day especially for being such a fucking Weirdo. This is such a great show. It never got picked up. It's funny because he of all people drew the line somehow. Speaker roster is nothing but like obese people, small people. John even had one that like, I'm a fat black dwarf. They follow people that have

Speaker 4:          00:21:14       nothing inherently interesting about them. Other than that they look unusual. Yeah. Like I love it. I could watch that channel was nonstop do them. When I'm bored I go straight to TLC and I'll tell you I got sucked in. I was watching this one about my 600 lb. Life been there. Yeah. And actually it surprised me because there was actually a lot of, uh, I'll tell you what, it shocked me because I was expecting something really superficial, but they followed this lady for like 10 years. It was pretty crazy. I mean, it was, she'd make it out. All right. Unbelievable. She passed away. Really? She didn't. Oh, I don't know why I made that joke. I think it's because he was pregnant. It's like a dad joke.

Speaker 2:          00:21:54       Oh, you were becoming a dad. I'll make a joke. Like, why

Speaker 4:          00:21:59       that's a joke, but it's like, why did I just lie? Did I tell you about my, a Cheddar cheese addiction? No, it's pretty mild.

Speaker 2:          00:22:10       Um, no haters. What's up now? That was a terrible. I'm a fucking experience, dad. We talking about that. You've been around the block. You're setting him up so excited for you to, to be parents.

