Speaker 1:          00:00:05       Welcome.

Speaker 2:          00:00:07       Everybody did the h three podcasts. We are sponsored by me on these stitch fix and Felix Gray. The guest is the Hilarious, the wonderful, the excellent machine, otherwise known as Berg pricer. Everyone's like, all right. The new Netflix special out today, secret time, which I've watched. Loved. Hilarious. So good. You have to watch it, but after this podcast, because I want you, I want you to,

Speaker 3:          00:00:40       that's fair. Yeah, yeah, yeah. You're the first person I ever send a special to ever in my entire life. Yup. By the way, that this isn't right machine. It was, well, it was, must have been three years ago. Was it three years ago? It was like one year. No, no, no. It had to be loved when you were in here for, oh, when I did the machine, when I read the machine does it had to be excited to maybe two, maybe two. A five. Okay. Let's say five ban all about hyperbole. It was like 20 years ago, right? Yeah, he was before the Internet. That's what's really impressive about law. I was following you and I was, I was like obsessed with you, and then I kept tweeting your videos and then you were like, Hey, oh, thank you, or whatever, and I was like, I was like, yeah, and you're like, do you have a new specialist?

Speaker 3:          00:01:23       Like let me send it to you. I'd never done that to anyone. And it's such an uncomfortable place to go to to go like, hey, here's what I've been working on. Yeah, tell me if you enjoy it. And I was like, wait, that was a big fucking mistake. I should've let him found me online. The good stuff first. And then I was like, oh shit. And then you came back, you were like, that was hilarious. Hey Randy, moving out to la, come do my podcast. And I was like, oh my God. I was like, you're coming up to La Mama podcast, her left eye. Then the sad part is, is that we had you on, we had this one are probably the best episodes, probably the first guy here in this office. We had just got this studio. We had just built this big beautiful set or like let's bring Burton.

Speaker 3:          00:02:03       He's always honored guests. It was such a great, I was flipping the table. I remember you flipped the table. We were drunk. We were drunk when I left here and you said to me when you started, you go, I don't really drink by the first break, like in 30 minutes we were drunk. I was flipping the table. Everybody was the best episode I've ever said. I can say that without reserve because no one will ever see it. No one will ever, and it's such a shame because it was lost to oblivion for technical issues at, because we were new. We didn't know we were doing and I'm so, so sorry that that happened. I'm so sorry. But I will say we learned a lot of things from that episode. We learned a lot from meeting gayle and having you on and I want to list some of the things we learned from it if I can.

Speaker 3:          00:02:48       Yes. First of all, to your great credit we, it was like three hours of shooting and you said you have to post the whole thing on edited. That was like November. You were like, and you were like, you were cutting. You were like, all right, cut. And then I was like, no, no, no, just rolled his whole thing. I can't believe we have done that. We were thinking, because we were still thinking like youtube video. You were definitely thinking youtube video and thinking like you're like, we got to chop it up. And I was like, no, no, no, no, no. And I kept saying the beautiful stuff is the in between stuff. It's like I love, my favorite part of podcasting is when like something happens off mic and you're listening and you're like, well, what's going on over there? Favorite part.

Speaker 3:          00:03:28       We were so obsessed with cutting it and editing it down. It's true that it loses authenticity. It loses the pop. And when you're in the editing and you're trying to edit down like a natural conversation, it's like mad at me. What do you, you know what I'm saying? Yeah. So you were right. Oh, okay. Right, right. And we always thought, because it took us a while to get there, but we stopped editing. We said Bert was right. Yep. Um, number two, I remember we don't get, we get uber blocks for all of our guests now. Oh my God, we forgot about that. Oh my God. Oh my God. I remember that. I did at the time I didn't even, I understood there was uber, but I didn't know anyone used anything other than uber black and your life. And I was like, I want to be drinking. I'll get an uber. And you were like, no, no, no. I insist

Speaker 4:          00:04:30       wasn't a carb, but it may have been.

Speaker 3:          00:04:54       I totally forgot that. Let us get you an uber home. I was like, no, no, I didn't know that there was another option. So I was on the other end, but I remember we were, when he was trying to pick you up, he couldn't find deals. You're on the phone. He didn't speak English, but he's on the corner. He's a big guy. He's got a beard. I wouldn't get in his back seat. And her groceries back there. I was like, oh, oh. So since that moment I was again, I want you to know we get blacks for all of our guests. And ever since that day we sprung for the black. I didn't and I liked, I liked my uber's just like I like my men black xl. That's a great line. So Uber's blacks and excellent. So again, giving honor to you. Totally forgot about that. And so third and most importantly, which we have not forgotten and I shall never forget by far the most

Speaker 5:          00:05:58       as you may now understand as I pull it up, what is this? What is this? Oh, I know what it is immediately. I know exactly what this is. Quicksand porn. Oh, something came up when we were having our last conversation. It's the one really sticks out is we were talking about all the weird shit we find on youtube and you were like, I'm into this thing quicksand. And I was like, Whoa, what is that? So and then, well I'm so happy that kind of, we get a chance to Redo this because I got the opportunity to look it up and now we can have the pleasure of watching it together. Yeah, please. I know this one, you're familiar with this. Well there's only like 30 out there. They're pretty niche prize. How did you find quick sand porn? I don't think, I think I first heard about it.

Speaker 5:          00:06:48       I'm like a radio lab and they were like, and they were talking about quicksand porn and I was like, what's so interesting? I used to have a joke about like the premise was I always thought by this age I would have been trapped in quick sand a couple of times by now cause growing up quick, Sam was like everywhere and now they're just to put this out there. There is a comedian who has a joke like that. I never really told mine when I told him like, but in bags, the only person who ever heard it in bag, hilarious comedian one time said the best quicksand joke ever. He walked into my hat was on the floor and he walked. Anyone? Huh? Quicksand got him? Huh? It was just a great one. That's pretty quick. Quicksand was in everything I ever spoke growing up. I haven't Costello, uh, uh, every like every, uh, everything was, quicksand was always the Damsel in quicksand.

Speaker 5:          00:07:33       Oh, and I had an obsession with this is a young man's fetish. No, no, no, no. It's like you gotta be like 45. Okay. I explained cause I was like, how did you come out? Like how do people come up with that issue? Bring it cross? Oh No, no, chill. It's based in like the same shit that like there was a TV show called the Boogaloos when I was a kid and like every episode they tied up the girl. So I remember going to this, I was a dominatrix skim for a day on this old show I had. And uh, the conquer, no, no hurt Bert. Oh, heard burt. And so I was a dominatrix, kept with this lady, Mistress Isabella. And she did a bunch of stuff to me. And at the end of the day I was like, I was like, you know, I gotta be honest with you.

Speaker 5:          00:08:11       Not a lot of it. I didn't find sexy at all, but there was a couple things where I found like really hard. She goes, how old are you? I was like ours at the time. I must have been like 30 maybe. And she was like, check out this video. And it was all stuff dialed into my sec. Like the stuff that would have been, he knows formative. Yeah. What was the stuff? It was like super woman apple outfits. Wonder what Jude, when I first saw wonder woman, I remember being a kid and I was like, I was like, oh, I'm straight. I didn't know what that was, but I was like, whatever that is. Like the other day we were in a, we were in hot topic, my daughters are into that kind of like anime stuff and there was a wonder woman bathing suit. Right. And I was like, I was like, honey, let's get this for you. And she was like, it's made for girls. Like, I'm a like

Speaker 3:          00:08:56       a 48 year old woman, I'm going to look disgusting. And I was like, that'd be your what I got. But so yeah, so quicksand was like the thing. And then I watched the thing, I listen to the and rate lab and then I start going, I can't be a real thing. It's gotta be a joke. All right. And then I googled it one night and it was just the, it was like a weird, like it's not, I don't know, it's just like something that I was like, that's kind of sexy. The point when the girl's boobs get to the mud reminded me of like every time the dams will, we get to the mud and her boobs would lift naturally. You'd go as a kid, you'd be like, oh my God. Oh my God. What happened in mad? It just connected with that. Yeah.

Speaker 3:          00:09:32       Well, okay. So the thing that really threw me off at this is that like a lot of them, the girl, she like dies and the end like the fetish, like she straight up, she just disappears into the oblivion and they, and they hold that shot for a while. He didn't worry. Do I go how long she been under and weight and like legit like dude, I've seen some really weird ones. Like we're that like these, now that I said it out loud, what happens is all these dudes that make him hit me up and the like, hey man, check out my quicksand videos. Oh you got hit up community. Oh, quit by sinkers. They're called sinkers. They're bold thinkers. Yeah. There's like a legit community of people. They're all older gentlemen. Yeah, no, a lot of young kids thinking these days. Yeah. Maybe today maybe we can change that. Yeah. Maybe we can introduce this to everyone. I want it to keep the infuse some new blood into this community. It's, it's uh, no, I don't think so. I like 20 years olds going, what the fuck? Well, here we go. I've got a whole, I mean, I've got awesome. If you have the good one, I'll show. I'll tell you which ones that go down here. Let me see. 21 minutes of it. While here, I'm going to skip forward a sexy girl.

Speaker 3:          00:10:49       Aw Man. I don't know what I'm a, that's, that top is troubling. Lay Low for this. A family friendly show. Let's cut. Oh, this one's good. This one is quite graphics. I don't want to get to when she's in a bathing suit for Christ sake. I mean, give me a break, right? I mean, what do we fucking, what is just the Catholic Church? Oh, look at the, I'm trying to not show too much. I don't want to cut. I want to cut to the money shot, Aka when she dies. I don't Dunno. Does she perished in this one? This shit is so bizarre. It's so bizarre. Probably the way this can you sit back? But I don't think she parishes in this one. So let's, let's, um, look at this as the birds. That's real. So here we go. So this is the one where they perish at the end. And these are, these are the ones that I cherish here. She is a star. It's almost like a thrasher. Oh, see this is good. She's walking through the woods. Yeah. You get the whole story. Yeah. She's running away from someone.

Speaker 6:          00:11:55       Oh Wow. What is this apocalypto or you out of your mind that is tar. You had two very good ways to walk around that. This one was, she likes it and there's one where she's actually like, yeah, I think this one was shoes. She's going quick. Well, she's like, I'm dying somebody. Maybe this is not a joke. Yeah.

Speaker 5:          00:12:19       She's like, I know. I know you're filming. Yeah,

Speaker 6:          00:12:26       there we go. This is going to get really sex. You know?

Speaker 7:          00:12:32       Oh well your hair back. She,

Speaker 6:          00:12:37       I can't see the fricking barba. I want to find the money shot where she pairs. She's struggling, man. So here we go. She looks a little bit like, Ugh, get your Dick Style. Everybody. By the way, this isn't the park. I've already stopped watching it for the record. He's got a watch her breaking character. It'd be like Darryl for real. Come on money anymore, man. That's what really turns me on when they instruct them to break the wall. So it looks like they're actually done.

