Speaker 1:          00:00:00       Mm, mm.

Speaker 2:          00:00:06       Welcome everybody. To the h three soundboard experience had a lot of complaints about the soundboard and I hear you most definitely. Welcome to the soundboard experience today is we'll return what? The wonderful, great, excellent, and most beloved video game donkey and Leah who are currently facing the wall. I feel like I'm in the Blair witch project. Thank you guys. We are on this side. Okay. Welcome everybody. Thank you guys. It's very risky. I liked the you guys. You don't want to distract me. You don't want to make it weird if the wall. It's very appreciative. Love that. Today's episode for free. Get it sponsored by you to meet honey and quip. Welcome back. Isla, by the way. Thank you. Neil is back in town, so thankful to have you back. I have been in the trenches taking grenades. How many episodes did they do without you? Thank for God or more. I was gone a month. Well, good to have you back.

Speaker 2:          00:01:21       You didn't get into trouble. Well, Leah was just telling me in the last episode as many of you, but that's okay. No, I got to confront my, you know, my shortcomings that I overplayed the Roseanne sound soundbite. I didn't see any of that. What that was. And now I have one too and I'm going to be using. He'll hit me with the cricket. I've got great news guys. We're going to be playing another round today. Above know your meme. That's right. Know your meme featuring the one and only video game ducky sitting across from me today. Soda play call in to eight. Oh, eight hot mean. That is our real number. Eight. Oh, eight hot mean for a chance to win a new Samsung Galaxy nine plus. Alright, are you guys doing great? Yeah, we're just enjoying our vacation here. This is the highlight of the vacation. I was thinking about hitting you with Roseanne, but I get a headache right now. I'm not going to ride that button. So what brings you guys out to la? Well basically they haven't left her house. Last time we came out. Is it a. it's just to get at, kind of just get out, take a trip. Nice. See something besides Wisconsin, like the three blocks around.

Speaker 3:          00:03:00       Like

Speaker 2:          00:03:01       what do you, what goes on in Wisconsin?

Speaker 3:          00:03:06       Well, we play tennis. You do tear up tennis, tennis. No real play. Real tennis or you know, usually when we don't keep score. It's just more about getting out there and exercise. How frequently do you guys play tennis? Really? You know, if we're doing really good, we'll go every week. But you know, take some breaks. Sure. Reeks charge. But the worse you are at tennis, the more exercise you want them getting. We're really, yeah, we get a lot done when we do that. If you guys were like being out here in La, I will say by the way, that Uber that you guys took that we call it for you take two hours of which I'm very grateful and sorry for. Yeah, it was, you know, a relaxing journey. Stopping and starting

Speaker 2:          00:04:06       Wisconsin. Right? You do. But I dunno, I dunno. It's not have like people on motorcycles over here going through like the blinds, Wisconsin. Like you have like an old grandma, like driving on the wrong side of the road.

Speaker 3:          00:04:25       La driving nuts though,

Speaker 2:          00:04:27       the cycle between the car has always struck me as very oddly reckless behavior. It is, but I think when you're on the motorcycle you feel like you know better than everyone can do this.

Speaker 3:          00:04:41       I'm on a fucking motorcycles. Yeah, till someone like until that grandma going the wrong way. Then all of a sudden

Speaker 2:          00:04:50       I didn't know. They scare me man, because like all the sudden they're recklessness becomes my problem because I'm in traffic. I'm not paying that close attention to like what's in between me and the next car. All of a sudden I'm switching lanes.

Speaker 3:          00:05:04       No, we have a word for them in Wisconsin. She calls them ancient alien. What? The motorcycle. Old People, old people. It's anyone who's like, you know, and they're driving the wrong way down the road or they like just stopped in the middle of ancient aliens.

Speaker 2:          00:05:29       Old people that just can't see. And college kids that are just dumb as hell and mishmash both.

Speaker 3:          00:05:39       Imagine that you know that guy from h and alien, the crazy aliens. That's who's driving all those cars and I'm talking about, well clearly they're like not in this world right now. They're like, this is like, what do you do? Have you guys ever been in a car crash? A, I have not been in one,

Speaker 2:          00:05:58       but I wasn't very. She machine ancient alien thing. She's been in a lot of accidents stuff. Maybe she is, but after seriously never her fault, but she's always done that. What was it like? What happened? Uh, one with some lady just went through a red light and just crushed into one. That was probably the worst one was. Yeah, it was pretty scary. Are you injured? No, we're fine. What? Did the car hit? Your side? Yeah. Damn. Our car didn't get killed though. They're their card. Did got maybe what car. What car were you in? What car were they in? Do you remember? I don't remember. How old are you?

Speaker 2:          00:06:45       17 or 16 year survivor. That's pretty scary to get at a red light. That's not a. that's like a serious. It was, you know the back. Okay. You spun out maybe. Probably Shit. I can't remember anymore. You blocking it out of your memory suit from Adam. What about you? You've been in a car accident. I'm just once. I kinda like I was someone who was parked like in the middle of the street so I was going to go wrong with them and then all of a sudden they started to do it. You parked in the middle of the street, like it was waiting for something waiting for you so it could hit you, but it wasn't nothing serious. It's all good, but that's it. My Dad ran. Someone wants, my dad is an ancient alien and the eight he is a liability. Have we told the story about how in Mexico, like my dad is a psycho thought ever get in a car with them?

