Speaker 1:          00:00:01       When it's like upside down.

Speaker 2:          00:00:06       Welcome everybody to the second annual age three podcasts. Live Bonanza.

Speaker 3:          00:00:16       Thank you Alex.

Speaker 2:          00:00:18       Again with the usual suspects that Justin Roiling and Alex Hirsch together last year we raised $240,000 for direct relief and we are back again with the goofs, the gaffs, the laughs to bring you comedy. That raises money. It's all wholesome baby laughs and charity together. Welcome. Thanks for having us. Yeah, it's very, very nice. Thank you. Now if you want to donate, there's so much to get to. We have a fricken bananas

Speaker 3:          00:00:48       sit here. I'm going to, I'm not waiting. I'm going to drink with my bag. Justin

Speaker 2:          00:00:54       serenade, everybody. Now if you want to donate the link is into the description, but it's tilt to [inaudible] dot com slash they have an h three h three productions where I found strange. I've never seen an ad in a url, but there you have it work. It works. Yeah, I mean I've, yes, it works. It's in the description. We have got so many prizes. The prizes are. Um, let me go over these surprises to let you guys know what's on the line now. First of all, $1 is one raffle ticket. Now do not be confused that

Speaker 3:          00:01:31       he can, I'm having flashbacks the last year. Right now do not be confused. One, you do not have to donate multiple times more. You donate the more they can't. They don't have the technology though. Unsettling. It's really creepy. It's a little skin to animate doll face.

Speaker 2:          00:01:52       All right. Sorry. Go ahead. I go ahead on a $1 equals one ticket, $10 equals 10 rebels or you do not need to donate multiple times. [inaudible]

Speaker 3:          00:02:04       the more the more likely it is that you're going to, but even somebody who only donates a single dollar can technically when the pride, correct. Yeah, but so you could be, you're not to, you're going to have to, you know, the odds are stacked against you. If you only didn't have to kick down like a lot more than you might. It's pot. You could, you could. It's a, if it's a possibility, Justin's playing those mind games. But I, but I, you know, if you really want to win, you've got to throw down to beef up your, I'm hoping one of our prizes goes to somebody who donated a single dollar people who won donated large amounts. But there was one person that won a big boy prize and I don't remember what it was, but here we have, was it the lint was skippy's was the lucky one that was, you know, I thought when I thought about flying skippy out so we could smell his real belly button, like the source of the lint to kind of continue the story. But you guys vetoed that one. I mean, I know I was like, whatever you guys want to do. But

Speaker 4:          00:03:01       no, he didn't just like texts like, hey guys want to sniff his belly button and we just like me and justin just did. There was somebody else will get this one. Somebody told her flat out.

Speaker 3:          00:03:11       But I'll tell you what, not to be outdone. Last year we had one of the most powerful moments I think in live broadcasting history when Justin pepper sprayed joey salads and the face. Yeah, that was a beautiful, wonderful thing.

Speaker 4:          00:03:24       Charity. But did you feel spraying and other man of the fact that felt bad? I worry, you know, as the years go on and we can tackle it like alluded tick. Well you know, I mean I felt bad but also I couldn't help you know, laugh at the scenario but, but the uh, you know, I feel like as the years go on and we continue to do this and hopefully the numbers that we raised grow, uh, I hope we don't end up killing joke. You know, cause I was coming up with all these things like, oh man, what if he, you know, we, we get them like one of those really dangerous like, like one wheel. Well I guess it was, those things are dangerous but some sort of dangerous contraption to ride on a, that's going to be really hard to do to produce and be like, what if he falls and breaks his neck? And then it's like, oh I now he's paraplegic. Not that there's anything wrong with that, but I think paraplegic,

Speaker 3:          00:04:17       if he dies this year, what are we going to do next year? We got up, we got to keep, if he dies

Speaker 4:          00:04:24       charity foremost. Yeah. Yeah. We need to make sure that um, we have some

Speaker 3:          00:04:28       tissue samples, sort of DNA that we can clone him because that technology is probably not too far down the line. There's a good, and then he's going to be puking today's who will be collecting if we told them guys, we have four milestones that we would like to hit during this live stream. Twenty five thousand fifty thousand seventy five thousand a hundred thousand every 25,000 Joey's going to be eating progressively spicier peppers. Go ahead and cut to joey so everyone can see what is going on in the backstage there. We've got a kitty pool set up. Joey is sant milk. Yes. With milk whole, what are we looking at? Where are we right now? I think it's the whole, it's whole baby all the way. And you know why not? A couple of little little packets of a half and half. Oh, we can see. Yeah. Yeah. We got the doc. We're filling up the pool with the milk. Now. Joey is going to be eating a Jalapeno at 25 and how be narrow at 50 a ghost pepper at 75 and a Carolina reaper, right? 75,000 does the Carolina reaper. That sounds terrifying. It's the spiciest pepper in the world is it really surpassed but it whatever. At a certain level. It's like the crazy ones. By what though? I wonder if they keep them up her. Oh, pepper acts of course. Eight tens of Grendel, I believe it's called A. Is that what they tend to at all saints? Satan. Sharp

Speaker 5:          00:05:58       crickets. Yeah. Hit me up. That's great. Yeah, for that. Yeah,

Speaker 3:          00:06:02       so we're very excited. We're very thrilled to be hitting these milestones. Let me tell you what you can win because we have some incredible prizes throughout. Now, first of all, if you donate $100, these are all on the prizes section of our donate page. A hundred bucks. You get to write something on Joey's body. Anything you want that's not racist or that will get us banned from this live stream for uh, for a, uh, how much is it to read on my neck? Was it a thousand or 500 because we did this last year and we opened the page here. Yes. Sworn it was 500 bucks to ride. Her neck is 500 that's right. So you guys can write on me. Yes. Let me show you this. I might donate 500 this legendary shot was produced last year and this is sharp sharpie. So you have to walk around like that for 500 bucks. Anything anybody wants could be written on your face. Do they get to choose the part of your foot? Whatever they like. What about, what about, what about inkbox? Like I have some inkbox free hand. Like you know, it, it you, you let it dry but it wouldn't show up until tomorrow and it lasted 18 days after the flood.

Speaker 3:          00:07:18       I was, I would like for a certain amount, you know, maybe it's worth it, you know, it's just, and I do have a life that doesn't sound though. He might be up for it, you know, a little almost up to $5,000 guys. So we are approaching our first, yeah, there's a bunch of cool stuff on the site and there's a bunch of rare, well, let me, let me go ahead. Yeah, yeah, yeah. So you can draw on us now. This one is super, super amazing. Um, oh yeah. You can buy, you guys gonna be doing, uh, original art throughout. Yes. We bribed that. We will. We will. But it's like, I don't know how good it's going to be. I figured we let something else right now, but we'll be dropping somebody some sketchy ruse. Yeah. I figure we'll let we have frames, you know, for, for what size paper is this?

Speaker 3:          00:08:02       11 by 14, I guess. Maybe not. So we'll be creating these three amazing artists. We'll be creating art and as they finish them, we will throw them up for your bidding pleasure. Or we could ask them like, hey, like, which ones should we throw up? Because some people would be like, yeah, sure. I think we'll sell them all just okay. Up Next Post Malone. Was that, uh, rolling loud? Is that, am I saying that correctly? Yes you are. Thank you Dan. Now Post Malone as you know, has been smashing the quiet. What do you mean? Sorry? It has been smashing a what? I'm sorry what Justin? I just said who rolls quiet, you know?

Speaker 5:          00:08:39       Oh wait, what did you go for it? Uh, what's that? Double Cricket. Yeah, we dealt with that.

Speaker 3:          00:08:51       So, so post Malone, this was smashed just last weekend

Speaker 2:          00:08:55       during his show at rolling, loud, signed and, and dedicated. This is, I truly believe a valuable part of music history that we will frame professionally and sent to the winter. So this is really, I think, an amazing donation by post malone who we think very much next up. This is something amazing. Justin, why don't you go ahead and explain? This is a rick and morty episode number one side by just rolling.

