Speaker 1:          00:00:00       Five four, three, two.

Speaker 2:          00:00:04       Well, hello everybody and thanks for joining us today on the HD podcast joined by the wonderful Jack Black and kyle gas yes, of tenacious d of whom we are all we all love and appreciate. Uh, today's episode is sponsored by me, Andy's Vince Zero Robin Hood and meant mobile. Now you guys are here. I can hear myself Dan, but that's okay. Do you guys have a new animated series posts apocalypto that is on youtube right now for free. Yeah. Why isn't everyone closing this and watching that? Well listen to what they have to say, right?

Speaker 3:          00:00:46       I think it's kind of hard to find, but I'm an old man. I think the best way to find the full movie post apocalypto is to go to tenacious d.com and just click on it there for free.

Speaker 2:          00:00:57       And if you also go to tenacious d.com you can find out that these two wonderful men are touring all throughout this month. So grab some tickets and catch the d live.

Speaker 3:          00:01:08       The best one to see of all the shows were playing is a December 30th in Las Vegas. We're doing something very special, like it's, I can't say what we're doing there, but that's the one, if you can, you should get on a plane and fly to see tenacious d in Las Vegas on a lot of people are gravitating. Yeah.

Speaker 2:          00:01:26       Towards our New Year's eve show in Las Vegas. And that's the natural show. But the good show has nothing to do with the tickets. Tickets left. It's a little well, and also variety for your consideration. Tenacious d did you guys see that though?

Speaker 3:          00:01:53       I don't know who put that in there, Huh?

Speaker 4:          00:01:54       Well, clearly I watched em

Speaker 2:          00:02:01       loved so much this, this, uh, is it a movie or Shell? Because it's six parts and then you've got it all together in one slot. So do you think of it as a movie or a show or a show? Well, we have found that the best delivery system is actually on a big screen in a movie theater and just see it at all at once, sharing it with the fellow fans. And

Speaker 3:          00:02:24       it's more of a movie. So we didn't know we, I think we accidentally made a movie. We're making little episodes. You're making little five to 10 minutes episodes. And then when we got, when we got to the sixth episode, the finale, we realized if we took away the intro outro and, and ran them as one movie, it actually played the best. So yeah, we think of it in a lot of different ways. It's an album, it's a TV show. It's a movie. It could be a broadway play, could. It is. Yeah. Well the live show is very a rock opera ask presentation of

Speaker 5:          00:03:00       the material as well. Yeah, that sounds Super Fun. Yeah. Yeah. Now I can maybe one up and you know Bruce springsteen's on Broadway right now doing his show. I don't think he has any, any lights and magic. He's an old singer songwriter. So I thought, why don't we just, you know, well, I think you're kidding, but I would, I would watch the heck out of a post apocalypto Broadway show. Well, you know, part of the reason why we did, part of the reason, part of the reason why we did post apocalypto as we were jealous of a book of Mormon are our arch enemies in south park. Did this incredibly funny musical comedy. If you get a chance to see it, it's probably playing near your town now. A Super Raunchy, uh, politically incorrect, a broadway musical. And we were like, yeah, we, we want to party in that sphere.

Speaker 5:          00:03:55       Genre rock the dramas. Well, there's isn't really a rock opera. Yeah, you're true. It's actually classical classic. It was a broadway, it was so hard to see. And I was living in Israel at the time and there was so much hubbub about it. I really wanted to see it. And the only thing I was able to find was a gentlemen recording it on his cell phone the best way, one of the back isles. And I have to say, I don't remember much, but I think it was good. Yeah. We should still like, yeah, we should catch it. Yeah, but so you guys did everything on this and it's a very unique style you've got. It's a cartoon, but it's what, it's like one frame every 10 seconds. So you guys kind of, which I find charming. It's not like I wouldn't consider it like it's, it's just a style.

