Speaker 1:          00:00          The joe rogan experience.

Speaker 2:          00:03          Let's get into, we, we briefly touched on weight cutting, but I know that the UFC has recognized that there's, there's a real issue and um, what steps have we taken to try to mitigate the problems that are caused by weight cutting? Yeah, it was interesting and another one of the reasons why I love the performance institute and the staff that we had there and that before them. And it really stemmed from the Usada program where under the water code you ban the use of Ivs. And so, cause I was kind of the point person obviously explained why ivs or problem, it goes back to the, to the cyclists. They were using ivs to basically flush their system of drugs to manipulate their bicycle biological passport. So if is blood doping or using EPO and um, it would have a tendency to lower those and, and normalize those biological passport levels.

Speaker 2:          00:54          And so lot to learn that through some of the investigations that, you know, there were conducted and determined that ivy use in excess of 50 milliliters every six hours would be prohibited. So when we announced that we were adopting the water prohibited lists and prohibited methods, um, there was some, some blowback within the UFC community saying, hey, these things are used regularly because fighters are pushing themselves to the edge to make weight and do you understand what you're doing here? You're going to put fighters and unsafe positions where they're going to get in and not be, um, rehydrated. So we took a look at that and, um, spoke with you, saw it, and he said, hey, you know, maybe we should, you know, slowly rolled out the ivy bands. So we actually delayed that by three months. The program went into effect July 1st and we instituted the IB band, um, October 1st.

Speaker 2:          01:44          So we had three months of getting fighters prepared for it, educating them why, um, that they were banned. Nevertheless, I mean, real quickly the whole weight cutting issue came kind of into my plate. And while, you know, I wasn't an expert in it, I had to get out and talk to a lot of fighters, camps, coaches about ivs and give them, you know, alternatives to rehydrating the right way. And so I, again, not being an expert myself, I reached out to what I found were we're experts in the world. A certain guy by name of Doctor Robert Kenefick who is a phd exercise physiologist, works at the US Army Research Institute of Environmental Medicine Studies, environmental effects on soldiers, his expertise being dehydration. So soldiers in the Middle East that are marching for hours, days upon a time run out of water, dehydrate themselves. How do we get these fighters back? Are these soldiers back rehydrated and back into the fight and thought, hey, this is the type of expert that we need to talk to.

Speaker 2:          02:44          Its extreme dehydration. Not, you know, some kid that has diarrhea, it's mildly dehydrated with some, some pedialyte. So we brought him in. Um, had him actually the week of UFC 200, um, he was in town, got a chance to talk to lot of the, the fighters coming in and analyze the message they were using. Um, he recommended to us, hey, you know, here's the maximum amount of weight fighters, you know, that you should recommend. Fighters are losing that fight week. And that's how we came up with our weight guideline of 8%. So we recommend when those fighters check in Tuesday for a Saturday fight, they're within 8% of their goal weight, usually on Friday. I'm not a requirement or recommendation, but you know, we put that out there and educated heavily on that. Um, since then, uh, you talked, I think last week about Andy Foster, the executive director of California who's really taken the lead in terms of commissions on combating dangerous weight cutting.

Speaker 2:          03:40          Um, he worked with US pretty closely on developing his 10 point weight cutting plan or plan to combat serious weight cutting. Um, includes his commission making calls to fighters on the car 30 days out, 10 days out, making them a little bit more accountable, uh, farther out than fight week. Um, he's also got a provision where fight night, he takes the fighters weight, weighs them and their recommendation is you only put on 10% of your weight back on plus a pound. Um, if they're over that California can recommend the fight or move up a weight class. Um, so really, yeah, I mean just a lot of, you know, education recommendations, not here. A lot of people talk about, and I'm curious for your thoughts on this, hey, we can, we can stop this instantaneously. See instantaneously just put rules out there. If you lose this much weight or put this much weight back on, you're suspended for six months, 12 months, you know, whatever your, we're just not going to let you, you fight my concern.

