Speaker 1:          00:00          Okay.

Speaker 2:          00:01          Oh God. That's another thing. Not to talk about calling. Oh, my books were banned so many places and uh, and sometimes I think that maybe that's a good thing because they don't, aren't reaching the psychos. My books are abandoned prison systems. Why? Because they are enormously popular. These prison librarians tell me, but the books are considered way too stimulating. So wow. People in prison cannot read my books. Oh, Holy Shit. All prisons, I don't know if it's all, but it's Texas and a number of other really big states. So I dunno, that's kind of a badge of honor. Yeah. But it doesn't equate to the like the uh, the immortality of being banned. Like a how or a tropic of cancer or Salman Rushdie. Yeah, exactly. Yeah. Oh God. That fucking struggle. Men, this struggle of wanting to express yourself as, as freely as possible, but being limited even by your own peers. That is, um, that's unexpected to someone as in the outside of literature. Someone who just reads it

Speaker 2:          01:18          because it's not in the comedy world, what is in the comedy world, but not amongst good comedians. Well, another aspect of that is that so often people aren't censoring it because it offends them. They're censoring it because they're afraid it will offend someone. They know they're doing it. They're kind of white knighting on behalf of someone else. David Sedaris, uh, told me this story about, uh, telling a joke, uh, or something very funny about a girl in a wheelchair and how he looked out in the audience and no one was laughing. They were all looking at a girl in a wheelchair. And the moment she started to laugh, the entire audience started to laugh. Oh yeah. And so, so often people in the workshop, they might not personally feel offended by the word, but they're thinking how that word might hurt people. They know. But yeah, that's a fact.

Speaker 2:          02:12          Yeah, that's a, that's a giant issue in comedy. If you, if someone's telling you a joke of someone's on stage talking about someone is fat and there's a fat person in the front row, that joke will bomb. Yeah. It just, yeah, but that's because people are good people overall. You know, they, they recognize that they don't want to cause pain. Another really odd comic David [inaudible] story is that he always told me, uh, when you're on the road, don't read from your current book. Always read from the next book pieces it's way of road testing the stories and finding out which ones work and should go into the next book. And in doing so, he was telling the story about being in this, uh, this forensic, uh, uh, laboratory isn't an as an autopsy was taking place and this autopsy table was adjacent to dis this huge indoor window that separated the autopsy suite from this lunch room and in the lunch room where the rest of the, uh, the forensic staff and they're all eating their lunches.

Speaker 2:          03:12          They all had tuna sandwiches and, and cans of coke and barbecue potato chips. And they were watching through the window as this absolutely perfect. 12 year old boy was being autopsied and just hours before at this kid, like two hours before this kid had been riding his bicycle, he'd fallen over, he'd hit his head on the curb and now two hours later he was dead and dead without almost a scratch on him. Just this perfect naked, dead 12 year old boy on the autopsy table. And as he, the, the technicians eating their lunch, watching it through a window, they watch as the, uh, as the, uh, pathologist in sizes around the top of the kid's face at the top of the forehead, the hairline, and then peels the face down, like peeling an orange peels the entire face off of the skull of this little boy and leaves the face around the neck like a mask, like a rubber mask. And this exposes this liver colored dark red musculature of the child's underlying face. And this one guy watching it with a mouthful of tuna sandwich, he points this out and he says, see that? That there, that's the color of red that I want to paint our rec room. Holy Shit. And when's the Darice told that story in front of 600 people?

Speaker 2:          04:47          It was dead silent. And you could hear people weeping. People were crying and they were hating David Sedaris in that moment and so on. I had to laugh. I laughed really loud like a donkey. And it was amazing how that hatred in that auditorium swung from hating David who they did not want to hate to hating this jackass over here who was actually laughing and so I threw myself on the sword for David and that story never went in any book.
