Speaker 1:          00:00:01       Let's do it for

Speaker 2:          00:00:05       one. Boom. Hello Travis. What's going on? Thanks man. Thanks for doing this. Really stoked to be here. It's cool to have you. Hey. So I wanted to talk about what we were talking about right before we started. I've always watched you play drums and I'm like, how the fuck does that guy's arms not fall off? I mean, you, you have so much repetitive motion. I've never understood how you could do that. Just barely know. I, I pull this. Pull this thing like write up like a fist from your face. There we go. I always do battle ropes. Oh, okay. That happened. That must constantly. I'll do 30 minutes. I'm not high intensity the whole time, but just keep my shoulders and arms moving as I prepare for a tour. But yeah, I think my risk, my risk probably have gone through the most hell over the years.

Speaker 2:          00:00:51       Like I just feel like just normal people's risk strength that probably don't have because there's been so much grinding, like they pop and oh Jesus, you all sorts of weird things. But yeah. But I'm still, you know, I feel like because I do battle ropes and because I box and the kind of workout fast twitch muscles, I really don't get tired. That's, it's amazing because so many people have repetitive stress injuries. I mean even secretaries, they get carpal tunnel, you know, people get who write a lot, get carpal tunnel. Kids are getting injuries on their thumbs from fucking around with their phone too much. Yeah. I felt like when I smoked cigarettes a lot, I was feeling kind of the first symptoms of that stuff and I wasn't drinking a lot. I was kind of a dumpster on tour, you know, not really taking care of my body and I could really feel it.

Speaker 2:          00:01:36       And then why are you still Vegan? Yeah. And you run that restaurant was crossroads or it's one of your. One of the owners running it is saying a lot. I couldn't do that. I shouldn't have said running. No towel towel. Ronan is the man. He's like the Las Vegan chef ever. And he's like an old punk rock hardcore guy. Like knew John Joseph. John Joseph keeps trying to get me to go there and I almost went last time he was in town with them. Next time I'm going to make it down there. I think probably 80, 90 percent of the people that eat there aren't vegan because it's that good. Yeah, that's what I hear. Dana White said that. Yeah, I. Yeah, Dana. We usually have dinner there when he's in town, so I think for Dana to be able to sit through it and enjoy it and Matt Serra, I think he brought everyone for like, I don't know if it was like fight companion.

Speaker 2:          00:02:23       It was like one of those was. Yeah, it was Dana White's looking for a fight. Yeah, Youtube show. Yeah, I was on tour but they facetime me from there, but yeah, towel is a like a GE. He's the best Vegan chef in the world by far. That's cool. How did you get involved with that? Is it what you. Were you already, you're cleaning your diet up because of your, your injuries or because you were trying to keep your body tuned for drumming or you just wanted to clean it up? Period. Now? I was vegetarian since I was 13. Really? Yeah. And then, uh, after my accident I was in the hospital. Actually long story, I'll just sum

Speaker 3:          00:02:59       up into real plain piece. Yeah. And I had to eat meat in the hospital because they didn't have any other kind of Vegan options, a protein, Saudi bags of beef Jerky, whatever. They would give me whatever I could stomach and not like kind of like think about what I was eating because I wasn't eating at all and I was just ditching my food, given it to my friends because I didn't want to eat any of it and I got caught so long story short, a little bit of meat and in the hospital and when I got out I just felt like the next evolution of my eating would, would try and be Vegan and it was so easy in la because we have so many great vegan restaurants. So yeah, that was, that was pretty much it. I was already Vegan. I was actually at a bad brain show, one of the best hardcore bands in the world to ever, ever do it.

