Speaker 1:          00:00:05       I'm tweeting and

Speaker 2:          00:00:07       doing this at the same time. I just don't feel rushed. It smells when you tweets, what? It really stinks when you do that. How do you wait? In what way? Your fingers smell the magic finger. Do you have stinky feet? Sometimes, but no, my fingers never stink. But that would be the weirdest thing, man. If your fucking fingers stunk,

Speaker 3:          00:00:25       that would be like a major deal breaker. It's kind of weird. You've definitely been with a vagina that smells like an arm pay before, right? Um, you have some girls don't smell that really touched my vagina. Smelling and armpit. You like that be oh, smells sounds great. Yeah. The Joe Rogan experience is brought to you by the fleshlight. Speaking of Pussy here, who would you consider it

Speaker 2:          00:00:45       getting a fleshlight model of your vagina if they offered you a tidy sum,

Speaker 3:          00:00:50       I would do it for 15 minutes at at the Improv. I can't do that. Let's go to Joe rogan.net. Click on the link for the flashlight.

Speaker 2:          00:00:58       Linda the code name Rogan, and you'll save yourself 15% of the number one sex toy from my, it's a fucking solid product. Ladies and gentlemen. I'll tell you why. There's nothing will ever say we're in the middle of, uh, taken out some new sponsors. There's nothing will ever sell on the show that we don't believe in it. And that's something I believe,

Speaker 3:          00:01:13       start sowing the improv.com then Joe, because that is the best comedy club ever in a 15 minute spot for Amy Schumer to become a fleshlight mold. Sounds like an awesome idea. Well, you know, the emperor's, I'd have to say if you want to go with like a solid chain of comedy clubs, don't do it for free. At least the number one comedy chain across the country. That's a strong move. I had a great domain. They do it right.

Speaker 2:          00:01:38       Yeah, they do it right everywhere. We just did the Improv in Louisville was fucking awesome. Yeah, it was the shit. Yeah, it was great. Every improv is just solid as a rock. They know what the fuck they're doing and every time I should be happy that they're around, but not as good as the Pasadena Ice House. It was a browser and ice house. Look at, they're all awesome. I love the Improv. I love this place. I love, you know, little comedy clubs like that. We could support it and we're helping support it with this podcast. Actually this, this podcast actually makes the club money, so it's nice. It's a, we do shows here and we pay them rent.

Speaker 3:          00:02:07       This place is booming lately, man. Mark Marin's has been here lately. Great Club. It's been here since

