Speaker 1:          00:00:06       The yes

Speaker 2:          00:00:08       and we're like, what's up man? How are you? Fantastic. Thanks for doing this. Appreciate it. Appreciate you. Let me come up. So, uh, why don't you tell people what you do? Uh, I am a muscle physiologist, so I'm a phd in human bioenergetics and I'm the director for the Center for sport performance, which all that basically means I studied muscle physiology, why it grows, shrinks, repairs, dyes and all that crap. Now when you're dealing with athletes and you're dealing with like state of the art performance, how much does that stuff change like year to year, like protocols, like what people used to think was the way to go, what's the new way to go? Well, if you take a look or if you examine just the idea of science in general, it's the understanding that we're wrong. That totally what science is. If, if we knew what the answer was, we wouldn't look into it.

Speaker 2:          00:00:51       Like what's the point of doing a study if we know the answer, right? So by definition we're always evolving in that sense, but it's quite funny how the central tenants are really not that different. You take nutrition, you take training, the vast majority of those things are similar to what they were 20, 30, 8,100 years ago, so the bulk of it, what matters for the bulk of athletes is fairly standard. What where it differs is the last few percentage points. It's getting us that last 10 percent gains or being very specific so you on a personal level need this little bit of difference when you need this tiny bit of difference, but the bulk of it really is not that different, but when you watch an mma fighters in particular, you see so many different methods, mean so many different ways to approach things and I never know who's right, you know, is it really depends upon who's successful and they'd go, well that guy obviously has it down.

Speaker 2:          00:01:42       Yeah, that's a major fallacy called the fallacy of authority, so or appeal to authority, which is somebody really good. Did it or somebody who coaches somebody really good, they did it or a lot of people did it. All. Three of those are examples of major logical fallacies, right? To break down on Aristotle's reasoning and it's not what we do now, they can help us with some ideas of where to go, but that's a really bad approach. So we have to understand like what works for somebody at a very high levels, not necessarily going to work for the bulk of people and particular if like the great example is is Schwartzenegger. So when he came out and with his book of the Encyclopedia of bodybuilding, everyone was like, fantastic, I'll go do those workouts. You're not arnold and you should be doing what arnold did when he was at your stage.

Speaker 2:          00:02:25       Not at his stage will also is doing a bucket of steroids. Well that too, right? That's a big factor. Like if especially back in those days, they didn't come clean about that stuff. No. So guys are like, Hey, I call my biceps are ripping off the bone. Right? Or how come it's not working for them. Yeah. So all that is really important to understand what the context of recovery than nutrition has. All the other stresses that are eliminated from his life. All of that changes what's going to work or not work for you. Now there's a bunch of different ways of approaching things like I've always been fascinated by the marv method

Speaker 3:          00:03:00       and now nick curse on takes that method as well and their idea is that strength and conditioning is, especially when a fighters in camp is more important than anything more important even than skill work because you already know how to fight. Just so strength and conditioning should take precedent. Get all that done to get your body to the point where you have the most horsepower, the biggest gas tank, the best tires, you know, the best handling and then you already know how to fight. So just approach it that way. Yeah. So the guy that actually trained Marv. Michael. Yes. This is the Fullerton guy. It cal state fullerton. So he was the cyclist. Yes. This, that's his name, y e s, s Russian name. Uh, he's awesome. He's like 85 now or something and if you want to get massively entertained by somebody, like he's a good one because he's just very opinionated.

Speaker 3:          00:03:48       But nonetheless, uh, yeah, that, that is, I think, an important one. If you look at Joel Jameson, a friend of mine who trains Demetrius Johnson, like all those guys, they have very different approaches and I don't, I think the massive fallacies, it's actually goes back to your original question, is thinking that there is one single answer. That's the problem, right? Whether we're talking training, nutrition, recovery, ice, will, any of these modalities, the major reason we have so much internet fighting between experts and why it makes it so difficult for so many people to figure out like, well, what's the right answer is because searching for the right answers, the problem to begin with, we're having the wrong conversation with all of this crap. It's not the right place to go. So those are two very different approaches. For Demetrius, they reduce a lot of the strength conditioning they do during camp because they want to get very good with the train, with the fighting.

Speaker 3:          00:04:34       So all that stuff is gone. So Joel believes in training as much as we can prior to camp. And then in camp, it's time to get better at fighting. Someone like nick is apparently has the opposite approach. Yeah. I don't think that either one of them is more or less effective than the other. It really comes down to the combination of coaches as well as the athlete. Some athletes, and, and you could attest to this, and I've seen this a bunch of times, if they're two days out, three days out a week out, some of them get really anxious if they don't get to practice a skill. Like I want to be really sharp with my combinations. I want to be really good with my transitions, et cetera. And if you take that away from them, they get very anxious and they don't like it.

Speaker 3:          00:05:14       And so you almost have to do is program at based on this combination of physiology and psychology. And that's a bit outside of my realm, but this is what makes coaching so complicated is saying, okay, well you know what? For you athlete one, you're going to do the opposite approach. Athlete too, you're going to be doing the other approach because you just don't feel as good. You're not as confident, you're not filling the smooth and and more than anything when they walked down to that cage or particularly two or three days before, they have to feel amazing. Yeah. You have to have that combination. Yeah. It is weird that like there is no answer. No, there was one like a Mark Hunt is going to have a completely different set of requirements than you know, a Derek Lewis or a mighty mouse. Johnson or anybody. It's like everybody's got different needs and, and everybody's coming to the table with a different set of skills and a different set of problems.

