Speaker 1:          00:00:02       Four, three, two, one. Boom.

Speaker 2:          00:00:08       The Lost Art of knifemaking. It's still alive. How are you man? I'm doing good man. I coming down here. I appreciate it. Huge. I really appreciate you having me down. Hey listen man, you've made two awesome. Well for awesome. Nice for me. But this one is one I use all the time that uh, I've posted on instagram. The people freak out as we were talking about before the podcast said it actually has meteor in it. Yeah. Media, right? What's meteor is a big one. Media writes a little one. Is that the idea? Do you know? I guess she had the knife maker

Speaker 3:          00:00:39       so I didn't actually make, so I made the knife, I forged the knife. But the steel is, is a very special kind of steel that very few people can actually manufacturer on a small scale in the world. And that was made by my shop made Petersburg. And so, um, the meteorite is kind of a, a small element in the whole matrix because most media, right is all nickel or all iron or something like that. And this one particularly is a lot of nickel and some cobalt. And if you're going to make it an actual usable steel out of it, you can't really use a whole lot of it in the overall mixture.

Speaker 2:          00:01:20       Hmm. So is there any media rights that are made at all iron? Yeah, definitely. You just have to find them. You just got to find the ones. Yeah. And they're their impact sites all over the world. Like they're hitting the world all the time. How does it, where is it? Can you just take them like when they land, is it yours? If you find it, you don't have to report it to NASA or anything, right? No. Hey Bro, found some space junk.

Speaker 3:          00:01:42       Most of them are, are so small that they, by the time they hit the actual earth surface, they've completely disintegrated or burned up. So it's the really massive ones. And this was part of a impact, I think in South America.

Speaker 2:          00:02:00       Oh Wow. I can't remember where he's like, it's just crazy to think that this is a piece of space in there. Fuck. Yandian this dope pattern. Um, I'm really into crafts from Shit, man. I always have been. I love handmade pool cues and this desk, which is a handmade desk and I feel like it's one of the things that are really appreciate in this modern digital world. And I also feel like unfortunately it may be one of the things that's slipping away.

Speaker 3:          00:02:28       It definitely is slipping away. I think with, um, you know, with technology, technology has been great for us and a lot of different ways. Like we couldn't be fucking talking into a piece of metal

Speaker 2:          00:02:39       recorded on the computer, going through a wire flying through the air. Like it

Speaker 3:          00:02:43       does a lot of great things. But in doing all those great things, it actually has taken us away from really creating and working with our hands. And so like, you know, even this whole like a farm to table movement where people even growing their vegetables. Yeah, you've got your own chickens. They're, they're laying eggs for you. Like knowing where this stuff is coming from, handling, like firsthand contact with that. Um, just having that relationship in general with it brings so much more value to the overall experience of eating those eggs are using that knife or sitting at this fucking table right here

Speaker 2:          00:03:19       and it seems like a fairly recent movement in that direction. Right? Like it feels like things got so digital that people are like, whoa, Whoa, whoa. What the facebook and the fucking instagram I want to I, you know, I want a wood table, I want to saw this. I'm dating myself. Yeah. Your hands on it. They, I don't want it to meet pastor rick. Yeah. I want real stuff. And there's something about handmade things, whether it's a handmade pair of boots are handmade bag like this. Like there's something about things that are made by hand that people get at like a deep appreciation of,

Speaker 3:          00:03:52       for sure. For sure. Well, and I think it, I think it also kind of goes back to, like I was saying like as technology has advanced, we've kind of grown away from these kinds of what's considered like blue collar work and craftsmanship kind of work. But I think people really are driven by a sense of achievement. And when you're doing data entry that literally millions of people fucking monkeys can be trained to do, not to like diminish anything that anybody's doing but literally like it. To be able to go into a craft and to and had the hands on experience is very, very, very, very different. And that sense of achievement. Even when somebody comes out of something and maybe I taught a class on how to make a knife and it looks like a fucking Turd, they're gonna think it looks like the most beautiful fucking knife they've ever seen in their life because their hands and their creativity, they've touched their energy, their, their sweat and pop. Probably some of their blood is put into creating that thing and that brings that much more valuable.

Speaker 2:          00:04:51       Yeah, I think that's an issue with people today that have jobs that they don't feel are very fulfilling is that there's no real thing that they're creating at the end. Whereas like if you make a table at the end when you were putting the final sanding on the final, you know, a layer of, of a stain and you're looking at it like, I fucking made this. Like this is a real thing that I can touch that I made. Just like human beings in our current form, we have a, there's a deep connection to making things physical. Things end up settling and, and, and, uh, an appreciation for things that people have made. Whether it's a, a rifle that somebody made or a night for a, you know, a hammer that's that someone's made. There's something about that that we just have a real appreciation for. If you can buy us a knife from the store that's made in a show, I mean, it will work, you know, some knife that's made some mass manufacturing process. It'll work and it's fine. I mean, you'll, you'll appreciate it, but you won't appreciate it. Like, I appreciate this thing. Like every time I take this out and I'm like super careful with it and you know, and then the handle the handle's made out of this is Moose antler and elk right there, right at the

Speaker 4:          00:05:57       top and the Moose of the bottom. So, and I saw your conversation or listen to your conversation with Guy Ritchie and you brought up that there was, I think actually Jamie pulled it up and he was like bogged oak and Guy Richie was like boggo what bog or their American bugs there. I don't know if there are any American box. It was from a a bog in Russia and it was carbon dated to 5,400 years old. Jeez. So essentially it's been sunken and Abog and just other knife that you made for me that has a handle it. That's how did, how's wanting to get ahold of Boggo? So people are raising logs. Like there actually was a show, I think it was on discovery channel or history where people were, their job was raising logs out of the ball, the swamps down in Louisiana and the south and using, making use of that wood for tape of projects and craft projects like this.

Speaker 4:          00:06:45       So that, but that's happening all over the world. And some of that stuff are these ancient logs that you know, it's the right conditions where the log, the tree falls over. It just sits there and steeps and that's a big thing for the pool cue shafts, Lakewood chaffs they like to take these logs out of the bottom like Lake Michigan or something, right. And then they dry it all out and then they make shafts out of it. And there's something about it being in the bottom of the water for so long. It does something to the, to the way they feel. Right. What do you got there, Jamie? That's ancient bog would the artisan dice. Oh, some dungeons and dragons nerd shit right there. Sonny super polished up though. It looks cool. Or those dungeons and dragon nerds. Dinosaurs or dice all decided, yeah, sides on that.

Speaker 4:          00:07:33       Now what would, that was only for a game, right? You wouldn't play tice dice. Yeah. They use it for all kinds of different, they're actually like value holders for the most part. Value Holders. What do you mean? So like 16. So the countdown with the Dyson, so they have an actual place sitting there that says 16, 15, 20, whatever. Oh, you understand dungeons and dragons. You might be a Dork sometimes I'm going to go with a brother and my, my brother in law is a magic, the gathering. Oh, that and per dork. That's where people that get kicked out of the dungeons and dragons. It's, it's, it's, it's just a different iteration of chest really. I mean it's just, it's all strategy is definitely not that. What is this? Oh, that's reusable handle, you know, all bearing made that kids in Montana. Really good guy.

Speaker 4:          00:08:20       He's a nice kid. I met him a couple of years ago and uh, in Eugene actually they do a knife show there. Every image that you just showed Jamie, that's bogged oak that some other like big chunks of it that they pulled out. Wow. Interesting. So there must be a community of view people, these, these knifemaking people. Yeah. There, there are quite a few people who have started getting into the knife making um, the knife making, um, the world, the moral of the knife making a really there the resurgence of kind of handcrafted hand forge knives kind of started back in the um,

Speaker 3:          00:08:56       and it was, it stemmed off from um, I think it was a custom knife making association or uh, yeah, cuffed custom knife makers association and then it stemmed off to the ABS, which is the American bladesmith society. And that was all about the forge blade and kind of the mission to retain that knowledge and that history and in the skills that go into actually taking a piece of metal and forging a blade out of it, like you were blades, they were forged to shape. They were a one pr approach is to just take a bar steel trace out a line, cut that out. Whereas talking about it's totally valid way of doing it. Um, forging the forging aspect. Uh, especially if somebody doesn't actually know what they're doing, they're just like heating up a piece of steel. They don't know how fucking hot it is getting.

Speaker 3:          00:09:45       They don't know how when to stop hitting it. They may be hitting it too cold, they may be overheating it and hidden it and while it's way too hot, they could really actually do detrimental damage to the material and turn out a piece of shit. Um, so the forge aspect really just brings kind of an aesthetic and it kind of a depth of story to help bring kind of a more to that product. Well, it's another level, right? Yeah. It's just another layer of it. Yeah. It's not just hand crafting something from, uh, you know, just a piece of metal that you bought and you put all the pieces together and Polish it down, sanded it. When did you get into this? So I, it's a kind of a funny story. So I got into this back in 2008 is when I met Bob Kramer. At the time I was working in a restaurant, uh, actually in my hometown of Olympia.

Speaker 3:          00:10:36       Um, and I was working at a restaurant. I was moonlighting as an assistant salsa dancing instructor and doing like, uh, uh, like community performances and shit like that. And, uh, I was 24 and I didn't know what the Hell I was doing with myself and I didn't really have much of a direction in my life. I was terrible at school. Um, you know, I had maybe 40 credits towards, towards an Ame, but I don't even have him like an actual certification or degree or have any kind of, so anyways, I was, I was sharing this with my dance partner and she had just started working for this guy who was a knife maker and she's like, Oh, you should meet him. He's really interesting. Uh, you know, you kind of feel like you're lost. He's been all over the world. He's even like, he was even a clown at one point.

Speaker 3:          00:11:21       Kramer. Yeah, he used to be a clown. He was a clown I think for a year for ringling Barnum and Bailey. Um, and if, from what I understand, it was a great experience and he loved it. And uh, but anyways, she's like, you know, I think you guys would hit it off. I think, you know, maybe he could help bestow some wisdom as to where you're at and where he was at and maybe what kind of choices or options you have ahead of you. And so I met up with him, uh, at the brewpub or that I was actually working at and got some beers because a fish and chips sit and bullshitting and it ended up turning into an a job opportunity. And neither of us really went into it knowing that that's the direction it was going to go. But, uh, he was anticipating, he had an article coming out in the New Yorker like in a month and that was going to really like blow his shit up. And he had had a couple big articles like in Savour magazine and he was featured in Cook's illustrated at one point and each time, like, there's a huge influx. And so I think in part of anticipation for that, he's like, look, you seem like a nice guy. You don't really seem to have a direction. Maybe we could work something out. I can't make any promises to you that I have full time work for you. Um, so he just took you on as an apprentice, essentially

Speaker 2:          00:12:36       video with him, Anthony Bordain. That's how I found out about him. He was making a knife with meteors, right. Meet with a piece of media right in it as well. Same kind of thing. And uh, I remember thinking like, wow, crazy is this, this guys hammering this thing together and put into that. That was like one of the ways that I got interested in custom knife making sure it might. I'd always had knives, you know, like pocket knives and I always kind of thought they were cool and enjoyed them. But until I watched that video I didn't realize that there was a lot of people out there. There it is. Yup. Him and Anthony, I didn't realize there was a lot of people that are out there doing this from scratch. And then, you know, then I was like, oh, I gotta get a knife. And then, then I saw your page on instagram and I remember thinking, Wow, this guy does some wild shit. And I don't remember how you and I got to chatting. I don't remember. I just remember seeing your stuff on instinct.

Speaker 3:          00:13:32       You reached out to me on email and I was like the Joe Rogan and I was like that kid. Was it an email? Was it a instagram message? Oh actually I'm not sure. I think it was the email. Email. Either way from your website. Yeah, yeah, yeah. Oh you use had seen my email and one of the previous conversation somewhere, but I was like, this can't be like the Joe Rogan. And then as the conversation continued on and I was like, cause he also your picture for the emails, like this goofy picture of you doing like Kissy face or something like that was fucking hilarious. And I was like me and I was like, Holy Shit, I think this actually might be Joe Rogan. This is crazy. Um, and but it's doing this craft and doing this work. And, and finding and connecting with people who have an appreciation for the actual, like the actual work that goes into it and appreciating that value, uh, has been, you know, I like even five years ago when I first started under my own brand, there's no way it would've thought I'd be sitting here hanging out with you guys. It was kind of a been a crazy ride for me. It's crazy, right? Me

Speaker 2:          00:14:37       Too man. All of it is life's crazy. I believe that. But like I said, I've always had a deep appreciation for artisans. You know, for art. What I think this, I think your knife making his art, I mean I really do like at this as Jamie's pulled up an image from your website that shows this incredible blade design. Now this is what I've always wanted to know. Like is that Damascus steels that what that is?

Speaker 3:          00:15:02       That is Damascus in and it's just a quick note. This is actually a post that I did to celebrate another maker. His name's Julian. You can actually kind of see it there on the right margin. Now, the, he's a South American kid,

Speaker 2:          00:15:14       the blade, the blades that you made, that you have here today that you had, that you're bringing with you for an auction, those, the patterns on those things are fucking insane. How do you do that? Like how do you make these, cause it's not just steel for people that are just listening to this. Like that one is a great example, right? I would really love for people who are just listening to just please go a spout, go spread out. Go back to the, uh, page Jamie. So I could see the headline string. It's stuck. What do you mean you can't shrink? It got zoomed in and zoom out. What happened? I did it with the touch pad. What did you oh, the touch pad. These God damn, we've got an old ass laptop there. Um, m a u m a s fire arts

Speaker 3:          00:16:04       and m a. S. I. S. I. M. A. U. M. A. S. I. Fire Arts,

Speaker 2:          00:16:10       my Massey fire arts. They'll get stuck again. M a o m. A. U. M. A. S. I fire arts. Uh, if you go there, that's his page. You'll be able to check it out and order books are closed.

