Speaker 1:          00:03          Okay.

Speaker 2:          00:12          Yeah, we just got done with another crazy podcast. I think I broke my brain screw loose there somewhere. I what if myself to death with Kangaroos. That was the biggest ever. Well I don't think so man. I think it was 300 episodes. I think that's up there with the biggest ones, but I wouldn't, I wouldn't definitively pretty amazing that you guys put out so many of these. I mean two or three hours of intense discourse and extent. I mean, I'm pretty wiped out and I haven't been here. Alpha Bray, caffeine and marijuana, your honor. It's a violence. Uh, I'll be interested. I'll lego you. Uh, do you guys have to barter, right vitamins for the sh t shirts. We got you those for sure. I was sitting, I want you to get the Andrews to ship to the guys and stuck. So answer me this question because nobody makes a good thing for the movie. I forgot to ask Jeff Gaffigan to do this video. He had to check.

Speaker 3:          01:25          You came up yesterday in Gaffney podcast, you know,

Speaker 2:          01:28          really good one. I actually went and looked online yesterday and it's really true that they just need to make it a sexy, big, big, big foot like a female bigfoot in the Hendersons been they can do better. That's crazy. I haven't seen it. I hadn't seen it, but I can see, I see, I see as three d trailer for and from you from UDS film. They showed it during the Singulair. Okay. So you got to go to singularity university and probably get him to like invite you to one of their events and we have to pay the $12,000 12,000 will I am was there actually put your words, they're like Sanderson culture. They're getting more and more attention to get these ideas about optimism as well. Like you, you know, can get the word out to 600,000 mines. Like I'm sure that there, I don't really have a problem

Speaker 3:          02:14          coach Cremins plan to assume a thing to say there. How many Twitter followers with national picture? I have too many.

Speaker 2:          02:21          Yeah, he'd breaks Twitter gets it. He gets shows. Media Entrepreneur. Is that cause it's like, it's, no, it's not. As you know, it's profound. It's ridiculous. I mean, it's amazing, you know?

Speaker 3:          02:34          Hmm. We'll stick with this question.

Speaker 2:          02:37          He gave up on his Twitter brother did it. He kept on saying he kept on saying like bad stuff on it and getting himself in trouble like that. It's a responsibility, right? The microphone means you want the map before you better make sure you're saying something. Responsibilities.

Speaker 3:          03:02          Well, my drunk or high tweets

Speaker 2:          03:04          where I was telling you about was so impressed with your international following, like people from the UK and people from like all these different people do like the guy from Google, like all different walks of life. A lot of it is because of the, you know, it's free.

Speaker 3:          03:18          Ease of access. When we make it as easy as possible, we put it up in as many forms as possible,

Speaker 2:          03:23          but instead of you go into Atlanta, right? To give a show like every day you've transcended geography with this show because people from all across the board, people isn't the buckeyes daily. Then any auditory, right? Like what's the best way to get across these ideas when you, you bring such a diverse range of opinions at the table too, so it's so good for like the fan base. The pharmacy do. This is where the cracks most writing for big thing.com now it's just like this new age type of news. Do they have a sick backdrop like first for their interview? Right. Awesome. It's awesome. We're building the, we're starting to happen here so I'd have them right here. These gentlemen. I'll tell anybody here about your name. Brian Epstein. I pry hops and get out. Get out of bitches.

Speaker 3:          04:15          Some of them were kicks. Hi. Hey everybody. We live right now. That's crazy. Warrior poet. You asked on Twitter, also known as Aubrey. Marcus. The artist formally known as Chris. We helped me almost changed your name. Yeah. You don't change your name again.

Speaker 2:          04:31          Boy Was it optimist. Masters. That was not so close. No real before I like, I like optimist. I think we're going to incorporate that. We should make it Twitter and I got into the door. Somebody else does. We're fine now. Somebody else is going to try and sell that to me.

Speaker 3:          04:47          Fuck yeah, there's benefit. And then there's a problem with, uh, which was doing everything live. I think it ups the ante though. A lot of these guys, they edit their shit, you know, they edit their podcast, the hand, like musical cues and all that stuff and they make it all professional and the insert commercials in it. But you lose something, you lose the live element is part of what makes it fun. You know? I agree. Yeah, I agree. Even when you're listening to afterwards, you know that it was broadcast live. This is the, there's a certain energy to that. Right.

Speaker 2:          05:16          Because this one was cool. I've lost track of time and the only thing that was keeping pace with time as I was getting thirsty or than I should have been

Speaker 3:          05:23          top your Ios Iowasca story. I'm like, there's no way. I watched, I watched a story. It was legendary, but you talked it, you're, I became, the story is better than you. I want some story that's a crazy goddamn story and made me, I don't want to do it. I don't want to do that at all. I was so down and do Iowasca I'm ready, sign me up. But I became like was just a feeling like shit afterwards. Not into it. I'll get all my growth through other sources. Thanks.

