Speaker 1:          00:00:03       Okay,

Speaker 2:          00:00:11       boom, boom, boom, boom. We're live. We're live with the lines, our boat. And he just got back spray and chem trails for the past six hours. All Crile. I'm Joe Southern California. He's controlling minds and the weather. There's a reason why it's cloudy out folks. It's Alonzo Boden, hilarious, standup comedian slash weather modification experts. What's was up, Joe? Nothing was going to rain tonight. I'm just saying. I'm just saying I can't believe it that you know, you might want to put the top up when the convertible. Why are you working for the man? Hey, it pays well, but you make great money. You're a comic. You do well. You're very successful. I know Joe. But you know, ever since Obama took over, I mean he gave me a call. He said, look alive, so we need a brother on the weather. I said, I got you.

Speaker 2:          00:00:52       I got you. So this is part of that whole thing. So it's part of like black lives matter. I just want to let you in. Oh, okay. I understand. That makes sense. Look, you gotta do what you gotta do in this crazy world. And a little weather modification is on the menu. Yeah. Well, you know, then I'm kicking, I'm getting some of the ski resort money from mammoth. You know, that's like a side hustle. They say this winter is going to be fucking crazy. The weather modification experts. I'm just here to let you know El Nino, do you believe in an El Nino? But is that real? Yeah, I think that is, but, but whether, you know what's so funny about the weather? Like they, they really don't know it at best it's an educated guess. Right? So when they say something like there's a change in an ocean current, like that's what El Nino is, right?

Speaker 2:          00:01:38       Like there's warm water flowing through the ocean where it's normally cold and that's going to bring more water vapor. And I get that on the large scale, but they can never say, okay, it's going to rain Tuesday between noon and four o'clock. Like th there are times when they're so wrong. It's comical. Like in any other job you'd be fired for being that far off and they're like, oh, we missed. But compared to like how they used to be, it's fucking amazing when they used to just look up at the sky and when there are clouds are running well we better get inside. That was it. Yeah. They knew a tornado was coming cause you could see the tornado coming like that was a, you know, but, but then you have the other things like a, in Phoenix they have whether people, right? Like what is your job from April through November in Phoenix.

Speaker 2:          00:02:35       Yeah. It's going to be hot zit sunny hot feedback tomorrow. Like there's, there's nothing else in what it in July they have oh yeah. It's going to be monsoon. It's going to rain between three and four men. It's going to be hot again. Yeah. There's no weather. And then La, the same thing. I mean, over the summer it's occasionally you get like a little bit of rain in La. Yeah. What did it rain like maybe four times this year? Yeah. Yeah. I, I did a thing with, uh, what's his name? The comics slash weatherman. Uh, Fritz Rogan. Um, Fred Rogan. Fred? No. Or Fritz Fritz called Colmar. It's cold. I get him confused with that other guys here. Oh, that's the sports guy. Their partners, right? Yeah. I did a thing with Fritz Coleman and one of his funniest jokes. He said, you think it's easy doing weather in la? He said, think of 300 different ways to say partly cloudy in the morning, sunny in the afternoon.

Speaker 2:          00:03:28       Well, it gives you a lot of time to write jokes. Yeah, absolutely. Good Gig for comic. Yeah. Plus you get on TV if they let you plug your gigs. Yeah. It'd be in the Ice House on Tuesday. Come on down. I think he does well because people see the name and like when they walk into the club, they're like, that's the weatherman. You know what I mean? Like it's an instant recognition kind of Gig. Yeah. But he's got to like keep it super clean, right? Oh yeah. He's, he's nice. Yes. If you're a weather guy or a news guy. Oh, and if you just, just straight slightly outside the lines, people are looking at take you down, but they still do it. That's what's funny. Yeah. You always hear about the, the little small town where the guy that was in some weird thing like got caught with a prostitute at a massage.

Speaker 2:          00:04:15       But you know what I mean? Yeah, I know, but, but, but when you know you're that guy, then you know, you like gave that up, you know what I mean? Like you, you, you're not allowed to do that. You won't get crazy. You know, you're like, well, I'm going to be on TV every day so I can't, you know, I got to give up the hookers and blow. Yeah. You're not in the paid off. Right, right. If you're even a comic or a comic, yeah. We can get busted. Yeah. And just you now you have a new bit, like you can't exactly hymns. Exactly. I can't think of that. I don't know what a comic could do. I guess violence would be the only thing unforgivable for a comic. But when it comes to like sex scandals or you know, cheating on your wife or, or drunk at the airport or whatever, like for comics, they're like, yeah, well just makes it better.

Speaker 2:          00:05:02       He's more, more material like looking at Kat Williams, look at Kat Williams, last special half of the special was all this shit that he got arrested for over the last two years. Yeah. Yeah. And, and, and that, that's a trip. Like I worked on this cruise line and they said, yeah, cat came, but he had a gun. And you're just like, what? You brought a gun to a cruise ship? Like what? What did you expect to happen on a cruise ship? You know what I mean? Like maybe somebody could throw him off. That's what freaked me out about a crew shot. Somebody throwing you off because that has happened. Like some guy through his wife off and he's like, oh, I don't know what happened. She was young, she went out to get a drink and then, uh, well, and they were like, what? It was like the reaction the guy had to his wife falling over more, the crocodile tears and they were like, okay dude, how was he? This is a question. So how, how will you,

Speaker 3:          00:05:58       and Debbie, how are you guys getting along? You know, I guess fight a lot. I do these charter cruises, jazz cruises and stuff, and you know, after the cruise, the guy who runs it will tell some of the funny stories of what happened while we were at sea and on one cruise, newlyweds get into a fight the first night she threw all of his clothes overboard, everything of his thrown overboard dad to bring him to the ship's store and he had to wear, you know, they sell like the little shorts and Polo shirts from the cruise line and he had to wear that all week. Well, I hope he stayed with her, I hope. Yeah. I don't know how it worked out in the long run. The crews little throwing clothes overboard. I hope it didn't wreck a beautiful future relationship. Beautiful matrimony, beautiful nuptials in the Lord's eyes.

Speaker 3:          00:06:49       You had to know that was in her though, right? You'd never know, man, I've, I've met people that got married and then immediately afterwards there checked became a nightmare. Really? Yeah. Yeah. I've heard that more than I've heard. I don't know. I've heard some things but not, but like to that extent I would think that'd be flashes of psycho prior to that level. I don't know. My Buddy said when his girl got pregnant, like she was a little irritable because you know she was pregnant, but he said, but then after the baby came like the whole, once she realized that he was never going to leave, cause he loves the baby and he loves, he loves that, you know, having a family. She just started ordering them around, yelling at him, barking orders on and telling him what he can and can't do now. And he was like, what the fuck happened to you?

Speaker 3:          00:07:37       Like we're the same people. We just have a baby now. But in your mind, no, the relationships change. We're going to have to reorganize and restructure this deal. We're going to have to sit down and uh, this is how it's going to go. Now I'm ready to go. See your mouth is time to renegotiate and you have no negotiating power in this negotiation. She kept threatening to take the kid away. That was her big thing. Take the kid away. I'm gonna move in with my parents, like all kinds of crazy shit, man. Yeah. And just immediately, and he, he went from being like the happiest guy. I'm sighing. She's perfect. We get along so well. We're going to have a baby together. There's going to be amazing too. Fuck Dude. I don't know what to do. Fuck. Like he was just constantly stressed down. His eyes were darting around the room and yeah.

Speaker 3:          00:08:19       That, that sounds like the old days when you had to stay married, right. That, that was our parents' generation. They stayed married. They hated each other. I'm not saying specifically, but you know what I mean, like that divorce, they just didn't do it. They just stayed married. They would like, yeah, we've been married for 50 years. Don't particularly like each other, but, uh, we gotta stay married because we made a vow, you know? I mean, that, that's how it was. It was a generational pressure. And now they say the opposite is true. Like you have one bad day. Yeah. It's enough of this shit. Well, it's a religious thing too, right?

Speaker 2:          00:08:55       You know, like a lot of people don't want to get like Catholics especially did not want to get divorced. That was a big thing. Yeah. Yeah. It was like the like an unforgivable sin. Yeah. Yeah. When I was young that was a big deal, man. Someone talk about but getting divorced, I remember when I was a little kid, like a lot of it was like they would start bringing up the church about the church doesn't want you to getting divorced. You know in the eyes of the Lord you're married, you should work this out and you don't, part of the problem is who you are when you meet. Say If you meet your 25 you know you fall in love, you get married and you're 30 who you are at 30 is not who you are at 40 you will, you are a different fucking human being but you have a much better chance then.

Speaker 2:          00:09:35       Then really young, like I have a niece, she's 26 and she's engaged and I'm still waiting to see how this plays out because he's 23 and I'm just like too young like you know it because just think who you are at 23 to who you are at 30 completely different totally though. So it's like if you grow up together, that's cool. And you, you know, you go through those bumps together but it's too easy to be like a whole different person. I mean when I moved out here, when I came to La I, I worked uh, an aircraft so I went to aviation high school in New York. Lockheed aircraft discovered this high school that trains airplane mechanics. So they literally hired hundreds of us like move to La, you got a job. I knew more guys 18 and 19 who married their girlfriend cause they didn't want to like they will leave at home, you know what I mean?

Speaker 2:          00:10:29       Like I'm starting life, we're going to get married. Consequently, I knew more guys who were divorced at 21 I would imagine my girlfriend in high school, my my eight when I was 18, I would have definitely married her really 100%. How long you think it would last a week? A couple of months at the most sheet. She was a very nice girl, but uh, she moved across town, uh, not across town. Across the state, like an hour and a half away and just, I was so sad. I couldn't believe it. God Damn saw the way over there. If she wanted to get married and we would be together, I would have done it. I will say without exaggeration, without exaggeration of a hundred guys I knew married before they were 20. I only know two. Still buried. I only know 200 guys got married. But they were, yeah, guys were coming out and it was like their fruit.

Speaker 2:          00:11:21       Like I got a job, I got an apartment, let me send from my girlfriend from New York. Wow, let's get married. And they were just doing it. There were two things that we did on a regular basis. Go to weddings and bail guys out of jail cause everybody was getting Duis, you know, so it's like, we were like, all right, let's just keep a Dui Fund for whoever gets picked up this week. You guys end up fund. We practically did. We, we had a network where we call like, yeah, so and so's in jail. All right, I got 50 bucks. All right, I got 100 bucks, whatever. And we get good amount. Yeah. How much does it cost to get

