Speaker 1:          00:00:00       Okay.

Speaker 2:          00:00:11       Yeah.

Speaker 3:          00:00:12       Ah, birds already got the top off the vodka. I want to cleanse your, yeah, dude, I'm telling you. Ready for this? Yes. Todd could cleanse. Well, it's is clear. Oh, it's good for you. No, it's clear. Anything clear? That's my, I don't know Joe. I'm fucking not clear. Like Tequila. Tequila is on the cleanse. It was meth by the way. It's pretty clear, right? Clear good math. And that's hard to come by these days. Um, ever clear. That's not good for you, right? That's clear. Acid moonshine. That's clear it. This is the doing strings. It's, it's a different approach to a Clintons. No, I talked to you the other day. I was 55.6. This is the most hilarious conversation. Burke calls. It goes, I'm cleaning up my life. That's it. He goes, I'm too heavy. I go, what are you going to do? He goes, no more appetizers.

Speaker 3:          00:01:03       And he was serious. I wasn't joking. Get all serious like appetizers where it's doing yet. Dude, I make it rain appetizers. When I sit down, I'm like, I go, first of all, every time. What are your two best appetizers? And they're like, Yup, I go, we want those good. Why not? Right. Okay, well a little taster, right? Here's where I really got and here's where the weight gain really came on. Anyone that really that's been working with me knows this. I owed her two meals. I order two meals cause I like to eat like a king. I'm not paying for it, but so like you're not paying for it and that work's paying for it. It's Oh, creator. So you're assuming like all your meat, that's how much you work, man. You work so much. Most of your meals are paid for. I haven't had, I haven't paid for a meal in 11 months.

Speaker 3:          00:01:43       That's so crazy. I've been on the road straight for 11 fucking months. Dude. Nobody I know travels as much as you other than Bordain maybe. He's pretty close. He's travels a fucking Dick load and he goes to like all over the mirror. Well, he goes a horrible places that are like really scary. I think that's the reason he left the travel channel is that they wouldn't let them go to those places. I don't know. No, no, no. I was pretty certain. Really? Yeah. Cause uh, cause CNN has a different set of insurance and travel channel's insurance doesn't cover like they're like dangerous skateboard shipping type shit. It doesn't cover it pretty much your own insurance. Almost his last episode, he was in the Congo. I haven't watched it yet, but I saw the Congo and I was way too hard to watch it. I was like, no, don't, can't do it. No. I did a Montana episode with him a couple of weeks ago. Yeah, we camped out too. We did the full Montana experience, went pheasant hunting and then we camped out. Hung out by the fire, got lit up. It was fun. So wait, does he drink camping? Oh yeah. We went hard. We weren't hard boozing. We'd everything. We went hard. Anthony Bordain to not fuck around. You know what's really incredible? That guy's addicted to Jujitsu. Yeah. 90% of what he was talking about, he just wanted to talk

Speaker 4:          00:03:00       about Jujitsu. He started when he was like 58 or 57 years old. Now he's 59 and he just everyday trains. He trains when he's on the road, he goes to these places like Bozeman, Montana, and he finds like a local group of guys and he goes and rolls at these guys. He's a madman. A wife. Get him into it. Yeah. His wife is super into it. Super into it. She's uh, she's constantly training. Like I think she trains like twice a day, every day. Wow. Now that's good for him. And he looks, he looks good. It doesn't look like a, he doesn't look like the way he should look. He's one of the clearings. And you're in the mine. Yeah. He looks a lot better than he looked just a few years ago. Smoking cigarettes. No, no. He stopped when his daughter was born. Wow. Except for the occasional one.

Speaker 4:          00:03:44       He'll cheat. You know, I think, but uh, I don't even think he does that anymore. And now that he's doing Jujitsu, I'm sure he does it. You know, what happens with the Jujitsu world with the lifestyle is you get those become your new friends. Like those become like it and it becomes like a Jujitsu family and like they understand you more than other people understand you because they've choked you, you know, and you've, you've gone to, to battle together an intimacy when someone chokes you out. Like a bizarre, like I held you in my hand. Yeah. I could've let go. You and I decided to keep you. Yeah, definitely. There's definitely something there. And then it also like makes regular life seemed kind of boring, you know, so they'd just get engulfed into that world and some people they wind up doing that to the point of that becomes their job.

Speaker 4:          00:04:26       They ended up teaching it. I know a lot of people have left lucrative careers because they decided they wanted to start teaching Jujitsu. Yeah. And they just got into it a lot. They were doing it, they started teaching private lessons and then they just downsized and started doing Jujitsu. They're like, this is just so much more fun than being some guy trying to climb the corporate ladder. Is there, um, I know that they, like most martial arts, there's like a spiritual message. Is there any like kind of spiritual guidelines through Jujitsu? Well, there are in different schools, you know, depending on who's teaching you and how they, how they approach it. But there's as overall in the art of Jujitsu, and I call it an art because it really is an art. It's like there's it's techniques and it's, it's a martial art. It's the most, most Marshall or the most art of martial arts in my opinion, and my opinion because it's the most open to creativity.

Speaker 4:          00:05:19       Like guys like Eddie Bravo is the best example of that because he's such a creative guy. He's invented so many moves, so many transitions and pathways and named them and they're really unique. So if like your role with him, he literally don't know what he's doing. If you roll with the standard Jujitsu Guy, even if you're really good, like if there's like there's certain guys like a Hicks and Gracie for example, who does the basics, all of the basics of Jujitsu, but does them to a level of mastery that you cannot comprehend until he trained with him and you, when you train with him, you would just go, all that other stuff is nonsense. You just need straight Jujitsu, you know, from the mothership, from Eylea Gracie and Carlos Gracie, that's all you need. Just razor sharp. That shit. Hodra Gracie is like that hens, those like that. They, they mostly just do the basics but to a level of mastery that's incomprehensible to the average person.

Speaker 4:          00:06:13       But then there's a bunch of guys that are super creative. Like Jeff Glover, the guy that we were talking about the other day, he's one of them. Bravo. Eddie Bravo is one of them, of course. And there's a bunch of other guys out there too. Um, Eddie Cummins, who's a student of this guy. Um, John Danaher who's probably the most creative of all the, the teachers or one of the most creative next to Eddie. Um, and he's like got this crazy leg lock game that they're all learning so they're all learning this like super complicated leg lock came from this guy who was like a philosophy phd major. That's what he was doing. He was like studying philosophy and working as a bouncer and he got into Jujitsu because he wanted to learn how to defend themselves cause all these fights would happen when people are drunk. And then he just became obsessed with Jujitsu and now he's like one of the most sought after Jiu Jitsu coaches in the world. Like George Saint Pierre, you still use him and he teaches at Henzel Gracie academy in New York. So it's like there's like this real underground like it's, it's not what everybody thinks it is. People think of it as being like meatheads and like these like really muscled up do's with tattoos on their necks. It's not, there's a lot of those guys in there too, but what it really is, is this crazy problem solving game that's going on that everybody's playing with their body.

Speaker 5:          00:07:27       It's going to sound like a really silly question, but if we give you, if you, if say Eddie Bravo, say you picked a fight with Eddie Bravo and he was forced to kick your ass. Would there be at some point when you woke up the next day that you'd remember something he did to you artistically and be like,

Speaker 4:          00:07:41       damn, I was beautiful. Well yeah, we'll, we spar. If we would spar, Eddie would do shit to me and I would go, what? What'd you do? How'd you set that up? What did I do wrong? And like he's always teaching like he doesn't hide anything from students. Yeah. He's always trying to get them so that they tap him. Like he gets tapped by students, but he considers it a good thing. It's like I taught this guy so well that he can get me there. That you need that if you don't have that, it's like, don't you agree that as standup comedians we need to be around killers? Like you need to be around Diaz. He need to be around guys like Burt, like when you're around all these killers, it makes you up your game.

Speaker 5:          00:08:15       I told you that the day after we were all at the comedy store, uh, and you had the joke about, uh, Bruce Jenner, the gargoyle and I'm fucking howling in the back and I, and I'm, I don't know if I told you this part, but I will tell you right now, and then I went up in between you, amber. Amber went up after me and to seamlessly destroyed and then you went up into the seamlessly destroyed after him and I got, I woke up the next morning. I totally Anna, so I'm fucking bombed. I'm not, I'm not like, I'm not writing the way these guys were writing. Like I'm, I feel like I'm, I'm slow. I'm not, I feel clumsy on stage. I feel like, I feel like I should. I, and then Leann was like, hold on, hold on. You're talking about Joe and bill, two of the best comedians in the world, so don't hold to that standard,

Speaker 3:          00:08:56       but use that. Use that inspiration by watching the bests to say to yourself, well fuck, I can be better. That's if that's what you're saying. I always feel like that he always got to feel like you could be better. Right? I mean I always do I those low level cons who come out of a club and they're like, well just look that room. I'll fucking fire. And you're like, I don't know what fight you saw but I saw you get kind of fucking up against the ropes like New York is was when I was there. It was filled with that. Guys that walk out fucking destroyed that shit in the beginning. I think that's like a defense mechanism that guys put on. If you talk to most comics, most comics are not happy with their act. Do you think seriously good people that are good? Yeah.

Speaker 3:          00:09:34       It was always like these moments where you're like, God, I gotta fix this. I've got to tighten that up. I got gotta. It's the guys that are like super confident about my act. Perfect right now. Your ex dog shit, you know that's like, it's just a, there's a like a high level of scrutiny that you have to give yourself and give what you're doing and you know, it does, it's like this is a lot of bits that just don't ever work. They just know you got to eventually get a thought, throw them in the garbage, they just don't like, you're like, God damn it. There's something in here and you just hammer at it and trying to turn into a sword. But nope, it's just a ladle. It's a ladle. It's gonna stay a ladle. It just never works. It just stupid thing that you very rarely use and it's just like might've worked a couple of times on stage in certain places, but it's just can't figure out the transition.

Speaker 3:          00:10:20       And then there's other bits that you like. You Pilfer you take chunks of them and you create other bits with them and it turns out that there are better mine than they are like an entity. They're better for like mining ideas. That's how that happens all the time. We have a bit and you're into the bit, but it turns out the, the best part about it is like a side thing, you know, like a little side path that you take while you're creating it. Yeah. I like it more than I've ever liked. It fed up more than ever. It's so much fun man. You know, especially like right now because uh, is a year after my last special and I have like a full set now and now I'm just trying to make it good and trying to add to it and cut away from it.

Speaker 3:          00:11:02       But it's like I am working with, you know, a full hour, 20 minutes of new stuff so it's all, I pretty much have what I need to turn into like a weapon now. Now I have to like hone it and sharpen it. It's super exciting man. Cause it's nerve racking and you know, and you're doing a lot of sets and you're fucking around in different places and it's just never been more excited about it. So much fun. I'm the, I'm the, not the opposite of you, but like I get, I have a hard time. I, I like the fucking of creativity. I like to fucking of impulse. I don't like to, I don't like to be in a relationship with creativity. She's like, I don't, I'm not, I don't want to meet, create, I like the moment where you get an idea, you meet it at the bar and you fucking take it home and you fuck it up against a wall and then you walk out and you're like, I'll never call that idea again.

Speaker 3:          00:11:50       I love that. Like, so you mean like in the moment, like on a show on improvisation? Is that what you mean? Yeah. I love when you come up with an idea and I, and I walk away. I love that guy. Almost like, I used to call, used to call it the angel share of like it wasn't a bit, it was just happened or you or, or what happens to me. A lot of times I'll come up with a bit and I'll kind of Ha I'll fuck it one night. I won't make a relationship out of it and then I'll just use it and I'd be like, okay, I'm not going to, I don't wanna fuck with that. I'm bored like I want to do, I want the new next thing I'm a, I'm a commitment phobe with material. Like I run a tear through material of so quickly that I just go like, and maybe it's because it's not that good or maybe it's because I'm not focusing on it, but I don't really have a lot of the passion of focus on it and literally toil with a bit.

Speaker 3:          00:12:32       Like I get really kind of disconnected sometimes on stage, like, well I told him she's throwing out and I'm a second car. Second, I say when I was 22 years old, I fucking feel a weight on my shoulders. Like, fuck, this is 12 minutes. We were talking about this the other day. Like you should just get that on a video, get that and put it on Netflix thing or something and then just release it so you don't have to do it anymore. Yeah, I've were were negotiated in that. I would put would you, what are you talking about? I brought up and if you do that man, like then like maybe a year from now, so going to last week, tell him and I'll be inspired. It'll still be fun. But yeah, you could tell a story. Even a great story like that story, you can tell it too many times and just just call it goes away from you.

