Speaker 1:          00:00:00       Hmm,

Speaker 2:          00:00:03       the countdown? Sure. So you were just two. One. Hello? Peter Schiff. Hello Joe. You just what we're going to, we're going to ask. You just did a whole other show before this one. I did three hours. No, two hours. Oh, alright. So it's not hard. Oh, okay. Well the comedian, those are the easy ones. Oh, all right. It's just basically talking to a friend. Okay. Well I'm a friend. You are a friend. That's right. Yeah. I remember when I first saw you when you were doing that octopus is occupied Wall Street thing anymore. Did they give up? They stop occupying? Yeah, they did. But you know, we just. Maybe you saw that on my youtube channel. I know we just reposting the occupy Wall Street video. I never actually had it on my channel. Oh really? But because it was originally done by reason this about five years ago or so, five, six years ago and so reason tv did it and so I let them promote it on their site.

Speaker 2:          00:00:52       I didn't copy it and they got millions and millions of views and there was some other sites that that that went with it. It was asking a one percenter, right? Wasn't that what you called it? Well, I was down there with a sign that said I am the one percent. Let's talk, and I went into Zucotti Park and the only reason I stopped that if you the long, the long one, the long version is just under two hours, which is on my youtube channel now, but the other reason we stopped is because we ran out a ca, a candidate batteries, batteries in the camera. The camera died, but I could have kept talking and we were losing the light. You can see by the end, you know it's getting dark. It's getting darker. Swatching them get frustrated with you, but not having the words nor the knowledge to compete with what you were saying was very entertaining, like agree with you or disagree with you.

Speaker 2:          00:01:38       It was just hilarious watching someone so completely outmatched or a group of people, so completely outmatched trying to debate economics with you and trying to understand the way business works, except they didn't even realize they were out match. They thought they were smarter than me, but you know, the, the main reason I went there was not so much to try to convince the people there that they were wrong and that, you know, capitalism was, you know, the solution, not the source of their problems and that they should be protesting Washington, the Federal Reserve or Congress. It was for the people that I knew that would watch it on the internet and I still get emails even now at least I don't think a week goes by where somebody from somewhere in the world doesn't send me an email about that. And I know another website, I forget the name of it, re posted it about a year ago and they got a couple of million views on it.

Speaker 2:          00:02:27       Just posting it again. So a lot of people have watched it and I get comments from people saying, this is what changed me. I was socialist, very left wing. I watched this and that was the epiphany. That was the moment, and then I did more research and I learned more and now thanks to you, I'm a total libertarian or free market capitalist and so it's served its purpose. Yeah, well it was enlightening. It was good. It's good to see people that are so involved in something that they'll go and they'll protest will hang out in the park, but they can't articulate their feelings or their thoughts in a well reasoned debate. They really don't have the facts, but yet they're dedicating their entire life to protesting something. It's really interesting that people will spend so much energy and effort on something that they're really not even educated.

Speaker 2:          00:03:13       Yeah, and it's a lot easier just to talk about something just emotionally instead of actually taking the time to learn about economics and to understand, you know, the source of the problems because anybody could just blame it on some rich person who's hoarding money and discriminating. They loved doing that and then just say, oh, this solution, see if you blame the problems on some rich person. Well, the solution is easy, just take his money, right, have the government come in and, and redistribute the wealth, which is another word for steel. Take money from somebody who earned it and give it to somebody who didn't, but if you actually take a little bit of time and use your head instead of your, your, your, your, your heart, your feelings, uh, you'll learn that you know, that the source of the problems is government interference in the economy and that the protest should be directed at government, at their regulations and their subsidies and their taxes and all the things that government does to stifle economic growth and deny opportunities to people.

Speaker 2:          00:04:18       I think that would be a really funny documentary if you could do like a documentary on the last occupier, like the last person to occupy Wall Street because they had to be like stragglers, right? Eventually must have gotten to the point where there was like 30 people left, 20 people left that one guy, no, fuck these people man. They started occupying different areas, right? Because it caught on and it was all over the world. They were occupying here and occupying there and they were setting up camps. Right? They're essentially living there. Yeah. Yeah. And um, who knows what else they were doing there, but um, but now the occupy a movement kind of morphed into the Bernie Sanders Movement, right? Because that's where all those guys are now. They were volunteering for the sanders campaign and socialism is really kind of going mainstream now because they put the word Democrat in front of it as if somehow that changes the meeting.

Speaker 2:          00:05:06       Right. I'm not a socialist. I'm a democratic socialist. Meaning I want to vote for socialism as opposed to just have an armed revolution. But the end is still the same. Right. It's still a socialism and it doesn't work. Yeah. I was watching an interview with Tucker Carlson and some guidance, a professor at Harvard and he said, I'll give you the last word you guys said socialism is gonna win. I made the piece on like, what is that? What does that even mean? Like socialism is going to win. What is it? What does that mean? What is socialism? But it could win at the polls. That's the problem. It's very intoxicating to people who don't know any better, and the interesting thing people, they have too much money. The interesting thing about socialism is that no matter how many times it fails, people expect it to succeed, right? That's the definition of insanity, right? Doing something over and over again and expecting a different result. Well, the Socialists always expect a

Speaker 3:          00:05:58       different result from doing something that has never succeeded in

Speaker 4:          00:06:01       pass. So socialism by definition is one thing, but by the emotional reaction that people have is kind of another thing. The emotional reaction is there's rich people that are a real problem. They're hoarding their greedy. I'm not concerned with money. I want. I'm concerned with people and community and feelings and health and welfare and education and all of that money. We should take it from those rich people and we should funnel it into education and community. And they say all these words that make people feel good. Like, yeah, we're not about money either.

Speaker 3:          00:06:34       It's all about feeling good. That's what the liberals are about. It's about feeling that they're better than everybody else because they're, you know, they're, they're higher up on this moral pedestal because they don't care about money, they just care about, you know, people and you know, but when you talk about rich people, they don't hoard money. I mean, the way you get rich is not by hoarding. The way you get rich is by trying to figure out what problems people have that you can solve, right? Whether it's inventing something that makes their lives better or providing a service that makes their lives better because the customers are in charge individuals, right? That that's what's gonna. Allocate wealth. It's if, if somebody is better than somebody else at satisfying the desires that people have, right? If, if I can come up with something that you like, that you want to buy that's cheaper and better than what somebody else has come up with, then you're going to buy from me.

Speaker 3:          00:07:26       And so the person who ends up with the most money is the person who's satisfied the most desires, the most needs in the most efficient way possible. And that's what's benefiting society. I mean, it's great to have charity and I'm all for private charity, but if you look at the wealthiest men in history, even though they've been incredible philanthropists and they've given away a lot of money, they helped a lot more people, a massing their fortunes than gifting away what they made. It was the businesses that they created, the, the, the products that they invented, the services that they provided, and the employment, right? That was all a function of they're creating their wealth. That's what did a lot more to help society than simply giving away some of the money that they earned. Have you ever had a debate with a democratic socialist? Well, I mean, most Democrats are socialists.

Speaker 3:          00:08:15       They just don't know it or they don't want to admit it, and a lot of people don't even understand what socialism is because you know, you'll have the left. I'll always consider somebody like even Donald Trump, they'll say, oh, he's a fascist. Right? They don't even realize that fascism is part of socialism. Socialism is a broad concept that includes things like Communism and fascism. So if you're a communist, you are a socialist. But by, but it doesn't mean that if you're a socialist or communist because you could be the fastest, you could be for a lot of things, but fascism is a form of socialism where the government doesn't just steal all the property, like the communists want to nationalize everything and take legal ownership of the means of production. Right? The government just owns all the capital under, under fascism, but government is a little bit smarter.

Speaker 3:          00:09:03       They, they realize that people will work harder if they think they're working for themselves. So the fastest doesn't want to nationalize businesses, they just want to control it through regulation and taxes. And that's pretty much what the Democrats want to do. They want to control everything by taxing it heavily and regulating it. And those, that's an important aspect of fascist. I mean a lot of people associate fascism with racism just because the Nazis were racist, but you don't have to be racist. I mean, fascism started in Italy and that there wasn't any racism there. And if you go back to the Nazi party, it's the National Socialist Party of Germany. That's what the Nazis are. It's socialist. So fascism is a form of social and that's why the communists and the fascists, you know, are you so much because they're really, they're fighting over the same turf. It's which brand of socialism is better, fascism or communism, but they're not at opposite ends of the political spectrum. They're on the same end. So do you think

Speaker 4:          00:10:00       people are frustrated with the current system and so they see someone like Bernie Sanders come along that offers this radical change of pace. He saying, you know, we need to end income inequality and redistribute wealth and all these different things and it just sparks a, an emotional reaction in people that they know that the current system, the way it's in place, especially the way it was under Obama, they didn't like how things were that in like how things were under Bush. They think we need someone who's not a career politician or someone who has got a radical new approach. Oh look at this Bernie Sanders guy. He wants to do some stuff with money. Let's vote for him.

Speaker 3:          00:10:33       Yeah, look, people are grasping for straws when they're looking for a solution that that's why trump is president. I mean, a lot of people think that trump's election maybe shows that the UK, the US electorate has moved, right? Right. That were more republican or more free market, but that's not what that election was about. It was about the fact that we had a lousy economy and trump was honest about that too. The voters, trump told people that the numbers are phony. Don't believe these unemployment numbers, four or five percent. It's a lie. It's fraud, it's fiction. And he was right because the way they calculated today, they don't calculate that. Millions and millions of people who I've given up looking for work, right? They don't count the people who just have a part time job and they're still looking for a full time job. So the real unemployment number is much, much higher.

Speaker 3:          00:11:22       And, and trump talked about that and, and he called out, you know, all the politicians from both sides, right? Not just the Democrats to Republicans. And he said, look, I'm going to clean house. I'm not a politician. Vote for me, right? I'm going to make America great again. I'm going to drain the swamp, you know, and he appealed to people's, uh, you know, their, their, their fears about immigrants. I'm going to build this wall as if the reason that things are bad is because we have too many immigrants taking away the jobs. And so people decided, you know, what the hell, let me, let me give this guy a trance because things are. The media is lying to me. Wall Street's lined to me. And so, you know, trump, trump won. But unfortunately now trump is part of the establishment and now all of a sudden the fake economic numbers are legit.

Speaker 3:          00:12:06       Now every time there was an unemployment number out, he tweets about how it's the lowest it's ever been. So I think that when we get this next recession, which is going to happen while trump is president during, during this first term, which I think will be the only term, but when all the why do you think those two things? Well, because I think the economy is going to fall into a severe recession. What makes you say the well a, you know, it's, we're overdue, right? I mean, you don't normally have an expansion that lasts as long as this one. I think that we're, uh, we're the second longest in history and I, if we go for another year, it will be the longest expansion in history.

Speaker 4:          00:12:41       Two thousand eight is when it started to turn around to the end is kind of the end of 2009 years in exactly what is a usual expansion and compression

