Speaker 1:          00:00:25       Bob auditing, leaning. Dong, Dong Ding Dong. Ding, Ding Dong. Ding Dong. Ding Dong Ding Ding Dong

Speaker 2:          00:00:35       does that. The intro auditing, Dong Ding Dong gum kind of fucking intro is that, but I didn't think being being done, this is how relaxed they are. One year in. We have no idea what's going on. Like wait, was that an intro just starts. We've got to stop using music folks for legal purposes and all sorts of other shit. But when I got sued, so that's our music. Oh, what was that song I sing? I don't know. Yeah, we said copyright that sued them and they want to use it as fucking horse. We'll call it. Welcome to the podcast pitches. Ladies and gentlemen, the one and only Ms. Dot. Ari Shaffir is joining us today. Thank you. Thank you very much. Appreciate it. Ari would be here to promote his shows in San Francisco, but unfortunately for cunts, they're all sold out. Sold out. I'm, I'm super happy about it. He's balling storyteller shows. So you going to promote subway instead?

Speaker 2:          00:01:37       Sandwiches. So where are these shows at? So people know where they can't go. The purple onion, they might release them that they have to show up. I don't really understand how that works. Well, what happens is sometimes people reserve them and they don't pick them up and they don't pay for him and they flake, which I'm sure happens at time, especially in San Francisco. He fuck it, flaky free. I buy second sentence raining. It's like, no, I'm not going anywhere. People just flake, dude. There's a certain amount of people that always flake. No matter how bad ass the concert is, pink Floyd's the wall, whatever the fuck it is. I think it was just going to flake. There's a certain amount. You just have to accept that if friend just had a birthday party and she was pissed because more people said they were going to show up and do it, and I was like, Oh, you've never tried to promote a show, nobody comes.

Speaker 2:          00:02:16       Yeah. And that's, that's ridiculous. Have unreasonable expectations. The worst is when you buy tickets and then you break up at the girl and then you're like, ah, I don't want to see fucking whoever block Morrissey and to uh, to Coachella. Well, first of all, you're dating some depressing bitches. If they want to go see Morrison, we might've found a problem. Morrissey, man, if you ever wanted to cry, Mexicans are under them. Them to and to Morris Morris in this mess. I have no idea why Mexicans are super into Morrissey. Wow. Maybe Mexicans totally wished they were whiny white people, right? Of a Mexican Sarah into flashlights. Oh, that's right. We're sponsored by the flashlight. Flashlight. Doctor Suck. The subtle segue, if you go Joe rogan.net, there's a link for a flashlight and click the link and enter in a the word rogue and you get 15% off. We're just trying to save you money. Bitches are just trying to save people money on flushed lights. I don't want any buddy beaten off for retail. Just don't think that's right

Speaker 3:          00:03:14       at his girl. Find my flesh language. Do you really use this? And I'm like, yeah, yeah, you want to watch? And she's just starts putting her fingers. And I'm like, you do know. I just said I, you could use it. She gets, I don't care. You washed it, right? I'm like, yeah, I guess. How often do you not wash it? This is the girl you were boning. Uh Huh. No, just uh, please touch her house or boning. Yeah. You're trying to vote on them? No, no, it's just my landlord. Oh, you're Atlanta was not playing with their fleshlight. Brian story is full of holes. I was coming up short last month in rent and feed off into the fleshlight for, no, not that. Nothing. It's like the scene when he's hurling, he's a toilet and she's talking about something, but you know, fuck. It makes you really want to take a shit. I love that. I want to see you hit their new movie and they have a new movie coming out where it's like about this guy that's married and he gets to take a week off of the marriage or something like that. Oh, it was from the same guys I believe. Yeah.

Speaker 2:          00:04:17       Yeah. They made some great shit. They made something about Mary too. Yeah,
