Speaker 1:          00:00:00       The Gay folks took over the rainbow for three to, will it work today, Jamie?

Speaker 2:          00:00:11       Yes. Hello Nicholas. Hey Joe. How are you man? Great to meet you. It's really good to meet you too. Ah, I became aware of you like many people did with the infamous Halloween costume incident at Yale. Uh, where, uh, explain that for people who don't know what happened cause it was kind of a crazy scene. It went national. Yes, it was a moment when, uh, around the country, many students were struggling with how to balance the conflicting, um, sort of needs a little bit closer to your face. They are conflicting needs. Uh, uh, how on the one hand to create an environment at schools where people, everyone sort of felt welcome as we've democratized, uh, admissions to our American universities is I think we should have people from all walks of life have started moving into these institutions claiming them for their own, which I think is appropriate.

Speaker 2:          00:01:03       But at the same time these institutions had wonderful heritage is of commitment to free expression and open debate and um, and reason as a principal for resolving our differences. And US and some of those values came into tension. And so around the country, there was a lot of heat about this. And I happened to walk into a propeller, uh, myself and, and wound up, um, in some challenging circumstances. And, um, you know, I, I, it was not, it was not the worst thing that's ever happened to me, but, you know, it was sitting in the top 10, uh, challenging moments I've had in my life, let's say. Yeah, that's a very lawyer, like way of describing exactly what happened.

Speaker 2:          00:01:51       I mean, the thing is, I, you know, I, I, I, you know, I struggle. I mean, you can tell the story if you want and then I can correct things. But here's the thing, it's, it's my job to be a teacher and I have taken responsibility for teaching young people. And it is the case that many people lost their minds. I mean, lost their senses. And, and, and the faculty too, incidentally. I mean, you know, there, it's one thing to talk about people in there, in college age people, but then, you know, the faculty also didn't necessarily do what they should've done, but, um,

Speaker 2:          00:02:22       but the thing is, is that, you know, my commitment, my commitment is to, is to teaching more generally. And I don't want to be defined by that event. I don't want that to become a, the most important thing about me, you know, have this book or this book that we're going to talk about that is an important thing in my life. Instantiates my values. It talks about what I think is important about the world. So, so I'm trying to be balanced about it. Just, it's one thing that happened. I did my best. It's in the past. So let me, let me help out here because you're being so nice about the whole thing. Um, so people know what we're talking about. There was a, an incident that was on someone's

Speaker 3:          00:03:00       cell phone where you were standing here, people, it was an hour of footage, five or six different angles. So a clip went viral, but I want to emphasize that there were many people filming that day and an hour or more of the two or three hours I was out there as available. But I'm glad that you had the courage to do that though, to stand out there and talk to those kids. But some of them were clearly, there's something that happens when people become extremely self indulgent when they know that they have this platform and they, uh, have someone who is in a position of authority and they get to hamstring them in front of the public. And that's what I felt was going on to, is my understanding of human nature. I knew what she was doing, what she was doing by shouting and screaming, this is our fucking home.

Speaker 3:          00:03:44       You know, w, you know, we were supposed to be safe here. I was like, oh, I see what's going on. She's throwing up the flag of virtue for all of her friends to see how amazing she was. So she's putting on a show. People do that. It's, it's, it's human nature. You handled it admirably. You stood there and you, you just listened to her and you never yelled back and you never raise your voice and you remained calm. But that sort of environment where the children, and I want to say children, they're basically adults, but acting like children. This is one of the ironies that the people that age, you know, can fight in wars and lose their lives. And so I think it's a, it's a difficult challenge because on the one hand it's right and appropriate to hold people responsible for their actions.

