Speaker 1:          00:00:02       Four, three, two, one.

Speaker 2:          00:00:07       Yes. And we're alive and always, always wonder when I see a dude with an android, like, oh, you're on that team. People get people get so into teams, right. You get so into like groups that you belong to, like, oh, he's an android guy. What does that mean about him? Uh, android uses a windows phone. He's a contrarian. Yeah. Yeah. I'm trying to be outside the box. Yeah. He's got a Henry Rollins for president shared. I can't pay this guy down. What's he trying to do is Henry rollins really run for president, gets a part of this merchandise. I feel a little bit bad about that, but yeah, I don't think he gives a shit. No, I don't think he gives a shit, but I did buy it sort of excitedly and then had a motive, like, wait a minute. So yeah. Yeah. He, I don't even think he probably knows.

Speaker 2:          00:00:54       No, I would, I would imagine he might. Maybe we'll find out now. But uh, yeah. How much have you paid attention to that guy? I'm a big fan of Henry rollins. Henry rollins is one of the. I've said this poor one of the gate, like his music gave me the curse. Start doing standup. Really? Absolutely. But I was all in. I used to go to his spoken word shows. I'm all in on Henry. Oh Wow. Did you hear his podcast with Ari fear? No, I haven't heard that until you got to listen to it. He, um, he and already met at Edinburgh at the fringe festival and they were talking about travel. Henry just picks a spot on the map. He just like, he goes, okay, me and Mar, let's do this. And he has his travel agent organize it. It doesn't go with anybody.

Speaker 2:          00:01:35       He goes by himself. Yeah. Brings a laptop and a camera and some clothes. When I was, I actually met him. I've met a couple times, but what I really met him finally, he came to my book tour in La with his assistant Heidi, and he was going on a trip and say that can't say assistant. She gets pissed. She's his manager, his manager. When she was here, she called me the assistant. I wasn't that guy. That's what I mean as a person who has an assistant. It's not really good word. It makes it sound like you're saying like, you know, it doesn't sound with what the person does is they keep your shit organized. She sends a store manager, manager. Heidi was there and he was leaving the next day and he didn't know where he was going. She, she told him, you need to get out of town.

Speaker 2:          00:02:13       I'm tired of you. He said she booked the trip and he had no idea where he was like, yeah, I don't know where I'm going. I don't know going. He does it all the time and he just writes it, goes there and he writes. I mean he's living the life that as an artist I would like to live if I wasn't married with two kids. So I've always lived. Even before I had two kids, like I can't live that life, but yeah, I can't do that either. But he does it well. Are you should fear said, all right motherfucker. You think that's strong? I'm going to go for four months. So Ari went for four months all throughout Asia. Brought no phone, no laptop, no nothing. Completely lost contact with everybody. He didn't talk to anybody. He knew. No agent, no manager. Told them all. I'm gone for like three months and he wound up being for. Was he lost for the last month? I can't just decided not to come back yet and just did whatever. I mean he has his comedy central and then

Speaker 3:          00:03:00       he just decided, look, I'm going to take some time off and I'm just going to go. I mean, yeah, that sounds great. It does, yeah. It sounds amazing, but you know, there's a lot of negotiating I'd have to do to get away for a weekend. I gotta I gotTa plan out like the watch mayweather, Mcgregor. I had to tell my wife weeks in advance that that night, three hours. Yeah. It's like, I was like, you could watch it with me, which he did, but we, I can't be responsible putting the kids to bed. I have to spread that out and make sure and then remind and like put, do not book and all those things. Yeah. Yeah. For three hours. Getting time away when you have responsibilities. It's like the more things get complicated around you, like the Biggie, more money, more problems, you know, I mean it really get a lot of money then.
