Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:10       boom. That's it alive. We're on now. Fuck you, Joe Rogan. My man. Thanks so much for having me back. Thanks for coming back. There's a lot of pee everywhere. I F this is the fucking tonight show, man. Where I go. My and her. John, Joe Rogan heard you on Joe Rogan's. Been the last year of my life so

Speaker 2:          00:00:30       I can stop at. Stop fucking answering them when I'm going to be back back right now. You are back right now? Yeah, it feels weird. It feels like it feels like it was here like two days ago. That's a problem. Maybe you're drinking too much on the road. I definitely was drinking too much. Um, I, uh, I went to my, the last tour I ended up in a, I don't want to make, it's not too bad. Ended up in the emergency room in the last tour with, uh, with the Ivs, but the fucking real shit. Yeah. I went a little too. I don't know, I don't. They said it was kind of just exhaustion and you know, whatever. And you know, the, the normal. I think that people at the emergency room wouldn't believe me that it wasn't, you know, on hardcore drugs because they come in and I'm just, I'm fucking out of it.

Speaker 2:          00:01:16       And I am like, where you been? I've been, I've been out on tour. Then I go, shit, we know what's up and they torched it on my blood work and there was no shit in there. And then nothing at all. No, I think, I think it was honestly kind of just meet at what they did, find some kind of like vibe, like a bug or whatever, just bug that I had been on. That probably was more of it than I thought, but I really do think it was just kind of nonstop every night rocking out and you know, pushing it a little too hard. So you really did wind up in the emergency room? Yeah. Yeah, it was that. I mean the official diagnosis was just exhaustion. What were you worried about? Like what did you think? You didn't think you could just go to sleep?

Speaker 2:          00:01:59       Like how does one go to the emergency room? What happened? What happened was I, um, I was off the tour and had a meeting with some managers and shit and in the meeting I fucking barfed like in a, in a, in a nice building. We're in a nice building talking about shit rush. You're talking about the shit that rick is over here doing it with like guys in suits and I fucking threw up on myself. Whoa. And they go, are you okay? And I go, I think I am in, they hand me a banana to get some food in me and I couldn't peel the banana.

Speaker 2:          00:02:26       So then I just, I drove myself to the emergency room, couldn't peel the banana, didn't have the strength to open a banana. Really? Yeah. But I do now. Um, and then I, um, I drove myself to the emergency room and they hooked me up to ivs, like put me on fluids and everything. Just to give you an example, I, I, so when they finally said I was good to go, I went back out and I couldn't fucking find my car and I just checked my parking ticket. I was like, where's this lot? And I called the guy on the lot, he's like, yeah, your cars in here. It's the windows are down and it's, I guess apparently I just drove myself to the emergency room and fucking close the doors and walked into the emergency room and said help me.

Speaker 3:          00:03:07       Wow.

Speaker 2:          00:03:09       So yeah. And I actually, you know, while he was, we talked about last time a guy who was a big help to me. Then I was just like, I reached out to starch, I'll just like, you know, do you ever get like, just because at the time I just, I didn't know I had a bug. I thought it was just pure exhaustion, which again, doesn't that sound like the old rock, the rock star, like heroin excuse, like he's exhausted, he has to cancel a tour. And I reached out to Sturgis and he's just like, yeah man, you gotTa, you know, take care of yourself out there. Just, you know, it's mental, physical, everything. Fatiguing, you know, I think I need to figure out a way. It's funny, I was, I forget who you were talking to a few weeks ago talking about um, talking spirits, shit about suicide and stuff and about how exercise is such an important part of that and I've been on a pretty vigorous.

