Speaker 1:          00:00:48       Right now, here we go.

Speaker 2:          00:01:03       Ladies and gentlemen, we're live. We've done it faster this time than ever. We're getting better at it. Less fuckups, less hiccups. Live from the compound. Uh, we started a little bit late today. That was all my fault. Brian was rocked and locked and loaded. This time I just fucked up. I was tired because I had to do the feminine being show this morning and I had to get up early because I have to leave my house is kind of far from them. What the fuck people that's gone down, but just happy new year. Uh, Brian is all in a tizzy about the God Damn Ipad and me. I twittered that I don't need an ipad because I'm a fucking man and I can carry a goddamn backpack with a laptop and I don't complain like a little bitch. And this seems like it's got less shit than a laptop.

Speaker 2:          00:01:53       And if you're going to go like on an airplane or something, go somewhere. You want to fucking laptop. We want to be able to get on the computer. You want to be able to send someone to real goddamn email or attach something to it and send a real link. Easy copy and paste old school. You don't want some nutty fucking finger things. You have to shut up. I want to fucking laptop and it's not heavy. I can take this goddamn thing anywhere. They're so small now. I mean the sin and the light. This is. I got to hit. This is the 17 inch Mac book. This thing is, it's not heavy. He put it in a backpack. You're fine. I don't need an IPAD, Brian. Well see, I think that's the problem with a. can everyone hear us okay before we start getting really into it as the microphone back where we are. Not a well polished machine. Some gentleman. Now where's the time here? I'll see if, if we can hear ourselves. This is. If this was like real tv, we'd be fun. We'll see if we can hear ourselves. Who we are. We're, yeah, we're

Speaker 3:          00:03:00       good. Alright, so here's the thing. What about that, the whole that tablet. Now the problem with the whole thing is that Steve Jobs pretty much just bashed net books at the beginning of the the thing, so it really set a nerve with a lot of people, meaning people are like, what nipples vendor, so he knows in his speech and his speech that much

Speaker 2:          00:03:19       fan boy, I'm not going to sit and watch you strut around and talk about your fucking computer. I enjoy your stuff. I think your iphone is a goddamn work with are amazing. If verizon had it, it would be the greatest school in the history of the universe, but I can't use it as a phone. I use it to me. I have. I carry two phones. I carry a blackberry and verizon. That's a fucking phone I can call people. It sucks. It's terrible phone. It's like a drunk iphone. Like when you compare the two of them together, there's no comparison. Like sometimes, like I say, if I call you and I have a little picture for your face when I call you and I go to call somebody else, when I start calling somebody else, your picture will show up and then it'll change. So it's like the things like, oh, I'm going to go on.

Speaker 2:          00:04:02       It's like it's dumb, it's a dumb phone. It's like it does what you want to, but it takes like a couple extra seconds and it stumbles this storm to. Yeah, the strong to the screen is awesome. It's a nice big ass screen and I, I liked that. And the touchscreen's not too bad. It's pretty easy to type the, even this way in landscape mode, it's good. It's like, it's weird. It gives you a little feedback, which really isn't necessary but it's not bad. And as a phone it's great, but compared to the iphone was just getting on the web. It's just like, like you're doing it in an old wooden car, you know, it's just so clunky and stupid and zoom, okay, scroll this way and Oh, come on. Really what

Speaker 3:          00:04:44       you're saying is the best part about the iphone is probably Internet and the worst part is the worst part is clearly I don't mind making calls on calls on his bad ass, just that, but I just don't want. Tea is just terrible. It might be better in somebody's town, you know, for. They've got more towers, more GSM towers. So they took the, the, the best part of the iphone and made it a little bit bigger. Yeah. And they got rid of like no camera. What the fuck? Well here's the whole thing about this. What I'm thinking now is I'm thinking, all right, I like my iphone, but I only use it once in awhile. I want something small to surf the net and do basic shit with. Oh, I listen to this. Say you're in a starbucks and some dude comes in and starts spraying the place.

Speaker 3:          00:05:26       Okay. And you want to be taking video, right? And you're on your little ipad thinking you're a genius sipping on your lives. Have two cameras have shit. You not me. You're just a regular dude. Just as your digital camera. You have us as an ipad and the blackberry because he's not sold on apple online. He's online right there and he wants to get online with his ipad and take video and streaming to stream of this happening and he can't do it because the ipads a piece of shit. Okay, well listen to have a camera. Well, listen, now, one of the things that he in his space logic, here's my argument, he said during the speech that it has a port that is going to have accessories to open it up to the universe. Imagine having an hd camera hooked up to the bottom and you just happened to be streaming through starbucks, like a fucking creep.

