Speaker 1:          00:00:01       Three. Two we need like a digital counter. Three, two,

Speaker 2:          00:00:11       one. Whew. If you're going to drink that, Andrew, be very careful. It's 270 milligrams of caffeine. That Ooh,

Speaker 3:          00:00:17       right. That'd be donated. That allowed. You can have that.

Speaker 2:          00:00:22       Brendan drank one of those yesterday and a pot of coffee and have a cup of coffee and then on top of that he drank a, what'd he have? Something? A venti with a shot of espresso in it from starbucks with all cha all doing it while he was fasting. So a halfway into the podcast, he starts hurling, runs into the bathroom, throws up, then it comes back and then throws up in a bucket at the end of the podcast. Literally didn't, didn't make it out of the room

Speaker 3:          00:00:47       so they could have had a heated seat if you had to take a shit. Yeah, we have a heat instead of 200 7,270 milligrams. Yeah. Caveman coffee. Nitrogenated it's basically like espresso with nitrogen in it. It's good stuff. You get used to it. Good. I'll take it before bed. Yeah, that's a good move. You'll have some weird dreams. All right. Take Express will before I go to bed. Andrew, I'm not used to this clean shaven, Andrew. Yeah, like a different human. You could sneak up on people. That's the point, man. My daughter's about, oh, about a year ago, said they had enough of the beard so it had to go.

Speaker 2:          00:01:20       Oh, when I was a, well when my daughter was one, a friend of mine died and we on the Internet, we'd all had this guy, Evan Tanner, who is a former UFC champion. And we had decided that we were all gonna grow beards for him cause he had this crazy giant beard. And so a bunch of us on the Internet did it. And I just grew this fucking werewolf beard. And then it got to a point where I was like, you know, it was time was up. I was going to shave it off. And my daughter had no idea what I really looked like. So I shaved my face and she started screaming. She thought it was somebody else and she started crying and I'm like, touch it. This is, this is my normal face. And then she's confused. She's like, I know that voice. Like who are you there? That's what it looks like.

Speaker 3:          00:02:02       Oh Nice. That's a sand a half with my boys. They were, they were young too, like so they had never seen me without it. So like they thought you were a stranger to then you see that that's because we're on TV. I trimmed the cheek areas cause it creep up. Gq. Gq Did. Yeah. I'm trying to look fresh. Well I have to admit the fact that after 30 years of not having a beard meeting you right, I ended up with that beard and then started speaking Arabic. Right out of nowhere. Out of nowhere. How weird. It was more academic to go when you're lecturing on the lecture circuit sometimes for, but for

Speaker 2:          00:02:39       guy with your experience, like that kind of beard is a, it's normal. Yeah. Yeah. I mean guys who have lived your line of work,

Speaker 3:          00:02:50       I don't know man. It's like counter culture, so anti establishment establishment. So that's part of it. You know. And like anything else you get into, I don't know. It felt normal. Right. So it was like a, probably a crutch a little bit and uh, something that felt right for a long time. I don't think it's a crutch,

Speaker 2:          00:03:07       but I think it's definitely like a mark of the, the occupation. I remember a red tick mark Kinko's book. Shanko Marchenko I read one of his books way, way back in the day. Rogue Warrior. Yeah. And they were talking about guys who had dress, they just how they didn't fit in with like regular military.

Speaker 3:          00:03:28       Yeah, no, totally, totally like, uh, unconventional. Probably a better way to say it. You know what I mean? So not in with authority, not in with, you know, uh, everybody being the same way, not down with uniforms, not down with, you know, using name and rank, you know, we called everybody by their first name, grew our hair long, grew beards wrong. It was just kind of, uh, uh, you had to earn that. Right. You know what I mean? So that's part of it. Like, Hey, I earned the right to be able to be autonomous, so, so to speak. And so that's kind of the, uh, some of it.

Speaker 2:          00:04:00       It is interesting. You know that that's the, the, the, I mean, I don't want to make distinctions, but the baddest motherfuckers in the military are the ones who dress like, like just regular savages. It's something, there's something odd about that. Right?

Speaker 3:          00:04:17       I Dunno man. There's just a, like that idea though, that you have to earn it. Yeah. Yeah. You got to earn it. And you know, it's like you get so tired of doing what you're told and you want to do what you think you need to do for the job. You know what I mean? So like what, what is it, how, how do I see that I need to accomplish this task, whatever it is. And I don't need to be dictated from somebody who's not going to be there telling me how to do it. And so that goes all the way down to even like, okay, well what kind of boots am I going to wear? What Kinda, what Kinda uniform do I need to accomplish this mission or do these things? And I just kind of, that's the way those guys are. They're always thinking about, you know, not, not how to, not how to, not how to fall in line man, but like how can we think differently to solve problems and, uh, you know, the uniform is just one of those things.

Speaker 2:          00:05:04       This is very interesting now, um, for just, so this is a standalone podcast so people don't have to go back and listen to the first one that we did. We have Dr. Mark Gordon here, a good friend of mine and, um, Andrew Marr who is the founder of the warrior angel.

Speaker 3:          00:05:19       Yeah. Me and my cofounder. Me and my brother Adam Mar, who was also in the army

Speaker 2:          00:05:23       and we did a podcast a while back, but for the people that didn't hear, explain what the Warrior Angels Foundation is and what you guys do.

Speaker 3:          00:05:30       Yeah. Can I get some context first, Joe? So we talked about I was special forces green baret for a better part of a decade, you know, so I would say somebody defined by my vision of the future. Uh, and so that always led me to doing what I wanted to do in life. And so, you know, special forces, Spec ops type dudes, they're in life and death situations pretty regularly and, uh, perform, uh, otherwise they don't live. You know what I mean? And so that was kind of life for the better part of 10 years being in life and death situations on a regular basis. And so going from that, you know, uh, I would say a high performer, uh, by, you know, by every metric to one day after my last deployment, uh, I woke up and I was on 13 different medications. You know, I couldn't remember how to drive home from the same route that I've been driving home every day.

Speaker 3:          00:06:25       Uh, I was just in chronic pain all the time. I had these balance issues where I couldn't walk in a straight line, uh, blurry vision would go into double vision and I had these horrible migraine headaches. So just the ability to bring that way and then, uh, started to have become depressed. And this was like, uh, this was just mind boggling to me because I was living, I thought my life's purpose, right? Doing the job I wanted to do with the people I wanted to be with Mary, to the woman of my dreams, had the family that we always wanted. But yet here I am, I have all these physical problems. Now I'm starting to be depressed and I don't have a reason to be depressed. And then I started having panic attacks in public, in our weight room at home, in front of my kids, you know, like just breaking down crying and not knowing why and not being able to do anything about it.

Speaker 3:          00:07:15       And, uh, and then I started to have, you know, and that was again, like my, the structure of reality. It was fracturing around me. And, uh, I, I, I didn't know why or what was going on, you know, and the first thing he can think to do and something like that was to drink. I was like, I gotta I gotta stop this and I don't, I don't know what to do. Uh, I think I have some screws loose or what's going on, but all I know is this is so disastrous. Maybe if I just drank, I can, I can put the, put the brakes on this a little bit and uh, and, and things just continued to get worse and then my behavior just continue to skyrocket out of control. And it wasn't like I was making conscious decisions to be fucked up. Uh, like I'm driving, I'm drinking and driving on a regular basis and I never even crossed my mind.

Speaker 3:          00:08:02       Like, that was a wrong thing to do. It was just like, hey man, I can't function unless I drink and I got to drive. So that's what we're going to do, you know? And then, uh, start producing just horrible effects on my family with that line of behavior. And it got to the point and, and as a special forces operator, man, all you want to do is operate. All you want to do is be on the team and go and do the things that we signed up to do. It didn't have any problem with that or it wasn't like, Oh, you know, all these combat scenarios are weighing on me and it's been too much and, and I just can't handle it. Like, that's the only thing I felt comfortable doing and wanted to get back to it. And, uh, but again, like I'd never had any of these symptoms before.

Speaker 3:          00:08:43       So life is just spiraling out of control and not sleeping and everything else. And so finally, you know, you sit on it until you can't sit on any longer. And it got to the point where I was like, I'm not only am I a detriment to myself and probably society, like I can't go out and operate right now, like these guys can depend on me. And so at that point I was like, I gotta raise my hand and I got to get some help. And, um, you know, that well intended people, eh, wanted to offer as much help and find the answers as they possibly could. But again, all that got me was 13 different medications and, uh, it was told, hey, you've had so many head injuries, you can't afford to take another blow to the head. And this is probably going to be the new you.

Speaker 3:          00:09:28       You're going to be on these medications, take a pen and a pad everywhere you go. And, um, and learn how to live within these new parameters and schedule out your meds and this is, this is going to be that. And so it was a medical retirement. It got so bad, Joe, that my wife was nine months pregnant with our fifth child and she had to ask me, Hey Andrew, can you keep your drinking down today in case I go into labor so I don't have to drive myself to the hospital, you know, so that's all bad it was getting. And that wasn't enough to stop me. And so she actually, our son had a, uh, uh, genetic, uh, lymphatic malformation, his neck, and he got sick. He's like 13 months old and it got infected and it blew up to like the size of a softball.

Speaker 3:          00:10:10       And this is when she's nine months pregnant. So we have to take him to the emergency room. And my calf had been killing me for about three days at this point. Uh, I didn't think anything of it. I just wrote it off. But we're in there in the emergency room, like he's having trouble breathing. It's, it's bad like a softball. And his neck. Well, he turns out he has to go into emergency surgery and then becky goes into labor. Um, so he's up on like the fifth floor getting emergency surgery. Becky's given labor to our youngest son on the second floor. So I'm going back and forth between the fifth floor on the second floor. And I'm like dragging my leg at this point cause it just stopped working. Um, but you know, I was all in and refuse any care till I get these two taken care of.

Speaker 3:          00:10:52       Well, we get Jason out of surgery. Uh, you know, he's on the road to recovery, get down for the birth. Uh, we have our son Joe, Joe, he's good to go. And then it turns out, uh, they finally rushed me to imaging and I have a blood clot in my leg and it's broken off into both long. So now I have a bilateral pulmonary embolisms and at this point they're like, hey man, like we have a very small window here. This is very high mortality rate. And A, I'm like laughing at them because like, you know, I was drunk at the time.

Speaker 3:          00:11:21       No bullshit. And I'm like, you guys think this is going to kill me, get in line. This isn't the vis a long line of offenders here that, that I want a shot at that. But um, so anyway, so I'm sitting there in the hospital room and I'm just wondering and waiting for somebody to come explain to me like how life has spiraled out of control like this. And like somebody's going to say, hey, this is a reason that you have these blood clots. You know, here's what's going on with your head and all these things. And it just, it never happens. And I remember like, I got to go down and visit my son, uh, who was, uh, in emergency recovery and I was there at his hospital bed and, uh, I had a bottle of whiskey or airplane bottle of whiskey and I popped the last pain pill I ever took and I shot down the whiskey.

Speaker 3:          00:12:06       That was just normal 24, seven. How I operated at that time, tried to just to cope and a, I had this epiphany, you know, that hey, if I continue on this same track and I continue to just wholesale buy, everything in the medical system is, is telling me it's going to kill me and it's going to ruin everything that I love so I can stay on that route or I can decide to act and to change what I don't like. And at that point it was everything. And so I made the promise to my son right then and there that I was going to do some things. One, I was going to get off all medication and I was going to return to the man of my pre-injury status too. I was going to find a way to heal myself. And then three, I was going to turn around and do that same thing for somebody else.

Speaker 3:          00:12:58       And so right then and there and the hospital's bed, and I mean this is the honest to God, true story. I said, I don't care how, I don't know how, but I've had enough. I've had enough of people telling me that my life is over. And at that time, you know, my identity was in special forces and that was taken away because of the medical injuries. And I said, I don't care anymore. I'm still a husband. I'm still a father and I'm going to get better. And that was enough to pull me out of there, out of that negative spiral that I was in. And to start being proactive again and start being defined by a vision of the future. And my vision of the future was just what I said. And I didn't know it was going to lead to where we're at today, but that was the catalyst.

Speaker 3:          00:13:41       And so I started going and looking for alternative therapies and it turned out like the government didn't want to pay for anything that wasn't covered by their insurance. Well, that's fine. I'll charge it a max it on credit cards. That's fine. I'll get more credit cards. I don't care. I don't care if it's $1 million, I will get the money and I will get better and I will solve this problem. And, uh, then I started getting objective about it and that was like, you know, talking to everybody out there who's having head problems like, hey, what's working for you guys? And I got real interested in why did some things work for some people and then not work for others, you know, you know, precursor and meeting mark. But I'm starting to get really scientific minded or you know, one objective data to be able to support things.

Speaker 3:          00:14:21       And so there's all this, these other treatment modalities out there and I did every single one of them and some of them were little bit of a benefit in the short term. Some of them, you know, reversed or made symptoms worse. Um, but it was leading to that that we got some, some publicity out of it. Mark read about it and just contacted me and he didn't know anything else about me at that point, but he said, hey, you know, we've been treating Tbi for a number of years now here's my credentials, here's the background story on it. Here's some media that I had done and it was a podcast that you guys had done a couple back with. Uh, when, uh, he had matt Gaza Neon and I'm listening to Matt tell a story. And for the first time ever through hearing him, I was like, Holy Shit, this is, this isn't specific to me.

Speaker 3:          00:15:14       Like I got so wrapped up in myself like I thought like the whole world's on pause and this is, this is this my problem. And I realized, Oh my God, this is a much bigger problem that has wide reaching a repercussion is that doesn't just deal with me specifically. And so as I'm hearing matt talk about all the problems that he's having, it's like he's like tall telling my story to the teeth and then I hear mark say, well, not only that, but we can identify, uh, an underlying condition for all of the things that we were just talking about. And we can measure it objectively. And like, that just blew my mind. Cause I was like, here I am on 13 medications. And there wasn't one objective measurement where somebody said, let's put them on antidepressant depressant. Let's put him on another antidepressant. Let's put him on anti anxiety. I was like, there was nothing objective about that. I was like, wait a minute.

Speaker 2:          00:16:05       So they're not, there was nothing you were saying there was nothing. They were measuring subjective as there's a level of this that we need to move up. There's a level of that we need to, right.

Speaker 3:          00:16:13       Yeah. Based off the symptoms and the complaints I had, it was just throwing darts. It's like I said, 13 medications from a person who never had any issue before

Speaker 2:          00:16:22       and to all the guys that have served that have gone through this kind of thing and not just guys that have served, but also when you're dealing with Tbi. We're talking about athletes, we're talking about former fighters. Yeah. A lot of guys that have been in contact with on a regular basis have these issues and what mark has done, which has been just phenomenal, was open up a new door for treatment to these people. And I have talked to so many people and I've been in contact with so many people that heard about you through the podcast that we've done together and heard about your work and have gone on to completely remove these medications.

