Speaker 1:          00:00:00       Young Jamie [inaudible].

Speaker 2:          00:00:07       Merry Christmas motherfuckers. Brendan sharp with the Gucci Shoes on. How dare you, how dare you, and he's got cammo with Polka dots. I want to suggest for you, it says blind on one shoe and love on the other. Oh Lord. How dare you even leave just for you. The shows you did much soccer. He liked those shoes. The shoes I wore just for you. It's a little bit of romance, a little bit of my style camera with Polka dots on it. The Day George Michael Died. It's like a good, it's good jacket to have on. What did he die of? He'd had a heart attack apparently. Yeah, that one was hard for me. Really fucking love that guy. That song freedom. That's what fucking jam. That song has like four parts. People don't understand that there's like, I think it's four, but there's every part is just amazing.

Speaker 2:          00:01:04       That's a great fucking song. I'm a little too. I wish I could play it be we. We'll definitely get kicked off of youtube if we play it and we put it on Youtube. But there's, there's that video that they made with all those supermodels. So Christy Turlington and all those, all those, uh, Naomi Campbell and all those different supermodels in their all wandered around and there's, they're singing the song, they're like lip sync and hence the video. Yeah, it's fucking amazing. Yeah. I just know they'd wake me up before he coco that's in zoo lander. He had some ridiculous songs, you know, I think freedom is the only one I ever like. I didn't like, you know, like wake me up before we go, go, come on. That's a terrible, there's the video. It's awesome. Did you like, I want your sex. I'm not mad at it wasn't a fan of that.

Speaker 2:          00:01:57       It sounds like these are fucking shot. The kids. Awesome. He's so good on his knees with a undercover cop or something like that and, and no one gave a shit like no one gave me. She was loud about good. Who Cares? So wait a minute, here's my problem with that. What the fuck did the undercover cop say to get him on his knees and suck his Dick Restroom? No. No. How did it start off? It wasn't like, Hey, I bought those lakers. No, he was probably like, Hey, you want you to dick suck. I'll suck your Dick. You suck mine. Like he probably said something probably don't say Suck Dick. They probably got code word code words Woodward's right. You want some sausage, Bro? What'd they say? We're looking for Bro. I looked for some friendship. Friendship. Great. I got some friendship boy. Yeah. Do you remember when that, um, that Sam, was he a senator or congressman or some shit? That guy was an anti gay

Speaker 3:          00:02:59       crusader. We always, my favorite dudes got caught in a bathroom stall in like Minneapolis and he was doing that foot tapping thing. They have like a code Morse code for gay. He tap your feet four times and dudes and let you into the stall and you suck each other off. Larry's grades are in the dude's right. Kind of dudes are into dudes when these kinds of dudes are in dudes. Yeah. But I think if I think it generally, what did you watch modern family. You ever watch? No. Do they have, it's a few families and have a gay family. Uh, they have two dudes and they adopt, they adopted a girl. She's an Asian girl. But those guys, there's been a couple episodes where this is on ABC modern family where uh, the gay couple at some college boys move in next door and then one of the guys is like hanging out with them and he feels like he's in college again and he's partying with them and he kind of has a crush on one of the guys, like the main guy and his husband.

Speaker 3:          00:04:07       It's like you gotta crush blank they're talking about and he's like, like, no, I don't have a crush. But like it's obvious that he does and it's okay. That's fine. That's fine. No, I know. But if it was a heterosexual couple, no, that would never be a situation like that. Oh, they've done that before. Take a pilot, a couple. I had a crush on someone's wife for sure. For sure. A hot neighbor moves in. Right. But it is like where the guys like admitting that he has a crush on the neighbor's wife, like latently, is that what you're saying? No, it's more like a, you can tell there's, there's a heterosexual couple in the Sitcom and a bunch of girls move in next door and then the guys hanging out with the girls and he has a crush on one of the girls and it's okay with this wife.
