Speaker 1:          00:01          Hello Greek

Speaker 2:          00:02          bitches. Do you think in our lifetimes and or in our children's lifetime, it's feasible that we figure out a way in some way to, I'm not endorsing like taking people's money and giving it to other people, but in some sort of a way to eliminate poverty. Is that even possible? Is it ever going to be possible to completely eliminate poverty worldwide and within like a lifetime? Well, I think we talked about this the last time when we spoke about ai, but I mean this is the implication of much of what we talked about here. If you, if you imagine building the perfect labor saving technology, right? What do you imagine? Imagine just having a machine that can build any machine that can do any human labor. You powered by sunlight more or less for the cost of raw materials, right? So you're talking about the ultimate wealth generation device and now we're not just talking about blue collar labor, we're talking about the kind of labor you and I do, right?

Speaker 2:          01:03          So like artistic labor and scientific labor and, um, you know, just a machine that comes up with good ideas. Right? And He, what we're talking about, general artificial intelligence, um, this if in the right political and economic system, this would just cancel any need for people to have to work to survive, right? It just would be, there'd be enough of everything to go around. And then the question would be, do we have the right political and economic system where we, where we actually could spread that wealth or would we just, we just find ourselves in some kind of horrendous arms race and, and, uh, uh, situation of, of wealth inequality, uh, unlike any we've ever seen. Um, it's a, um, we don't, we don't have the, it's not in place now and if someone just handed us this device, you know, if, if, um, and it were, you know, all of my concerns about Ai, we're gone.

Speaker 2:          02:03          I mean, there's no question about this thing, uh, doing things we didn't want it would do exactly what we want when we want it. And there's no, there's just no danger of it. Uh, it's interest becoming misaligned with our own. It's just like a perfect oracle and a perfect designer of new technology. Um, if, if it was handed to us now, you know, I would expect just complete chaos, right? I would explain it if, if, if facebook built this thing tomorrow and announced it or rumor spread that they had built it, right. What are the implications for Russia and China? Well, in so far as they are as adversarial as they are now, it would be rational for them to just new California, right? Because, because the happiness device is, there's a winner take all scenario. I mean you, you, when the world, if you have this device, you can turn the lights off in China.

Speaker 2:          02:56          You know, the moment you have this device, you can just, it's the ultimate. Um, cause literally you were talking about and you know, many people are made doubt whether such a thing as possible. But again, we're just talking about the implications of intelligence that can make refinements to itself in over time. Course that is bears no relationship to what we experience as apes. Right? So you're talking about a system that can make changes to his own source code, um, and become better and better at learning. And more and more knowledgeable has instantaneous, if we give it access to the Internet, it has instantaneous access to all human and machine knowledge. And uh, it does, you know, thousands of years of work every, every day of our lives, right? They just thousands of years of equivalent human level intellectual work. Um, it's just a, it's on, I mean, our intuitions completely falter at t to, to capture just how immensely powerful such a thing would be.

Speaker 2:          04:02          And there's no reason to think this isn't possible. I mean, the, the, the most skeptical thing you can honestly say about this is that this isn't coming soon, right? It's like this is not, but to say that this is not possible makes no scientific sense at this point. There's no reason to think that a sufficiently advanced digital computer can't pee, can't instantiate general intelligence of a sort that we have. There's no reason to think that the intelligence has to be at bottom some form of information processing. And if we get the algorithm right with enough hardware resources and the, and the limit is definitely not the hardware at this point. It's, it's the, the algorithms, um, there's just no reason to think this could, can't take off and, and scale. And then we would be in the presence of something that is, that is, uh, like having an, an alternate human civilization in a box that is making thousands of years of progress every day.

Speaker 2:          05:05          Right? So just imagine that if you had in a box, you know, the 10 smartest people who've ever lived, and you know, every time, every week, they make 20,000 years of progress, right? Because that is the actual, we're talking about electronic circuits being a million times faster than, than biological circuits. So even if it was just, and I, I believe I said this the last time we talked about ai, but this is, you know, this is what brings it home for me. Even if it's just a matter of faster, right? It's not, it's not anything especially spooky is chest. This can do human level, intellectual work, but just a million times faster. And again, this is totally under sells. The prospects of superintelligence, I think human level intellectual work is, is um, uh, it's going to seem pretty paltry in the end. But if you just imagine just speeding it up, if you imagine if a full, if we were doing this podcast, imagine how smart I would seem if between every sentence.

Speaker 2:          06:04          I actually had a year to figure out what I was going to say next. Right? And so I say this one sentence and you say, you asked me a question and then in my world, I just have a year, I'm going to go spend the next year getting, getting ready for, for Joe, and it's going to be perfect. And this is just compounding upon itself. Like not only can I not only, uh, I, um, am I working faster? Ultimately I can change my, my ability to work faster. I mean, like we were talking about software that can change itself. You're talking about something that that becomes self improving. So there's a compounding function there. But, um, it's the point is, is unimaginable, uh, in terms of how, uh, how much change this could effect. And if you imagine the best case scenario where this is under our control, right, where there's no alignment problem, where it's just, it doesn't, this thing doesn't do anything that surprises us, this thing we'll always take direction from us.

Speaker 2:          07:04          It will never, it will never develop interests of its own. Right. Which is again the fear. But let's, let's just say this is totally obedient, is just an oracle and a genie route, you know, in, in one. And um, you know, we say, you know, cure Alzheimer's and it cures Alzheimer's. You know, you solve the protein folding problem and, and it just is, it's just and running and to develop a perfect nanotechnology and it does that. This is all, again, going back to David Deutsch, there's no reason to think this isn't possible because anything that's compatible with the laws of physics can be done given the requisite knowledge, right? So you just, you get enough intelligence, as long as you're not violating the laws of physics, you can do something in that space. Um, so, but the problem is this is a winner take all scenario.

Speaker 2:          07:54          So facebook does it tomorrow and China and Russia find out about it. They can't afford to wait around to see whether the US decides to do something not entirely selfish with this, right? Because they're, the, their worst fears could be realized if Donald Trump is president. What's Donald Trump going to do with a perfect ai when he has already told the world that he hates Islam? Right? Um, it's a, it's a, um, we would have to have a political and economic system that allowed us to absorb this ultimate wealth saved. We'll wealth producing technology. Um, and, and again, so this may all sound like pure Psi Phi craziness to people. Um, I don't think there is any reason to believe that it is, but walk way back from that edge of craziness and just look at, um, dumb ai, you know, narrow ai, just self driving cars and automation and, um, intelligent algorithms that can do human level work that is already poised to change our world massively and create massive wealth inequality, which we have.

