Speaker 1:          00:00:00       Do too.

Speaker 2:          00:00:06       And we're live. We're live with the chat. We're live. Well, the out of the chair. What's up man? How are you look better than anybody I've ever seen. Just a couple of weeks out of shoulder surgery. I'm a savage man. You're walking around like there's nothing going on. They took my savvy stem cells out of my own damn back and he threw him in my shoulder out of your back. The hipbone writer. Fuck bone marrow. They got in there. Cintrifuse spun him, shot him into my shoulder and shit. I should have a lingo, but I'm out Tuesday anyway, so I kind of prematurely decided to come out of the slain. Oh, so he's supposed to be able to sling and six days. Yeah, no, no. Is that six days? Whatever. Tuesdays. Yeah. Wow. So my guy is really a grad, so I went to Dr. Andrews. He's out there and I'm in Pensacola and he said, no, we need you back punching in two months.

Speaker 2:          00:00:52       So the day after surgery, heart surgery, he said making contact. So two months. I mean right after surgery I was doing two a days fucking full last rehab. Really? Yeah, like crazy. So I'm like, these dudes is nuts. This shoulder. I had this done in Oh eight I didn't move for like three weeks. What'd you have done with that one? Anything Labor now you, you hurting this and training. Are you hurting it in fights? Um, a lot of people don't know about me. They think I just throw my right hand a lot, but I wasn't never really confident with my left hand because I had that left leg room tear. So it felt weird to throw hooks and it felt weird to use my jab a lot, my shoulder fatigue a lot. So I didn't tell a lot of people that. So I just started bombing,

Speaker 2:          00:01:34       bombing like hell with my right hand. It wasn't because I was just her writing in heavy. So now that I had the surgery on this one, I'm one of the stem cell bolt. Shoulders rehabbed the crap out of it. And also about this on the Rehab machine called an art wave. You ever heard of it? Like a Russian. Stan is like nuts. No. What is it? It's like a Russian stim machine that has the ability to make your muscles contract 500 times a second at its highest setting. So a lot of people use it. A coach use it. A lot of pro athletes use it. The people that made it in Minnesota, they don't give a lot of information because they don't want to answer. That's real property stolen, but they charge you like 12 to 14 grand for the machine. Then they charge you five grand and show you how to use it.

Speaker 2:          00:02:14       Then if you really, really want to know how to use it, they charge you as another 500 I mean five grand. So I was lucky enough, I hope they ain't watching that shit. I was lucky enough to get one from my homie, Mark Clayton. They used to play with the rams. I just bought his from him. And so what did, what is it called again? It's called an arp wave. Art Wave. Aarp arp. ARP, which stands for advanced program? Yeah, while dance recovery program. So basically if you think about scar tissue, soft tissue, it has ability. It's not like that stem that feels like the needle poke in, but it's like intense stem that goes through. It can break their fucking scar tissue or um, go to soft tissue and basically increased blood flow, range of motion. So sprang ankles, you know, in one session. That should be, he'll real.

Speaker 2:          00:02:56       Yeah, I've used it hundreds and hundreds the time. I just didn't have the money to buy it until recently. Wow. They use it to since college. And so now you put this on your shoulder and what will you put it on your shoulder? An ad like this posture. So you hold this posture just position. Right. Um, and then they also do a balance as first because if your back is fucked up, you need and your balance is off, then neurologically it's not going to actually sin. Um, the, the current to the right spot. So they, maybe she'll Laura back and your shoes are fucked up, so now your shoes are messed up. So make it a lower back. Her, you know how to balance test, right? So they do that first adjust. You make sure you all balanced out. Then they find what they call a hotspot.
