Speaker 1:          00:00:03       And doing it again, I can.

Speaker 2:          00:00:09       That's my new opening. Sorry. Voice. Yeah. It's nothing so it doesn't even seem like I'm trying just. It's just coming out. It's coming out like that. You know what it is because you speak the truth. It's just the truth coming out. Truth coming out in my angel voice. I told you, that's what I go. How do you sing like that? You didn't even warm up. She goes, what are you talking about? I go, you just go eat. Ate a big dinner, and you just got up, sang and she goes, I don't know. I just tell the truth and everything else takes care of itself. But that pitches like the Michael Jordan of soldiery songs know she could sing the fucking shit out of some music. Unreal. The Joe Rogan experience podcast is brought to you by WHO's today? Oh, well, first of all, on [inaudible] dot com. That's our main sponsor on it is the supplement slash lifestyle company.

Speaker 2:          00:00:52       I don't like calling anything a lifestyle company. We were going to have to come up with a good name for what it is. It sounds so not Joe Rogan, so gay and like force, like sell a lifestyle. We were talking to this guy who, uh, he, um, produces podcasts for a friend of ours and we were at the Improv and homeboy battered us with these industry terms. Do we, weren't you there when that conversation was like, you guys done a really good job of projecting you're exactly where you're talking about. It's really, really good job of predicting, projecting your brand. I was like, what the F I want to kill you. I'm going to kill you if you don't get away from me talking to this fucking joke. You. I'm not thinking about a brand. I'm thinking about doing something good. You're a goddamn vampire, sir.

Speaker 2:          00:01:33       You don't even know. Let's be honest. No. What'd you say that when you say branding a brand that takes away the purity of the intention, right? Let's be honest. It's the onnit call is what you'd call it. Well, I don't even want to call it the. I don't want to name it, but you know what it is. But listen man, I'm not, I'm not. I'm not susceptible to call the stuff and everything you sell. I'm like, I want those chimps. I'm 45. I'm like, I, oh sorry. I can't say, but I just want those and then I want the jerky and all stuff I use. Well, you know, there's like, there's a lack of a celebration of a fucking exciting manly shit in this country. Of course is. There's a big suppression of it and we add on it or a against that whole heartedly and we think it'll take supplements if we had stuff that makes your dick hard.

Speaker 2:          00:02:17       We're going to look into that. We got some hard dick natural supplements. W will get you those. We'll, we'll find out there any good. We'll run some tests and we'll get you. The data exists, but the stuff that we have, everything that we have is shit that we use. We use the best quality ingredients. We put together the best possible combination of these things, whether it's for Alpha brain or knew mood, knew mood is a fascinating one because you know there's a lot of people in this country that are on stimulant or well, there's a lot of people that are on stimulants where there's a lot of people that are on Ssri antidepressants. They're on things that essentially stimulate serotonin in your mind or or add it to your brain, you know, you can add it artificially or five htp

Speaker 3:          00:03:00       and l trip defender. Two different ways that it boosts your brain's production of Serotonin and five htp hasn't been as it's been explained to me, five hcb converts into Serotonin and Tryptophan converts into five htp, so when you put them together, it's like a time release thing. It's just, it's all. It's just science about nutrition and what is effective for what aspect of performance, whether it's mental performance like Alpha brain or physical performance like shroom, tech, sport. All of it is described on it. We describe why we're selling. This is what it is. This is why. How we got involved in it. This is, these are the people that tell you it's good and we're dealing with professional poker players. A lot of pro athletes love all the different products because they, they're just, it's, we're just trying to find the most effective shit out there.

Speaker 3:          00:03:50       What's the best shit? Let's sell it. We were talking about Kale shakes. I make Kale shakes almost every morning and I haven't all week though, a three days in a row and I do feel the difference. Feel like a fat fuck today. Your skin is positive and glowing. A lot of water. Um, so we decided to get BLENDTEC blenders. We found those are the best we're selling as we sell them $200 less than the manufacturer suggested retail price. Just because we're trying to sell you the best shot possible at the lowest price possible. That that is the number one goal with on it. And everything we sell you is shit. We use metal belt. No scarves.

