Speaker 1:          00:00:05       He,

Speaker 2:          00:00:09       before we even get started, I got to give a shout out to this dude, Aaron, where is it? Where's the, uh, not that, but he gave us that. But the other thing, the white snake, oh, there it is. I told the story a long time ago about a car accident and I got into when I had a, I had an older girlfriend. He's telling me what to do, which is pretty hot though, Stephanie, how are you? Um, and she, uh, she made me throw away this whitesnake cassette after the car accident. I had a little box of cassettes in my car and she said, throw that out and that's fucking listen to her. All right. So if you're in that state, if you're in that situation right now, will your interrelationship and the person you're with tells you what to do and you go, fuck man, I'm that bitch. Why was that bitch wants to, and I was bummed out, man, that I fucking threw out this whitesnake cd wells cassette cassette, rather they would, I didn't even have a CD player then that. When did they, when did cds come out? Officially

Speaker 3:          00:01:02       90, 80. I feel like we've done 88

Speaker 2:          00:01:06       trying to figure this out before. We just don't, it's just not worthy enough. Somewhere in the 80 [inaudible]

Speaker 3:          00:01:10       yeah, early or late eighties, I would say. Cause I got my first one in, I remember for my birthday when I was like 16 or something like that. 17. So this had to be

Speaker 2:          00:01:19       b, a d eight. Cause I know that after I broke up with her, I started fighting again. I took like a break, we broke up and then I have three more fights after a date of her. So, uh, like kickboxing fights. So I remember the year, uh, so I'd had to be Ada, which is 88 or 89. But fucking, I loved this cassette. So that was, that was like a real moment of for me. You know, there's moments when you haven't relationships where you'd go, fuck, I can't be this guy. I can't, I can't just let someone tell me what to do. And someone tried to change me. Like she was a very smart girl and she was older than me. Like she was 25 and I was 21. And I remember, you know, she was just smarter than me. It lists, it's certainly at the time more worldly than me and uh, I just fucking listen to her. It's not good man.

Speaker 3:          00:02:14       Don't you hate when you see your friends in those situations though? Like you see the friends that are, that always fight every week and they're always breaking up in there.

Speaker 2:          00:02:22       Yeah, it's awful. In her defense, I was a fucking idiot in her defense, so I, she was trying to shape me up, you know, it was an interesting like, you know what I knew I couldn't hang out with her anymore, was um, there was an incident at a comedy club that I've told before. I don't want to repeat it again because the person that I talked about, like [inaudible] talked about it in the Jamie Kilstein podcast, the person I was talking about is completely delusional and their perception of these events, I don't want to even rehash who the original person was that I'd gotten this dispute with, but I wound up walking off the stage because I was disgusted by how this professional comedian was censoring people at an open mic night. And um, Stephanie, who's, by the way, awesome. Never anything but awesome. She was very cool person.

Speaker 2:          00:03:10       So I've never hated her or anything, but she, you know, she pulled me aside and she like Kinda like lectured me. She's like, look, if you want to do this, if you want to do this, then you have to really do it. You can't walk off stage like that. That's completely unprofessional. And I'm like, I'm not a professional. I'm like, I'm an amateur. Like, yeah, it's unprofessional. I'm trying to learn how to do it. And then I realized like that's not how you talk to people that are in your life, that if you don't like what they're doing, like you have, there's, there's gotta be a better way of approaching it than that. Her way of approaching it was from like a mother perspective, I can authoritative perspective, you know, it was weird. It was a weird relationship in that respect. And when you see those relationships, the problem is not, I don't want to generalize, but oftentimes in relationships, the dynamic that the relationship begins with is the dynamic the relationship sticks with.

Speaker 2:          00:04:04       And if you get stuck in a relationship where one person is telling you what to do, it very rarely goes back the other way. And then you tell them what to do and then they listened. It never does. It's like you develop like a chief and the rest of the Indians, you know there's a captain and then there's the sailors and it's just the way it is. Man. I don't know why, but with her, like early on she assumed the role of the one who is like dictating what was okay and not okay, what kind of music I should like, how I should dress. It's real weird man. But again, she wasn't a bad person. She was a 25 year old girl dating a 21 year old guy who was crazy. And you know, when girls are 25, they're like, okay, what am I doing? Am I going to marry this guy? I'm going to have kids with this fucking idiot.

Speaker 3:          00:04:50       I got to shape them up. I've got to get them to stop listening to white snake. I mean, I think I do that every almost every relationship though. Like oh yeah, she uh, you know, and then coincidentally you often dig, always great girls younger than you. Yeah, yeah, definitely. Always and never fixable. Like as hard as I tried. Not that fix of all

Speaker 2:          00:05:12       21 to 25 is, um, it doesn't seem that old, like for a guide. What girl? And again, I don't like to generalize, but I definitely think that girls mature quicker than guys. 100% oh yeah. I think that's common knowledge, right? Well, I've been trying to figure out why. I've been trying to figure out what it is. Parents, man. No, I think it's ego. I think it's ego. I think men have spent so much time coddling the male ego worried about this. Fuck, go fuck kicked. This guy's us. You know? Fuck that guy up. Like posturing and presenting themselves like especially when they're really young as something better than they actually are. It's like a big part of being a young man until you realize somewhere around your thirties I guess that nobody buys that. Like nobody buys that. Like when you're posturing and you're pretending to be someone other than you are, you think you're giving yourself some sort of weird comfort or trying to, but it's like sucking your thumb.

Speaker 2:          00:06:10       It's not really effective. It's not really doing anything. Women don't have that. They don't have the, I'll kick your ass. They don't have the this guy. What does guy think he's going to fuck my wife? It was his gun. I think he's going to take my job was this guy thinks he's going to fucking move in next to me and put up a fucking fence in front of mark. Fuck, that's my fucking, but when men get this weird thing, man, they get this weird male thing and women don't get that thing. They get different. They get pitched things, they get, they get a, they get their own thing. You know they get the bitch at each other but it's not, this is not nearly as like physical for the most part, you know, it's much more likely that two man are going to throw bones.

Speaker 2:          00:06:50       Then two girls like when two girls fight, it's like Holy Shit. They went for it. They like physically trying to claw each other's eyes out and usually at least one of them is out of their fucking minds. If you get two girls, obviously not talking about martial arts competition, but if you get two girls involved in a street fight, at least one of them is out of their fucking mind. He said the best like to sane dudes under the right conditions with alcohol involved could beat the shit out of each other. It's very possible, very possible, especially with alcohol involved, but two girls pulling hair and club, I would venture the vast majority of women out there have never been in a fistfight because vast majority, 80% yeah, I think that's a good number. I think 80% of kid number, it's probably not right. So they, I think they're, they're, you know, they have different, different things going on and I think even if they want to be respected and they want to be appreciated, it's not the same as like the male thing, the male wanting to be respected, especially our young men. It's very difficult to get over just the natural monkey instincts that boys have. Just those natural monkey instincts. There's so God damn distracting. That I think is maybe this is just the theory, not even biologically why women be sure in general faster than men. It might just be this, the lack of the struggle with that male ego.

Speaker 3:          00:08:24       Yeah. Brian and I talked to him about it. Yeah. Is it? Do you ever have male instincts to like buy a girl's neck when you're having sex with her like that, that kind of, that seems like you'd be somebody that would be like a neck bite or you'd be really into it and just go,

Speaker 2:          00:08:39       do you not want you beaten off? Thinking about how I fun so I will stop this conversation right here. It's, you know what, it's, it's different with different girls, right? Isn't it? With different girls you dated. Some girls like to get choked. They just do.

Speaker 3:          00:08:54       I hate all that. When a girl tells me to slap him or choke him, that's the word. I can't do it. I'm not going to beat you up and going to have to get that from somebody else. You're going to have to call her Ari. Do you think the daddy thing, there's something there. When girls are like, fuck me harder daddy, when is the whole daddy thing? Do you think there's something to it? It's a dirty, yeah, it's dirty. They don't mean their dad. They mean you. They want you to be their daddy in that moment. Not even like a father, but like, like the data that's given the Dick, you know, they don't even think it's like a different word. It's a different use of the word Daddy, you know? It doesn't mean the same thing. It's like when you call someone captain, sub captain, you don't really think that guy has a boat.

Speaker 3:          00:09:34       But what if they follow me? Yeah, I told her. But the thing you say, there's one girl says it as a kid though and she doesn't talk like a kid in any other times except when she's having sex and he's like, Hey, she request is into like tolerable. Yeah. Well she dating you. Yeah. Some dark shit happened. Yeah, but see I go deeper in it. I was like, yeah, you're like daddy for school wise while you're fucking her. Yeah. Just to see you leave for school. I mean like I'm going to try to go down that path. If she brings it up, I'll see if she plays along. If she plays along, it's like fun. It's like trying to learn more about this person that I'm fucking, you know what's even more disturbing saying are you leaving for school? Cause that means it's morning sex.

Speaker 3:          00:10:18       Like the dad doesn't even have the excuse of being drunk coffee and fucks his daughter. That is God. Yeah. Just not your homework. Yeah. You need to find better people, but you know, you gotta work on yourself. Right. I know. Get your own shit in order and you'll attract people. I don't make a noise. I just don't breathe. I slobber in their hair and I don't do anything. Do you still take those pills? I, you know, I stopped at when I started sharing playing boner pills, uh, gas station, boner pills, gas station, boner pills specifically. Brian has like some gas stations picked out in the valley that he travels to have Chinese drugs in them that make your dick a totem pole. Yeah, they, they, they're very sketchy. Uh, you can go to fda.gov and see all the ingredients and all the ones that they've tested and, but I stopped doing it when I start tripping.

Speaker 3:          00:11:12       Like I, I actually saw visuals, I think I've talked about it on this, but recently they've had new packaging where they're like, holograms and like they're, they're awesome packaging. Like it's a horse running or, or, uh, like black stallion. A good one. Here's a question. How much do you think it would cost us to randomly test the gas station pills that you take and then read the results on the air? It probably have some right now that you've saved. Just packaging in my car. I say about 30 different ones in my car. But you have the packages. Okay. Set aside one package of each one that you really enjoy blacks down here right now. I want to set these aside and I want to see how much it costs. I'll go through the u s uh, the UFC labs, whatever they use. I think they use their Nevada state athletic commission I think uses quest diagnostics, but they test blood, they test blood and urine.

Speaker 3:          00:12:04       We can't do that, but we'll find out a place where we could send it to a lab to get the contents. Analog Sda has done well on, it's done it. So I'll just use, I'll use whatever guys on it's done. But FDA has done it for these ones that you're taking, do you think they're the consistent, like they're not the same every week. They change. You could tell they change their ingredients sometimes. Like I had one burst open my mouth the other day and it tastes like tea, but I've had it before where I burst open my mouth and it tasted like pills like inside of a pill, like a chemical neurol. Um, they're all powder inside. Some of them are powdered. There's the one that I had the other day was like a t, like almost like weed inside. But are any of them uh, gels, like, uh, they're all seem to be like a powder inside and, but like these new ones, like the latest one black stallion where it has like a Hologram of a horse running, uh, that one legit four days a boner solid.

Speaker 3:          00:12:55       And like, I was like really studying it the other day. Cause it's, it's, it's just like every single pocket of Shit on your Dick. It's just full. It's swollen. Like it's, it's hard though. It feels uncomfortable. Like it doesn't feel like you're normal dick, where it's like, oh this is comfortable. Super high dose of Viagra. I don't think it's my anger anymore. I think it used to be, I don't think this is by, I think this is like some kind of reaction cause it's like my dick is swollen up. Like it's got got bit by a snake. Oh it's powerful though, man. I like girls can tell immediate like, like holy shit, that's that you're killing me here. So, but when you're taking this stuff, does it go down or do you have to like deal with a hard dick for hours? It's just on call but it's ready to rock.

Speaker 3:          00:13:40       But when you wake up cars, but when you wake up in the morning it's like, it's a lot of times it's like p plus that. It's like if you fuck a girl in the morning with a p boner mixed with that at the same time she's dead. Oh poor girl. Yeah. Poor Lady. What am I talking about? This? It's hilarious. It's so weird that I do it though. And it's only like if like if I'm with a new girl, I'd be like, you know what? I'm going to really impress her tonight with this big snake venom. Dick and roses is burnout. Just that you don't want to set too to higher standard. What's embarrassing knows I collect them and, and it's, it looks like a crazy person. If you go in my car right now and if I pulled out all the ones I had in my car, it looks like a crazy, crazy. People will say, if you didn't know me think I'm crazy. Isn't that funny? That's a funny thing people do.

Speaker 3:          00:14:34       You would think I was crazy if you've paid attention to everything I do and everything I said, but if we could test him within a reasonable financial range, we should totally for cost a couple of grand or something. FDA though it really has gone through a lot of it. Most of it though, it's been steroids. Like a lot of them have had small amounts of steroids in it. And I was wondering when you were saying that you hallucinated yeah, it was a bath salts. It dude. I had to do a set, I was in um, in uh, tempe Improv or no standup live in Arizona. I was, I took some before then and I was with Tony Hinchcliffe and I was telling Tony was like, man, I don't know if I can go on stage. Like I am seeing trails right now. I had to go on stage like tripping and I talked about it on stage.

Speaker 3:          00:15:16       Like I'm sorry if I'm crazy right now. Like you guys are all like, like swirls and stuff. Like, but that's how bad it was. Like I can't see shit. So that's when I kind of stopped my fun hobby. Damn Dude, that's so dangerous. He just rolling the dice that these people in this gas station laboratory are not going to kill you. Yeah. And what's crazy, a couple of them are like, I tried to find more information about the companies that make it good luck. They don't access shadow governments in the Philippines. Yeah. Well this is my question. Like they did have an ingredients. Like is it say like you look at the package, it says what's in there? No. Well it does. It does, but you can tell it's not what it is. It's say on the package. Should have rented my car real quick and get it. A couple of kids. I've got to go get one. We're going to talk shit about you while you're gone.

Speaker 3:          00:16:06       He's so ridiculous. Do you know anybody else that takes those things? The only thing I've ever, I've taken something, not I boner pill, but I remember taking a bumblebee or black, something like that, but like I can stick a caffeine pill. Oh, okay. I can go on stage or if me and my friends, we would take him like Jack ourselves up before a concert and feel like we're going to have a heart attack. Yeah. Like, um, it was probably like rip fuel, like that kind of stuff. The Federer or something like that. It was bad for us too. We knew those were horrible for you. But see those things, at least other people were taking them. Who the fuck do you know? Pioneer gas station, boner pills and I'm going to do top, they're like David Crockett. He's setting a standard and he is just such a ridiculous thing to want to put in your body when the alternative exists.

Speaker 3:          00:16:51       Like you could go to an actual doctor and say, I have a hard time getting an erection. He'll prescribe you viagara. We all know that doesn't kill you. Maybe this is the weed of boner pills. It's easy to get. You can get it anywhere. That's true. It definitely is that you don't have to go to a doctor. Yeah, that's what I mean by that. Well, it used to not have to go to doctors for stuff. You used to be able to get things through Canadian pharmacies. Canadian pharmacies would just send new drugs. It was like the big loophole. How do people get, you can get like that nuvigil stuff. You can get free samples online or something I've seen. I don't know how you get up. Yeah. I don't know. New vigils. A little different or maybe one version of it. Provigil or Nuvigil. I know for sure.

Speaker 3:          00:17:28       I've read guys st posting on message boards saying that they bought that stuff somewhere online. I think it was the underground. Yeah, you can buy it from this like weird India set us the new one. Rhino too. This is the one with the Hologram. You're not gonna be able to probably pick that up. It's rhino 11 cause it's supposed to be 11 days at lasts 11 vulner real. Yeah. No it's not. It comes in is we look at this capsule. It comes in. This is just for the pill. It's like this weird matrix capsule. Oh Dude. How bad are these? Meanwhile look at this. It says this is hilarious. It says platinum 6,000 like as if there's some like measuring going on like what's zero platinum? 4,000 yeah. Come on. Why are you pretending you have any idea? Is people making these just thrown some shit in a bowl and mix it up while they're drunk?

Speaker 3:          00:18:18       They're not. They don't know what the fuck's in there. Platinum 6,000 fuck. These are two companies too, but that both use rhinos. Why wouldn't you use Ryan when his doctor Rhino and when is rhino 11? Well, Rhino is what those Asian people, um, believe that rhino horns give you a rank reaction. That's why they've killed so many rhinos. The reason why rhino horns or we're so much, and have you ever seen a Rhino Horn? It doesn't even make any sense. They're just gross. It's like hair. It's a giant hard like piece of fingernail or hair. Whereas like if you look at elephant tusks, you go, well I kind of get it. That's beautiful. Those are, those are amazing. Rhino horns don't look cool. They're gross looking at hill. Yeah, look at that. And so they take those things and then make some Chinese medicine. That doesn't even work.

