Speaker 1:          00:00:00       Yeah.

Speaker 2:          00:00:04       Hey fuckers. Can we go again? This episode of the Joe Rogan experience podcast is brought to you by taking a, if you've never been to tink before and you don't know what Tang is. One of the things that we like about a company and like Tang is that we'd like companies that are trying to be ethical, trying to not fuck people over and like that's like a part of their ethic that's like the what, what they're trying to accomplish in business is not just to make money, but to have a company that is like, it's fair. And one of the cool things that tain does is they have no contracts. I love that they're on the sprints backbone. I love that. So it's like, you know, you get good service, you get a big name company behind it is a giant national company and it's the backbone that you're on and you get to bodies. Awesome. Android phones are like top of the line, android phones and you can cancel anytime you want. You can have you and your wife on an account, although I don't think that's it.

Speaker 3:          00:01:03       That's not going to, yeah, know that's kind of a bitch. Middle.

Speaker 2:          00:01:06       Yeah. You share minutes. I mean, you can, it's, it's a really, uh, it's really cool setup. The way it works. If you don't use a certain amount of minutes, like if you're, you know, you assign yourself off for one program, but it turns out that you actually only use the amount of minutes would be in a lower program. They just send you the money back. They, they, they hook you up on the next bill. It's like the way they do it. It's so cool. That's why we don't have it in England. That's why not in England do you get fucked? We got fucked. Yeah. I don't know. I don't know if it's because we're an island, so we're separated. So your cell phones are more expensive. Does that make sense? Yeah, it does. Yeah. Because someone has to set up the infrastructure, right? Everything's more expensive.

Speaker 3:          00:01:50       Well, that they have here at Tang, they have something called a sprint. Err, err, err, err, rave. And what it is, it's a plugs into your internet at your house and it makes your own cell phone tower in your house because they're usually at your house. And if you don't have good cell phone network around your house and blows. So what this does is it pretty much makes your own cell phone tower out of your house. So you always have good service. That's amazing. So that would have the internet. Yeah. So 10 actually has this right now. Uh, it's four to 54, which is really good. We need cell phone service at your house. That's important. And if you go to Rogan, [inaudible]

Speaker 2:          00:02:23       dot com you'll save 25 bucks off of either service or you know, or the phone. Um, you could, you could use it in, in any way you like. And like I said, we have, they have the top of the line, android mobile phones, like Samsung Galaxy s three, the Samsung Galaxy note to, have you seen that thing? Oh my God, I gotta get one of those. I keep talking about it. I just don't have the time. James Thompson to go out there and get one of them bitches look good with Matt. Yeah, I've met, I would have to have a bum bag. Right. I have mad a screen envy when it comes to those things. Anyway, go to rogan.ting.com and save yourself some money. Yo a little fuckers. Uh, we are also brought to you by audible.com and if you go to audible.com forward slash Joe, you will get one free month of their awesome service and you will also get one free audio book.

