Speaker 1:          00:00:00       Struggle,

Speaker 2:          00:00:07       all right, ladies and gentlemen would live the presidents now blind spend staring at the sun all day trying to see the eclipse. There's photos of it. Mike Baker help us out. What? What are we doing, man? Well, Dahlia, that's probably, again, it's, it's, it's an indication that they don't have a lot of discipline in that Communications Department of the White House. No one got him the message, don't Sir Sir. Don't. Don't look at the sun. Not only that, definitely don't look at the sun while people are looking at you, Jesus Christ, the whole world is going to mock you. Don't you know that everybody knows is since they were a kid, right? Even even if you've never been involved in an eclipse, every kid knows. Don't look at the sun. It's the one thing that every child learned somehow. You know, when I tried to do that, I'm a fucking idiot. I took a two dark sunglasses.

Speaker 2:          00:00:49       I put them on top of each other. That'll where I put one pair and then I put another layer over. It doesn't work folks. It looks good. It does look good, but I only looked for a second and I went, oh, okay, this doesn't work, but you know where I could look at it. I can look at it through my pool, like the reflection. Oh sure. You'll see the eclipse, but it never really got fully dark here. No, we're too low. Yeah, we, I just came down from, from Idaho. I was up there in the mountains over the past few days and it was just, it did just hippies coming in from left and right. Tire state just overrun with the hippies and they're, I mean their parking and people's, you know, ranches, they just driving up on fields that have just been planted there just like they don't even think.

Speaker 2:          00:01:29       And so they. But they kept my. Yeah, you know, hey God bless him. I don't know that I was intellectually curious enough to really worry about the eclipse. There's a balance in. You know what? I think a lot of intellectual curiosity is great and a lot of hippie values are great, but then you go too far into the hippie retard gene pool and you get these dopey hippies that are hippies that know they're the worst kind of hippies, hippies that don't really want to do any work, but they want universal basic income. They want all of these. These one percenters, they have plenty of money so that no one should have to work ever. They just passed it. They passed a tax up in Seattle. It's gonna probably going to get struck down, but it basically, it was up in Seattle, will got blessed them up there.

Speaker 2:          00:02:13       They they've decided that they're going to go against the state charter, which says you can't have a attacks, right? An income tax, and they've gone ahead and done it for the. I think it's for the top two percent. The only tax that tax. The tax people are doing something right because you know, you gotta make this thing more equitable. That's hilarious. That's really funny. Well, what's interesting is that's the whole reason why a lot of companies like Amazon and Microsoft is the reason why they've located to Seattle. You fucking stomachs and they're going to pull out and then you wouldn't have any jobs and then you'll be poor. Somebody is going to pay for that. Yeah. We came from, we moved out from fairfield county, from New Canaan, Connecticut when we moved out to Idaho, which was the world's greatest movie of all. Connecticut. Sucks.

Speaker 3:          00:03:00       I say it over and over again and. But yeah, I mean, but they know it. You better get Noah and then people, but you live in a lucky spot and. And they, they, their plan, the, the, the plan of the governor and the rest of the crew there is when you need more money tax, fairfield county where I, which is home to new Canaan and Greenwich and Darien and Stanford. The people that work in the city or the people that are working in finance and now what they've, what they've had over the past three, four years. Ever since the governor's been running the shop is people moving out. I mean, every GE moved out of General Electric, the entire operation with General Electric said went to the state and said, I know people will think of why are we talking about this? But they went to the State House and they said, you can't keep doing this.

Speaker 3:          00:03:47       You can't keep jacking it up on us to pay for everything. We're happy to pay and we are apparent, our fair share. But so they did that in general. Like you said, we're going to move. The state didn't believe him. They've all relocated to Boston. Um, they've got, uh, who else is moving to Aetna? I think the, uh, the large insurance company, you know, now Connecticut's known as sort of the insurance capital, right? They're leaving hedge funds, private equity groups moving down to Florida. And again, great pay your fair share, but at a certain point everybody's got to contribute something. You can't just say that's what you're gonna do. And I'm not in the one percent. I wish I was. It used to be when you were a kid, you wanted to be rich right now, you know, I don't know what people want. They want to be in the middle. You want to be comfortable. That's where you want to be comfortable. I, I don't know, I always thought it'd be pretty cool to be wealthy and all and, and I think I'd be pretty good at it.

Speaker 4:          00:04:35       My friend Brian Cowen said it best once and it stuck with me forever. He said, you know what you want to be. You want to be to the point where you don't have to worry about your bills and you can go to a restaurant and not worry about what you order. He goes, everything other than that, it's bullshit.

Speaker 3:          00:04:48       Yeah. Because everybody, you know, and that's, that's a good point I guess because that's, you take that stress out of your life and then I get, well I guess you're gonna worry about it.

Speaker 4:          00:04:56       So people find it. Yes. Just stress and stress, right? I mean like look at these assholes that buy these $500,000,000 yachts. It's like they just realized like, oh, enough problems in my life. I need to buy a fucking floating city. And then I got, I got to hire a crew of 100 to hate me, talk shit about me. Every time I turned my back they, I want to fuck my wife, dammit. I'm going to get in line. Bosens made finished. Compost is made. I know what I came up with. Bows. And is that a real thing? I think it is. Yeah. I think there was such thing as a [inaudible] made this always like this ebb and flow, right? I mean the people that have accumulated too much wealth, especially when it comes to like hedge fund people and finance people. It's like, what are you actually doing? Right? And you're using that money to influence policy and that policy allows you to extract more money from the system and it gets real slippery because occasionally you guys fuck up and it crashes the whole economy. Right? Like that kind of money is like really creepy. But when you're talking about someone who's developed a legitimate product, they sell it and they're successful, they work hard. They made something. Some does business. Exactly.

Speaker 2:          00:05:58       Yeah. Yeah. The hiring people there, you know there's a, there's a house for sale up in the Hamptons, now there's a house for $175. Million Dollars. It seems logical. Yeah. One hundred and $75,000,000. But you know what? It's on the beach. So it's, it's got waterfront to it. So I guess that explains the Price Tag. But here's the thing about that water fund. Anybody can walk in front of your house. Yeah, that's true. That's a huge problem in Malibu. There's this, a couple of other I'm friends with and their sons surf and they live in Malibu. They have a house in Malibu and they were surfing in the water in front of this house. This guy comes out and yells and screams at him, you know, get the fuck off the beach because you know, a $10,000,000 house right there on the beach. And they're like, what are you talking about?

Speaker 2:          00:06:37       Like we live right over there. You piece of shit. And like not only that, anybody can be on this beach. This is the ocean. You can't, you don't own the private beach signs up and ate it and for the most part that's true. Up and the Hamilton, I think this actually has some private beach frontage, which again, so $175 million seems somewhat reasonable. Hampton's most expensive home. There it is right there. One hundred and $75. Got a lake, a. he's got a lake and then further past the leg. Wow. They all have lakes. What is that? Is that freshwater or brackish water? That must be brackish water, right? I guess. I guess a pretty bad ass don't have fish in your front yard like that. I wonder if the kitchen appliances convey how big is this house? Is that. Wait a minute. That overhead view was the entire property baller.

Speaker 2:          00:07:24       You know what though? But look at that picture though. Does that look like $175? Million dollars in your mind when you think the whole fucking thing. She'd be plated in gold. Forty two acres. Wow. Okay. There you go. That's what, that's what it is. Oh, the Ford family. Oh Ah. Oh. Well the car company. So hashtag balling on Mustang if you get, I think you're right, if you get to that point where you can entertain the idea of maybe I'll put 10 percent down and then I'll take the rest of the mortgage. Um, then yeah, you've probably got too much money. He reminds me of that scene in the big Lebowski when you meet the big Lebowski and he's in the wheelchair and his wife's off from the suck dude's Dick for a thousand bucks. You know, it's like, that's the kind of shit that happens. You get a trophy wife, you buy yourself a mansion and your days are just filled with stress is such a great movie. It's a great movie. God, I used to use that movie to judge whether or not I enjoyed people's opinions. Really. Tell me anything about the big Lebowski.

Speaker 2:          00:08:20       Okay. I talked to a lot of people. They said I couldn't make it through the first hour and I'm thinking, how do you not? How do you not find this funny? Gees, I let my kids watch it. The admittedly the two youngest walked away, but the older one, he, you know. So anyway, uh, yeah, I've taken him fishing tomorrow morning off to Alaska in the morning. Oh, salmon or halibut? Salmon. The Salmon. I aren't uh, you know, interested in us. We'll go after some. Halibut is a silver salmon season right now. Right. Okay. So you're on the open water. So when you guys go, well, we'll go. Yeah, we'll go up to catch can a, which is really interesting place by itself. And then we've got to take a plane out of there about, uh, about 45 minutes outside of that to a little place called [inaudible] Bay and they have a really good operation up there and he spent a lot of time and to be honest with you, if the, if the fish aren't biting, then we just go hiking.

Speaker 2:          00:09:12       I'm going to take my boy will be a first time for him to go up there and it's going to be great. It's got. But I've just now emptied the freezer of a salmon and halibut and rock fish from the last trip. So it's time to stock up again, but it's just a great time of year. Isn't that a great thing? To have fish that you caught in your freezer, they can go back to the, you know, it was only like an hour old by the time you threw it on the ice. It's, it's fantastic. And so if and, and just also just getting up there, if people have been up to Alaska to get up there and see it before it melts. I said that I think it's good. It'll be fine. Are you worried about it? Um, you know what? Not in the sense that Oh my God, if I, if I don't quit driving my wagon here, the glaciers are going to all melt away.

Speaker 2:          00:09:54       I, I, you know, I'm sure we have some impact and it's like everything else, right? The truth is in the middle somewhere, right? So I'm sure we should all do our part, but do I think we're all gonna you know, the polar bears are dying off tomorrow. I know, but well there's definitely somebody with their ideas. Yeah. There's definitely some issues with polar bears in areas that have less ice, but apparently the polar bear population. This is something that I've read about Canada, at least in Canada, the polar bear population is higher than it's been in years. Now there's a, there's not a shortage of polar bears, but if you go over there to like they have hunts for polar bears, like they pay people to take them on polar bear hunts, but then you can't bring the polar bear back to the United States so you can keep it in Canada.

Speaker 2:          00:10:39       You can like if you come from Europe and you want to hunt a polar bear, you can. It's all very. Well. You mentioned trying to pack a polar bear back into the states to know. I just shot that. You can see what the reaction would be a. I think it's yeah, everybody should do their part, right? There's no doubt about that. You know, don't be a Douche and. But the problem is in part it's like both sides, they latch onto one piece of information. Right? So like what you just said, you know, the polar bear population to grow so that once I will latch onto and say, see, there's no such thing as climate change and the other side we'll find one piece of it and they'll latch onto that and then, okay. And like I said, I, I'm a big believer that somewhere in the middle is where most of the truth sets, but I'm sure there's definitely polar bear problems higher north, right in the ice caps.

Speaker 2:          00:11:24       And I mean I've seen some, some issues where they're talking about polar bear starving up there and the lack of ice contributing to starvation deaths. And yeah, so I, but it's, it's, uh, regardless, I'm looking forward to the last guy. I think regardless of what the hell happened to the polar bears, I'm going to have a good trip. Um, but I think it's, it's a beautiful state. People should get up there if they haven't been up there. It's amazing. Yeah. It's one of the rare places that you could go to in America that is like real wilderness and that is a really wild place. And, and you can get. Yeah, exactly. And it doesn't take, it doesn't take much to get up there and money I just made, it doesn't, it's not the effort that people, I think sometimes imagine it to be right. And uh, yeah, so it's, it's a, it's a great trip.

Speaker 2:          00:12:07       Kids really looking forward to it and it's weird that it's the United States, isn't it? When you look at the map. Yeah. You think about how it was put together. That's a fascinating story. I, for what? That's worth people. That's another good interesting read is how we cobbled this country together and sort of some of it was just incredible genius on the part of some folks. Some of it was serendipity, some of it was, you know, short sighted vision on the part of the Russians or the French or oh they fucked up. But with Alaska the Russians fucked up. Yeah. What did they give that to us for like 50 bucks? It wasn't much money. It wasn't much. No, I guess we got our money's worth out of that by now. But uh, anyway, so yeah, we'll do that. And, and, uh, and, and I planned this trip.

Speaker 2:          00:12:49       Of course their school starts tomorrow. They're there, all three of them are in elementary school, so their school starts tomorrow and uh, and I gave my kid that option. I said, do you want to, you know, he starts in fifth grade. I said, do you, do you want to stay here so you don't miss the first few days at school? And he looked at me like, what are you crazy exactly an idiot. I mean, that's how. But it's what his eyes said. He didn't say that. How old is he? He's just turned 10. He's got to learn more in the woods. Absolutely. Absolutely. For a couple of days. Yeah. Have a good time. Have a wonderful experience. Because of course the grizzlies are out looking for the salmon. I mean, and it's a, it's just fantastic. That's the safest time to be around them. So when their salmon out, yeah, they're just fat and happy there and they don't bother you.

Speaker 2:          00:13:31       And so, uh, you know, if something happens to my 10 year old and my wife said it's going to be my fault, that's on my head and I can't blame her. That would, that would be true. But do you pack when you're out there, you packing the side arm? Um, no, no we don't because we're, when we go up there and we're going up with uh, what, uh, uh, about a dozen other guys and they pan, they deal with the lodge does stay in the small little sort of. It's not, I, you know, I say launch. It's a wonderful place. Family owned. It's not a fancy place at all, but it's a great little spot and they do a great job. The guides are fantastic. So, um, we'll have a good time. But yeah, we don't, we don't take anything with us. I mean it's just. Yeah, no, that makes sense.

Speaker 2:          00:14:12       As long as the people up there, I mean, you probably won't need anything as long as the bears have fish. They really have. No. There's an area that we've shown this video before of this enormous grizzly that gets right next to this guy who's sitting there photographing these bears, eating a fish out of the river, and the bear literally couldn't give a fuck. He just looks at him and just sort of wanders off and there's actually a statistic that no one has ever died in this area. No, no person has ever been attacked or killed in this one area just because it's just overrun with.so preoccupied this time of year. But it's also, you know, you talk about how things change around the planet and the salmon runs are

Speaker 4:          00:14:52       really being impacted right now by a variety of reasons. You know, it's not just one thing, but. So anyway. Uh, but that'll be, that'll be good. And I know that everybody was really keen to hear about my upcoming trip. So, you know, I mean, it is interesting to hear people's take on the climate issue because there's hard left and hard, right? Hard, right is a, it's a cycle. It's always happened this way and you're, you're impeding business. Hard left is we're all going to die and then Miami's going to drown. I mean, uh, an Al Gore had dirty predicted in that movie an inconvenient truth that we were going to be covered in water in 2014, 2014. They were predicting that the ocean levels are going to rise the point where we're going to have to start evacuating some of the coastal cities. And he missed that one just by a little bit, but yeah.

Speaker 4:          00:15:35       Yeah. But baby came out with another movie. 12 people saw an inconvenient truth and um, nobody, nobody. I just watched it, I don't think. But it's, you see bill Nye when he was on Tucker Carlson's show. No, it was very interesting. It was very interesting. Cause I'm bill Nye who is not really a scientist. What is he? Is He, uh, he's just an engineer's near the base to have to be smart, but you know, he calls himself Bill Nye the science guy. He's bothered by the way, as an undergraduate degree, sunny even a phd I want to be. And they were uh, they were talking about climate change. And Tucker Carlson said, I'm willing to absolutely believe that people have an impact on climate change. He goes, but can you tell me how much? And then Bill Nye kind of got flustered and you know, he, he got like little confrontational defensive.

