Speaker 1:          00:00:02       Five, four, three, two, one for sure. Live.

Speaker 2:          00:00:09       No magical. How are you? You're a fucking responsible guest. I just want to give you props for that. You took your phone, you shut that bitch off and you put it aside. That was a big thing for me also, just as a comedian and comedy clubs. You started seeing the comedy store become popular and I started noticing a bunch of chicks in there just looking at their phones nonstop. I even put this thing on my phone. It's an app called moment that tracks how long I'm using it and what I'm using, so if I get over a certain amount, I'm like, I get fucking put this thing down. Does very smart. We're all monkeys can look down at this thing. It's fascinating. The dope of means of. Yeah. I have a 15 year old son and nonstop. Yeah. Whitney. Cummings was explaining all the, like the actual chemical responses that go on.

Speaker 2:          00:00:54       Like you literally do become addicted to that for sure. And there's a lot of good shit on their problem, but I mean, how many times do you find yourself like about to go to bed and just like hitting refresh, checking twitter feeds. Maybe some interesting news stories coming up. Maybe there's something I missed. Let me check instagram. It was a crazy picture that I didn't say. It's okay to miss it. It is okay. It's totally okay to miss it. I go, I admire what he did. He stepped away from the whole fucking smartphone. Completely. Just had a full conversation with him about it yesterday because I said you had three things happened that allowed you to completely check out and go on this trip years ago. You have no kids, you know kids. You have no wife, no family. Which dog? Dog planathon. You wouldn't. He moved to New York.

Speaker 2:          00:01:39       I sold him a soda. Trey gave him all of my furniture because he was moving to New York when I was leaving New York. So I'm like, dude, have all this shit. Oh that's right. You were there for the daily show, for the daily show. And then I took off. I was commuting back and forth because I left my family in La and I took the Gig, so on Monday, Tuesday, Wednesday, Thursday, I'd work in New York and then I'd fucking fly back to Jesus' horrible mistake. Trust me. We talked about that before you did it and I was like, man, I don't believe you're doing this. I was killed myself. My back is all fucked up. I was telling a calendar, like I said, like I was a cashew shaped and jumping forward. Oh my God. It's horrible. Like if I cracked my, my whole back when you were in an airline seat constantly and you're just constantly all stressed out and your sleep is all fucked up.

Speaker 2:          00:02:26       It's not good. So I got cast in another show. I got the fuck out of there and I gave already all my things. So. But already has, like you said, no fish, nothing. And then he is financial freedom because he's got a, you know, the show on comedy central, he's got a great podcast, he's got all kinds of shit going on. And then he also has this attitude that allows him to do something like that because I don't have those three things I needed to. Financial Freedom. I got. But I have these three dependents. I have two dogs and have, I don't have the attitude, like if I'm not working nonstop, I feel crazy. You should tell people what you're talking about because a lot of people that are tuning into this podcast probably don't realize that our Ari, our good friend, checked out of civilization for three solid months at least.

Speaker 2:          00:03:15       Right? I think maybe more. First of all, he's rocking a flip phone. He won't, he doesn't have any APPS, so he doesn't. Um, he, he has no smartphone, but then he just decides to go away and check out. He'd no one's communicated with them. You know, we're sort of in business together on is all things comedy thing. And he's on our board of directors and I need to tell him about shit. And didn't even bother, like he, we did a skype and he's like, I'm gone. And then people on his show, the comedy central show, um, they're trying to get ahold of them. Nobody can get fucking ahold of art and he loves it. And me, if I seriously, I had to buy books. Like, you know, I read a lot of Jack reacher. Yeah. Do you know that the best character of all time?

Speaker 2:          00:04:04       Yeah. Six foot four, 240 pounds. I know Tom people associated with the Tom Cruise movie, but like this guy is the most bad ass. He's a military cop. Yeah. How is the Tom Cruise? A little tiny dude. He just option the movies. That's what happened. My uncle skip Tarantino came over to me. I didn't even know anything about Jack reacher and my brother's wedding. And he walks up and he goes, can you believe they made Tom Cruise? Jack reacher and I go, what are you talking about? There's a problem. And he broke the whole thing down. He goes, let me tell you something about Jack reacher Jack, which is six foot four. Jack reacher total bad ass. He's he, he's an expert marksman. He's a 10 steps ahead. He's a big numbers guy. This guy, Lee child created the perfect character, but. So I read all those books, but I have to force myself to read those books so I can chill the fuck out because again, and this is something that I'm a people of other comics who pointed out I can't be alone with my own thoughts.

