Speaker 1:          00:00:17       Jamie too hot in here. Turn the AC up. That bitch get it down to zero.

Speaker 2:          00:00:26       My man. What's happening baby? Welcome back. Brought notes. Yeah. Just a couple of notes. I don't want to repeat myself since the last time because you're the only guest ever in the history of this podcast that is brought notes to make sure they don't repeat themselves. Yes. They say it's the first time I do a podcast. This like or any other interview I never go programmed or premeditated or prepared whatsoever. Just jump in, but I think this is much more important. It's Joe Rogan man and the ice man man. And you are a big window and I'm still on the mission trying to get it out to everybody that we are able to do so much more and uh, you know, it's all natural what we do. So there is no money attached to it and uh, it's a, it's a struggle to get it out there, but we get more and more scientific evidence a piling up.

Speaker 2:          00:01:26       And I'm here to present new insight. Well, I think you're winning a struggle for sure because I hear about you all the time. I hear about you all the time for people that have heard about you from my podcast, when people that say, do you know this guy? And I say, yeah, he's been on my podcast. I know. So the message is getting out 100 percent. Wow. That's a bio parameter for me. Thanks for sharing that. I will take it though, don't you? Oh yeah. At this morning I was talking to Tony Robins. Oh Shit. And he wants to cooperate on that shit. Yeah. And uh, and now I'm Joe with Joe again. I mean those are big names and uh, I to listen to Tony Robbins tapes when I was 20, 20 or 21 when I was a struggling standup comedian. He used to listen to is what was it called?

Speaker 2:          00:02:15       Unlimited power. Is that what it was? Was an audio cassette and I listened to it. One was old school walkman thing. Big chunky things. Yeah, yeah, yeah, yeah, yeah. And uh, yeah, he's got to his goal charity to get 100 million meals together this year and I'm going to help them. That's great. What is he doing to that? Just raising money and awareness, raising money and to buy, give a billionaire some very powerful people who are very good insights in their own stressful lives. And uh, I'm in there to teach them how to handle stress hormone at the deepest in the brain as in the, in the body. Beautiful.

Speaker 3:          00:03:00       You know, I had a friend of mine who was trying to do a parody on Tony Robbins, so he went and researched him and he was going to listen to some of his recordings and listen to some of his speeches. And his goal was to find what's stupid about it. And then he started going like, God damn, this guy is honest. And that was it. Calvin, do you remember who it was? They were talking about it in here. I believe it was calvin. I think he was researching him for something that he was doing. And then along the way started realizing like, this guy's fucking legit, but he's one of the rare ones, like almost everyone. That's like a professional motivator. Then you go behind and go, okay, well what do you do? You know, like what do you do? You just motivate people. Have you had done anything?

Speaker 3:          00:03:41       Like you're telling people they can go do things, but what the fuck have you done? What have you done sir? And most of them, they don't do shit. They just get together with big seminars. They tell people they can do it, you can do it. Like fuck, I can do it now. But you never go, hey man, what have you done? You on the other hand, yeah, you've done a lot of shit. So it's one thing when people say, well that, that ice man Hoff Guy, is he legit? I'm like, bitch, do you have wikipedia? Do you google?

Speaker 4:          00:04:12       Well we have the live and uh, coming, uh, January, we're going to do Kilimanjaro. Yeah, man, you already offered that optimum shoot. You shoot going to Kilimanjaro. Hey man, kill a man. Know

Speaker 3:          00:04:28       anyone from afar, from Los Angeles while watching television, I'll be live tweeting it

Speaker 4:          00:04:34       right on. Right now we're doing a scientific research and show that the rat cell generation can be accelerated if it is so in those circumstances than signs has to update the circumstances where their cells can be regenerated is like in 24 hours, the body is not able to adapt to the circumstances where there is a lack of oxygen is half the oxygen nonetheless. And we go into the altitude on Kilimanjaro is a six, like 20,000 feet at the top, so to say 15,000 feet. The acclimatization, the adaptation is not as fast in human bodies. Now we found his breathing techniques and using the mind and that enabled us to accelerate that, what they thought, what signs is thinking that, uh, that it is arranged. I'll autonomously so outside of our will and we cannot interfere. We cannot intervene now. So we will show that with like 30 people by the way, past January I did it with a person 76 years old without a prior mountaineering experience. And he did it in 44 hours. Don't 76, uh, I mean a, that's a robust 76

Speaker 2:          00:05:58       year old, but he was a good guy that will burn brightly for the last couple of days. His old life is dead, really transferred. So, um, let me ask you this. So the standard model of what someone can do as far as how much red so red blood cells they can generate is observed and they thought that it was at 15,000 feet it became too difficult. But you've shown that with your exercises and when your deep breathing techniques that you can actually accelerate red blood cell count on consciously or at least not consciously with your, your through conscious action, conscious action using the breath, but what techniques are you using the same what we did last time, but then adapt it to while you are walking and when a first sign of ams, lack of oxygen into hat means headache, a Mss, acute mountain sickness and the first sinus headache and that means a lack of oxygen inside the brain.

