Speaker 1:          00:00:00       Yeah,

Speaker 2:          00:00:03       three, two, one.

Speaker 2:          00:00:10       Is that a, is that a gun? That was a weird point. That was not. It wasn't sure if that was the gun. Chris Ryan. Hey, I'm good dude. The Van van anthropology out there, man. What do you do to events and I call her. You just traveling in that thing. I just got back from a month on the road. Yeah. Wow. To New Orleans and back. I was just New Orleans too, but it only took three hours. Yeah, I took the scenic route. How many days did it take to drive New Orleans? Uh, you know, we stopped a lot along the way, but uh, it's, I dunno, 10, 12 days or something like that. You want to stop? We actually, we went down along the border. We, we were in Bisbee a standard now. He was in Asia. He was um, you know, Southeast Asia. It, like when you think of [inaudible], you think of Stan up in extra ball at this point.

Speaker 2:          00:00:59       It's not much of a reason to go to. You say you didn't visit standard. Like if she went to Phoenix and didn't visit a guy that you knew there, it's like, I'm sorry man, I got really busy. Yes, that's normal. But if you went to Brisbane, didn't visit Stan Hope. Yeah. How many people are in Brisbane? I don't know, but there are low. It's a strange little place if you've been there. No scared. It's like this giant open pit mine and like the hills are all kind of purple and weird colors because it's all slag from the mine. Really? Yeah. It's. It's a toxic looking place. I got to say. I don't know why anyone would choose to live their real estate crashes. Dr Chris Ryan Trash has been going down. I'm not saying anything that isn't pretty obvious. If you drive through town, I'm sure they're a nice parts of town.

Speaker 2:          00:01:48       I don't know. We just drove through. I was. The coolest thing about this van is I've combined it with the podcast and so I'm traveling and I'm also meeting people along the way. Some of which are planned, like if Stan hope had been around and was willing to hang, definitely would've hung with them, but others just come up like, uh, right near Bisbee. See people follow me on social media and they're like, oh, I see you're in Texas. You should visit my buddy in Terlingua. And I did. And I'll tell you that starting a minute, but near, um, bisbee this woman, Dorothy, I think her name was, wrote to me and she's like, dude, you're in southern Arizona. You gotta drop in on my buddy, the rattle snake guy who's been studying rattle snakes for 50 years by himself. He's not looking for fame or anything, but I'll talk to him. I think he'd, he'd like you and you guys would enjoy each other's company. And so I'm like, sure, I'll talk to the rattle snake guy. Perfect. So he came out to this camp site and we hung out for the morning. The Sky is amazing. Uh, John Porter is his name. He's been studying snakes for 50 years. He's just totally interested in them, lives on next to nothing in a trailer in the desert.

Speaker 3:          00:03:00       That's his focus has been bit 15 times. Jesus. What keeps you fucking with snakes after byte number 11? Yeah, I know. Full Bite me 10 times. Shame on me. This is bullshit. This job sucks. Like how many years has he been doing it? Fifty years. 50. He's almost 70. That's incredible. And he's in really good shape. He scrambles around in the hills and and pull snakes out of holes and. Wow. Yeah, he's a. he's a really interesting cat and he's just like, that's his passion. That's what he does. Now, did he do the slow amount of venom in his system to try to make himself immune? You can't be immune to it because what I learned from him, one of the many things I learned from him is that rattle snake venom is essentially digestive enzymes. And what what happens is they bite an animal. The animal runs off 20 feet or something before it collapses.

Speaker 3:          00:03:57       The enzymes are digesting the animal from within because they don't have enough enzymes within their own digestive tract to digest the whole thing from outside. Right? So when they get the animal inside them, they're digesting it simultaneously from outside in and then from inside out cheap. So that's why. What a monster these are, um, the snakes that, that strike a warm blooded animals. And then the ones that eat cold blooded animals, they have the neurotoxins. That's a different type of. Here's a terrifying video that I put on my instagram a couple of years ago. I think you said rattlesnake one, you'll never find it. It's like way back there. Jamie smiled. It's a call. It's a challenge. Uh, I retweet it or repost it. Somebody else's. Some guys were hunting and a rattle snake was pulling a rabbit. And just the way this demon thing just pulled this poor little fuzzy rabbit.

Speaker 3:          00:04:56       But I instantly made the differentiation. I instantly differentiated which one I was on team whose team I'm on. I'm on team, fluffy, fluffy, and furry roadways. Anything that's very well, unless, unless you've got a gun or a bow in your hands, well to eat it. I think the most delicious. Oh No, no. I'm not judging it at all, but what I'm saying is it's. But if something else was going after that snake, if somebody had killed, it's like a coyote had killed a snake. I really wouldn't be bothered by it or something that bothers me for whatever weird reason. I think of a rabbit as being not just a rodent enlightened form there. I mean, I think of it being like fucking Peter cottontail or something stupid like that stuff's in your head. Herbivores. They're innocent, right? They're not out there fucking with other animals.

Speaker 3:          00:05:41       So it's kind of like very few herbivores. Sometimes they eat the birds, the birds when they can, but they're more just opportunistic. If a bird can't move, they'll eat a baby bird. Right? Yeah. What is this steak? First Rabbit? No, it's actually dragging a rabbit in the desert. It looks like we're in the mountain. This is the one where the moms saves the babies. Oh, is that what it was? That happened to me once. I'll give this to mom. Rabbit comes over. Oh, she sees what's going on. Wow. That is crazy. That is fucking crazy. No, that's not the one. This one was a rattlesnake. A big ass rattle snake. And it was dry, it was just the way it was dragging this rabbet around was so intense when I was a kid, I,

Speaker 4:          00:06:28       I used to think I was an Indian, you know, and I'd wander around the neighborhood than a loin cloth.

