Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:05       we get a bunch of gigs in my house, ladies. Gentlemen. Legion of skanks. Yeah, very excited. All you guys together. This was a good move. Good idea. What's all credit to praise? Praise to big J. fucked it up. You do. But I'm, I'm glad this is a. This is fun. Longtime coming. Fuck yeah. Thanks for having us. My pleasure. My pleasure. I'm very excited to be here. Mr. Rogen Legion to Sancton the house. I'm going to tell you right now what we really mean. This, this has been a very, very long time comment. All of the fans have been, uh, have been kind of looking for this moment. So this is a very, very big deal for me personally. So I want to say thanks for having a song, a sentence away from crying. We're all so big. We probably shouldn't be talking in public. Cheers. Cheers.

Speaker 2:          00:00:53       Gentleman. You wrote that last night. Little Mr. Rogen, how I spent my summer was good and we went to the park and we got to ride all the rides. It's true. What do you want me to say here these days? Yeah. Pretend that it's not a big deal. It's a huge deal. Lewis. Rarely impressed. Very unimpressed guy and he's really impressed today. Yeah. This is a fucking Disneyland for dudes that we're in right now. It we're in an airport hangar and there's just bow and arrows and dead animals and pool tables and a job battlebots the. I feel most men live lives that are very, very suppressed. Sure. Most men, if they were left to their own devices and someone said, yeah, you do whatever you want in the building. Wait a minute. I can just decide what to put in the building, whatever to pull whatever in the building.

Speaker 2:          00:01:41       You do the exact same shit for archery. Set up things that I wanted. I wanted to make sure there was room for an indoor range. That was when you went into buying a place. Interesting conversation with a real estate agent. What I need at least 40 yards insurance for that. I said, can I virtual Hunt Dana? Is it requests that virtual hunt game is a very popular game, that techno hunt thing. That thing is. It's so cool. Addictive. Addictive though he can give you bad habits to get a little punchy with your trigger. I do like that they have some of the, uh, animations, not the where the real life things or the deer or the elk. They're looking at you. They really do give you a sad face. Now you do it. Can you do it? Yeah, you can probably get it with other things too, right?

Speaker 2:          00:02:40       Like, couldn't you get it with superheroes? Couldn't you get it like you were that archer dude from the avengers and fucking those monsters are coming after your children because I don't want to do it for me. Can we upload everyone who bullied Lewis in the third grade? Kids. That's the, uh, that's the same kids. That's like when they give the uh, pedophiles like little, like underage fuck dollars to try to keep him from doing it. For Real. She murdered kids with a bow and arrow. She'd never do that. Give it to them. Now they're available in Asia. Some control box. I've heard you can match up up robots and not in this country. I found out. It's a weird moral thing though, right? Like would you or would you rather have them fuck a little robot in their closet somewhere because your first instinct is always like, oh, that's horrible, but then you're like, it's Kinda like giving someone with anger issues a punching bag. Maybe. It's not the worst thing. It's like they've got that thing, whatever it is. Like how do you get it out on that little sweet, sweet, beautiful punching bags.

Speaker 2:          00:03:46       So fucked up feature lists. Robots don't punch back. Do you want to like meet in the middle and you're like, okay, it's legal, but you can't name it. Well, do you think that you could fuck a real doll? I mean you definitely could if you had to, but would that be something you'd be interested in? I think I couldn't stop laughing at how ridiculous this situation rather just jerk off and think about things. I fucked a. We had as a sponsor, a flush left. I've had a flashlight forever. It's very utilitarian. You're not confusing yourself. Nobody's ever said that word before describing she's the girl of my dreams. I've never even used it. I've had it forever. I've never even thought about it. I couldn't guess why I would want to use it. Seems Weird. It's weird. It feels good though. Does it way better than jerking off sculpture whole Dick.

Speaker 2:          00:04:33       Yeah, and you put it in warm water and you get it like to attempt to a body and your life somehow or another. There's like a portal, like this tube is a portal to another woman or another dementia, but all you can get at is her vagina. Just hold it. That's it. Feels real. The name of this dimension is called awesome. Do you jerk off with a fleshlight or do you hold it and fuck it now? He jerked off. Jerked me off with the flashlight. Yeah, but that was for show. That was on camera behind the curt green. This interview. We did this on the podcast. I swear to God. He jerked me off for the producer now. I couldn't get hard. There was a female comic. Whoa. What's that about? Is that a real. That's a real real though. They get pretty good man.

Speaker 2:          00:05:23       They were red head though. It was a documentary on Netflix. About sex robots really have come far because there are people who fall in love with these sex robots and it looks like the fucking taxi driver, Johnny on the spot from total recall. It's like, it's crazy like animatronic chucky cheese, bass player was kind of get to a point where it can totally mimic you and he's going to get to a point where it really is like blade runner, is that what they are now? That's the one I thought about buying a dude one to do Jujitsu with. I was going to order clearly. No. Jake and butthole

Speaker 3:          00:05:59       proportions are perfect because I have a doll. It's Bubba dummy the practice submissions on, but it's super stiff. It's like this, but he beat you. You basically can drill the moves, but it's not the same as drilling and on an anatomically correct body. If you had an AMA anatomically correct body to practice Jujitsu on, you can get some fucking tight moves. Can't wait, can't wait til the day. When you're announcing for robot fights, no, the zero interest. There's nothing at stake. If they live or die, it doesn't matter. The whole thing about fighting is that there's some horrible, gigantic thing at stake. You can fuck one though. Yeah, you can fuck with him. Fight. Would you watch two robots? Fuck. I would. I would if there was like some sort of a program that they were running, I'd want to see like what the program was, how they could do it.

Speaker 3:          00:06:46       Yeah. It wouldn't be a jack material. We completely be fascinated. They would probably talk to each other and numbers and they would both be dudes that would both be. There was one that they just made a fuck dollar. Right. And this, this just happened that there's videos of it. The robot sort of speaking like a weird code to each other. These were like fucking like straight up fuck dolls. Skynet, dude. And they would turn them on and then they sort of speaking and would seem like a code and people were like freaking out about this. Oh I know what you're talking about. Yeah. They had these computers, computer. There were there were linked together and they started communicating to each other in a language that the coders didn't understand and they shut it off. They're like, what? Just simply tell them plugged in, but I heard that my version of it that I just said might be the most spectacular version sounding but might not be accurate and that what do they might've gotten is like they might have got stuck in like a feedback loop and just been making jibberish.

