Speaker 1:          00:00:03       We're good.

Speaker 2:          00:00:05       Roy Wood jr. how are you sir? Man, pleasure. Pleasure to have you on here man. And when you shake fun of these guys alive. I don't solutely you are just trying to pay bills. Probably one of the funniest guys out there, man. I'm very excited to have you in here. Foxconn. And we were talking shit about Apple and electronics. Apples fucking you out here. So

Speaker 3:          00:00:25       got the new back book right and the new Mac book with the new OLS or whatever it is. It doesn't fuck with the old versions or final cut. The old video editing software. I used to use new Matt but goes you got buy that shit again. I'm like my n***a, I just paid for that shit a hundreds of dollars with my last computer and now I got to give you, you telling me my old software, no good. But the, and you could make the software work with the new O S if you want it to, but they don't want to get you to mind again and all that shit so dirty. So now I'm having to learn Adobe premiere. I was pretty good. But final cut but I'm having to swap out and yeah, I've got to relearn a whole new thing and if I'm going to do that then I may as well relearn a whole new piece of electronics. But to do that means I have to gut everything. That means you have to gut the Apple TV, you have to let go of the iPhone, you have to let go of the iPad. My girlfriend had the whole house. The companies get you. So everybody in the house, even my son, he had a Samsung, he had a Samsung tablet and I was like get that shit outta here. You had to get you a iPad. So we re gifted that and then got in my eyes. So it's like nah man.

Speaker 2:          00:01:33       Fierce about that Mac versus Android shit as much as they do about like Republicans versus demo [inaudible]

Speaker 3:          00:01:38       I want something where I don't have to keep paying for the same shit over and over again every three, four years.

Speaker 2:          00:01:42       Apple makes great shit, but they fucked,

Speaker 3:          00:01:46       the interface is so smooth. It's so convenient. I can check text messages, I can do whatever I want on my Mac book. Yes, I can talk to my television, I can one click and all the app pay and all of that stuff. It's beautiful, but in three years it's time to pay up again.

Speaker 2:          00:02:02       I almost switched over a couple years back. I bought a pixel and the pixel two came out but then when it came out I couldn't get text messages and I had a, I got an email Apple and ask them to take my email address off of the I message database in order for you. I'm like take that email off so that I can't get I messages anymore and it still didn't work. I went online to try to figure out what is a way, how do you get out of this? How does this work? You can't, no. And if you, unless you switch over to text message for a long period of time beforehand, like switch your iMessages to text messages on your Apple, on your phone or unless you buy a new number, you got to kind of buy it is if you're going to get an an a Samsung phone or something, you gotta get a new number. What

Speaker 3:          00:02:47       got you, what, when did you make the switch to Apple in the first one second. What was the thing forever? But what was the Genesis? At some point you had to have had like a Sangio 59 that was my old flip phone. Shout out to CGU. Um, I remember when I was in radio, uh, back home in Birmingham, I was gifted an iPod touch. Oh yeah. And I was all Android phones, Android, everything. And I had an iPod touch and at the time all I had to play music was the mini disc player. So I could only hold like five hours. I mean, this is like, Oh one Oh two and I had a five hour minutes and I go, fuck it. I'll carry around the iPod touch and then it made more sense. Why am I carrying an iPod touch and an Android phone when I could just have an iPhone that does both. And that started the journey.

Speaker 2:          00:03:32       I started with iPhone one but before that I was using Mac books. I was using Mac forever. But even before they had an iPhone, I used to make my own PCs or used to go to the store, like go to Fry's, buy a motherboard, buy hard drives all time for that. That's a it you gotta you gotta want to do that? Like it was for me. I was, I wanted to find out how to do it and it was, it was cool to play games on a computer that I put together myself.

Speaker 3:          00:03:58       But then you knew how to like, so you're building the games as well. Are you going out and buying the floppy disc and all that?

Speaker 2:          00:04:02       Um, I'm not definitely not building any games. I would just, you know, like I'd buy video games, just play them on this, but even format in it and doing everything, I would have to call friends that really knew what the fuck was up and they'd have to talk me through shit. There's some things you'd have to do in the bios and you know,

Speaker 3:          00:04:18       the irony of all of this is that I still have an AOL email address as much as I bitch about it. Really? Yeah, I know. And you know what? I don't understand email slander. It's like my fucker. It's, I'm sending you words electronically. Does it matter what company? What does it need? Is my email more ghetto? Does it come with chicken grease stains when you open it in your lap? No, it's the same words that if I send it from Gmail now I have a Gmail account so that people will take me seriously when I emailed them about business ideas. But I still have an old school AOL email that I've had since college and I'm like, it's fine.

Speaker 2:          00:04:59       It's a one. It's one of those things though when you just don't let it go. And just think about you've got mail. You remember when you first heard that you've got [inaudible].

Speaker 3:          00:05:08       They were happy. [inaudible] someone want to talk to me. It was very exciting to talk to me and then you get older and you realize what, please leave me alone. Who the fuck is this? No, God. Male. Yeah. It was exciting. It was like a new thing. That was 96 that's when I got to five. Yeah. Yeah. 95 96 we had an old CompuServe account at the house and that was how we got online and then we started getting the AOL disc and all of that shit. We had a Compaq Presario too.

Speaker 2:          00:05:41       Oh, I had one of those. I had one of those. I started out with one of those old Macs that was like a beige box member with [inaudible]. Yeah. I don't remember what number it was, but it was 95 94 somewhere around there.

Speaker 3:          00:05:54       I don't know. That might be like the O G Mac book where the keyboard in the CPU was its own little, like heavy.

Speaker 4:          00:06:01       No. You had a keyboard that had plug in a monitor that you had to plug in and it was like a tower. I was like a beige funky looking tower. It was slow as shit. It was 14 four modem. Come on. Yeah, 14 four I remember when you got 56 cat. I couldn't believe it. Look at the speed a, wasn't that Jamie? It was a a monitor. Didn't have the floppy disc built into it. I don't think it's hard to remember. I remember it being, there was a, an actual tower and it wasn't a joint

Speaker 3:          00:06:31       where the whole computer was like the monitor itself or the computer on CPU all together.

Speaker 4:          00:06:36       No, but man, I thought I was living in the future. I couldn't believe something like that. Jamie bro, my older brother had. Yeah, that one on the far right. That was it. Moda.

Speaker 3:          00:06:45       I had a Mac book, man. It had an old school Macintosh and in 90s and he had Microsoft flight simulator and you couldn't tell me shit. I go to his house for five hours, would just fly assessments in real time like I get it. I get why people will sit down with the flight simulator and fly in real time from LA to San Francisco, seen the new ones they have. Oh, it's unreal, but pretty neat. I would need to buy a PC and then I knew I wouldn't get shit done.

Speaker 4:          00:07:11       Have you ever used the HTC Vive? No. Oh, what's the one? What is it? Virtual reality. We have one here. Oh, the whole helmet. Sit down joint dude. My kids come here and they battle to the death to see who gets the VR. They fight each other. Punching, kicking shit. It's amazing, man. You put this thing on and like you're in another world. You're, you're fighting zombies. You're in the ocean with, with, with whales.

Speaker 3:          00:07:34       I went to a Samsung event and they had some AR type experience where you put the phone on and it's fun. But then I just, I don't know. In the back of my head, I can't get, I can't get out of my head how goofy I look to someone else. So it's almost like something I gotta do alone.

