Speaker 1:          00:00:00       Right, too.

Speaker 2:          00:00:08       Boom. And we're alive. My man. What's up baby? First of all, how the fuck do you punched so hard, hard punches, man. I've been watching boxing since I was a little kid. You've got some freakish power, man. Weird. You got weird power the most definitely. Oh, we always say I'm a freak of nature. I definitely got some type of freakish power. Um, I always tell the story that my grandmother said I was anointed by God. She was always like, if I got suspended for school and stuff, she was always like, God is trying to use you. You're the one you are chosen. You know? She was very big and you know, she was big in the, in the spirit, spirituality and Christianity, you know, so she's always be a teacher. You know, she wasn't really a discipline, disciplinary type of woman. She was a teacher.

Speaker 2:          00:00:56       She wanted to teach or tell you certain things. She used to always say how I was annoying. She won't even let my parents woke me. Well, not in front of her. That's how serious you were. She like, she like, don't you been out with him? He's going to be the one that bring you up. He didn't want to be the one that bring you guys up. Don't whoop him. You know? Um, somebody tells you something like that at a young age, you might believe it. Well, I didn't even realize that really, you know, just being so young, you know, just being, you know, we, we, we, we did as children. Do, you know, I didn't really think too much about it because I didn't understand what she was saying. You know, I ain't started understanding until you start putting away child his ways and you become a grown man and you start venturing out in life and experience in life on your own and started seeing certain things.

Speaker 2:          00:01:42       And then even, even when I got out on my own, you know, I really, there's a lot of things, I didn't start on understanding until I was 30, you know what I'm saying? Just to, you know, cause certain things, different things, what happened in my life, you know, and that you, you know, sometimes you just give you the, you, you deal with it and you handle it the best way you can handle. But it's certain things that starts to happen. He was like, my grandma said something about this or, you know, it's just, you know, and, um, that's how my life been. But it's amazing how I can come in at two oh nine and father God is that coming in at two 16 and, and able to drop him like I did. Like, it's crazy, but we all are always been stronger than mine than what I've looked.

Speaker 2:          00:02:25       It's interesting that the cruiserweight division doesn't get any love. I mean, the last time it got lovers with Evander Holyfield was fine. Yeah. That was really the last time people cared about the cruiserweight division. Now it's a forgotten division. Kinda almost. Yeah. Yeah, that's true. You know, um, you know, my brother just starting in the, in the, in the cruiserweight division, hopefully he can bring some excitement to it because you, you're so right. You know, it's almost like they don't even talk about it. It doesn't make any sense because the light heavyweight division gets a lot of love, love watching light. Heavyweight fights always gets lots of attention. But the cruiserweight division is always like people looking at like, why are you here? Yeah. But on some weight go up. Yup. Yup. It's true. It's true because the heavier ways always overshadow those guys. Did you really wait two oh nine the night of the fight?

Speaker 2:          00:03:09       I weighed two on the night of the fight. I was out when they came in the way media, it would just want to get an official way in and see, see where you are. So I'm all confident and like I like, I know I didn't went up from two 12 and um, I get on the scale and it says two are now like, I like what you mean to tell me I lost three more pounds. You know, I'm like, how did I, how did I do that? My manager, you know, he thinks it's come from stress and a lot of little different things or whatever the last couple of days. Right before the fight that allow your body just, just overall, a lot of stuff was, you know, a lot of stuff going on. He thinks it's because of that, you know, cause your body, you're the balance of your, your body and all that and stuff like that. But I really don't know. I really don't really care about weight because majority of my fighter, the majority of the fighters that have fought me, they've all waved me like almost all my career, you know? So I always say I'd rather be the park then looked apart because I've been in many situations where I've seen guys looking the part, but then when it's, when it get to the nitty gritty, then not depart. Well, you look the part too. You don't get it twisted

Speaker 3:          00:04:26       giant Tommy Hearns yeah. You know, when Tommy was in his prime, it's just, uh, it's what, what makes sense though is that you keep that power in the 12th round. Where's those bigger, heavier guys? Maybe because the blood's got to push through all that extra muscle and all that extra body tissue. Maybe they can't keep that power of the way you can because in the 12th round, first of all, I don't know how the fuck he got up. I do not understand. I remember watching it on TV. I'm like, wow, he knocked him out in the 12th round. That is crazy. Right. It's crazy. And then of course you played that thing on your Instagram, which basically shows that you did knock them out.

Speaker 2:          00:04:59       Right. Oh, definitely knocked him out. He definitely didn't get up in time. He definitely didn't, you know, but it was his job to just get up

Speaker 3:          00:05:07       10. It's not his job to know exactly when, 10 seconds. Yes.

