Speaker 1:          00:00:02       Yes. Is it good? Yeah, go ahead.

Speaker 2:          00:00:08       All right. Cut all this sounds right. Right, right. Hello Adam. Hey, thanks for having me. Thanks for being here, man. I'm pretty sure I'm a giant fan of your show. I really appreciate the fact that it annoys people to really business people off. That's the goal, pretty much, you know, I mean, I'm not a cat person where I'm like, ah, if you're pissing people off, you're doing something right. But there's some tricks to this to that. And also the way you structured the name, I mean, I don't know if you came up with the name of it, but Adam ruins everything. I think I might have to give that to my, to my former boss, Sam writes to college humor. Might've might've, uh, I think we came up with the name together. He might've been the first person to say it, but uh, yeah. Thank you.

Speaker 2:          00:00:43       I'm really, I, yeah, like let's, you know, it lets you know that, hey, this is going to know you a little bit, but like, I'm going to be telling you shit that you don't want to hear. That's gonna make everything a little bit worse, you know? But at the end of the day, it makes it better. It's an optimistic show at the end of the day where, sure, yeah. Yeah. You give them the truth. I think that, yeah, I mean the, the, the thesis of the show is that it's always better to know the truth and it's a momentarily uncomfortable, but hopefully for most people, 99% of people who watch the show, it grinds your gears a little bit to find out something, oh, I thought that was true with the act crap, you know? But then at the end, we show you why you're actually better off knowing that thing and you're always better off knowing the truth in my view, in my view as well.

Speaker 2:          00:01:19       Yeah. Was there ever, was there one episode that stands out as being one that people got the most upset about a year? There's a bunch of them. I mean, people get, people get upset with us for a lot of different reasons. We did one about how I'm a breastfeeding isn't better than formula feeding. It's a no, they're both like formula feeding is fine, you know, and if the problem is if eating become a stigma to stigmatized now, um, and there's a lot of people who can't breastfeed or who for medical reasons, you know, uh, and uh, uh, the fact is that forming formula is like a scientifically proven wonderful way to feed a baby. And if you know someone's choice or need us to do that, there's no reason to stigmatize. And we go through all the reasons that, that that's the case. And yeah, people get a little, you know, there's a lot of people who sort of have an ideology about that, you know, and uh, don't want to hear the truth about it.

Speaker 2:          00:02:11       Um, we did one about a trophy hunting animals about how cause people, young people get so mad. I'll look at this guy shot a lion, right? And the truth is that, uh, in some countries, not 100% of the time, but in some countries, they are effectively using trophy hunting as a way to, to, uh, protect the animals because that's how they're able to sort of like monetize, you know, in that place. And, uh, you know, get money coming in, in order to protect the animals. And they're, they're very specific and strategic about it and it can be part of a good, you know, sort of animal management, you know, strategy and it's being used to some success, you know? Um, and yeah, people don't want to hear that. Right. It's still really hard. That's a weird one to me. And I hunt. Yeah. That, that, that the whole, the whole lion and elephant

Speaker 3:          00:03:00       thing,

Speaker 2:          00:03:00       right? Ooh, that's a weird one. But know what they can do is they can say, okay, well we've got these elephants, one of these elephants is an old male that's like killing the other elephants. Right. And if we organize these hunts where you got to pay half a million dollars for the right to even go in there, right.

Speaker 3:          00:03:17       Well with the old male elephants. I know that was the issue with that giraffe. That woman that got actually don't know that specific case. Yeah, there was a, there was a woman who got in trouble because she shot this really beautiful giraffe. It was really dark and unusually colored and it was dark because it was very old. The older the Giraffe, apparently the males get really dark. It was really cool looking. Um, but she shot it and everybody went crazy on the internet because, you know, she was posing and smiling with this drought. But apparently that giraffe had to be killed because it had killed at least two, maybe three young males, and it was no longer have a viable breeding age. So they were in this situation where they didn't have the money to take it and bring it to a zoo somewhere and the, they would have gotten money from having this woman come in and shoot it. So that's what they did.

Speaker 2:          00:04:04       Yeah, that's Sorta, that's sort of the idea, you know. Um, I mean, one of the issues is if you've got an area where, you know, one of the problems is you need to have a reason for the people who live in the place to care about the animals. You know what I mean? If it's just like, hey, the elephants are going to roam free, well you've got people there who are like, all right, fine. So I'm living near some elephants. Occasionally they eat my crops and shit and that annoys me. I don't really give occasionally. Yeah, exactly. I don't give a shit about that. And what that allows to happen is allows poachers to come in and kill them. Wantonly Right? But if instead, okay, we're protecting them, we have a revenue stream, right? We get money when, you know, hunters come in and pay a lot of money to go kill one animal.

Speaker 2:          00:04:41       Right now we've got a way to hire guards. We've got a way this is now a resource that we're protecting. Right? And that sounds a little cynical, but it is working in some places and it's both. It's cynical and effect and effective. And we have a, we had a woman on from the IECN International Union for Conservation of nature, big conservation group, talking about how this is effective now in some places, if you've got a corrupt government where they're just going to pocket the bunny. Yeah, that's bad. Right? But the point is just because the mere idea of someone going overseas and killing an animal is not necessarily the worst thing in the world. We have to look at the details of the situation. And it's hard for animal lovers to hear. Animal lovers don't like to hear that. Uh, yeah,

Speaker 3:          00:05:18       they don't. They don't. And I, like I said, I don't like to hear it. You hear it either. I wish people would just, it just what freaks me out more than anything is that there's no other options. It's not like a bunch of people are donating a bunch of money to keep these areas clean and free of poachers. And

Speaker 2:          00:05:38       the amount would be massive. Right? We can, we can donate money, but yeah, that, that's the, when you've got a problem that big and intractable as how do you save these animals, you know, and uh, against habitat encroachment, right? Again, you know, people want to farm on that land. People, you know, people have, people have lives, right? They're not sitting around going, the people in those countries not sitting around going, oh, I love the cute elephants. Like we have the luxury to do. They like fucking live there. Right? And so how do you get, how do you get those people and that society to, to really protect those animals? That's a hard question to answer. And some places are having success with that strategy and that's something that we can understand. We don't have to approve of it in every single case. And we can say that's really tough for us as animal lovers.

