Speaker 1:          00:00:02       Okay,

Speaker 2:          00:00:10       he's alive. All right. We're live, Carlos condit and Irwin the core. Welcome gentlemen. Welcome. Thanks for doing this. Appreciate you. Of course. Thanks for having us. I'm so happy. First of all, for folks who are not aware of the situation, what's going on? Uh, Carlos Professional MMA fighter, one of the best in the world, just fought for the welterweight title. Extremely close fight against Robbie lawler. And you spent a lot of your time this camp. How many camps was it? Were you trained with Irwin to now to now? Yep. And Irwin, you are a movement specialist and this is all the rage in mma right now. It's gets really kind of fascinating as this sport grows and develops. We're looking at a sport that's really only realistically been around since 1993. That's when it sort of form martial arts, of course had been around forever, but as a sport where people really started picking it apart and trying to figure out what's the best way to pursue this. It's really only been since about 1993 when the UFC first started and the most recent trend is guys trying to improve upon balance movement and their ability to close distances and attack and be in a position to constantly be able to do that in between those techniques. So instead of concentrating on just hitting pads or just doing shooting doubles or doing various drills, you're concentrating on the movements that take place in between those techniques. Is that a fair way to describe it?

Speaker 3:          00:01:39       Um, yeah. And, and I think that the movement, uh, also helps, uh, in, in the techniques themselves, you know, we, we can focus specifically

Speaker 2:          00:01:50       play on, on, you know, martial arts technique techniques which are know on a base level movement. Right, right. And how did you guys get hooked up?

Speaker 3:          00:01:58       Uh, I reached out to, to Carlos. Yeah. Actually, it's one of your requirements that you were commenting on one of those UFC events and uh, you, you talked about the current state of the welterweight division and at some point you talked about Carlos and he was still recovering from his injury and, and you said that at this point, uh, you know, he was 31 or four years old back then and uh, it was a serious injury and that from then on it could only somewhat gets slower and that made me react because it was both true and not true. True. From a conventional standpoint, it's true. But from a, a, a training, coaching, a movement practice standpoint, I knew that there was a possibility to, to, uh, to reverse that, to improve, right? And that this is actually a vacuum and that made me think Carlos is right there.

Speaker 3:          00:02:46       I need to reach out to him. I can train him and I can show that there are some different methods that can bring results. Even in a seasoned fighters, uh, like Carlos, what is your background turning in the woods a lot. The window was a kid moving in the woods, climbing trees, jumping from rock to rock and being lonely, being encouraged to do that by my own dad. Um, uh, in the. And then later on I did some extreme trainings I would say in Paris with a very small group and we would climb scaffoldings and uh, we will jump off bridges and we would balance on top of the class scaffoldings like popcorn type stuff. It was, it was a part of the movement because, uh, the founder of par core, David Bill was almost my neighbor and practically we're the same age, but we didn't know each other back then and I was filling in all the guy and we would do these, uh, these trainings because we were somewhat, um, wanted to go against the normalcy that, you know, how heavy the nurse you have normalcy of wanting to do a to know ourselves, uh, through, through movements and exercises and challenges that were complete out of, out of this world.

Speaker 3:          00:04:07       What do you mean by heavy? The inertia of normalcy? What exactly do you mean by that? Well, I'd like to save at normal of silent killer. A lot of people are just extremely bored by their day to day routines and kills them. It shrinks their comfort zone all the time. And um, uh, it rubs their, their, their creativity, their, their vitality, um, because we're not meant to live such predictable lives and, um, we're actually, we're supposed to be extremely adaptable. That mental and physical level and we, we need to train that adaptability by a, presenting ourselves with the challenges that are going to maintain that adaptability. It's, it's we need a strategy. Um, if a lifestyle is boring, if we're born in our lives board, in our lifestyle, uh, there's nothing in this world that's going to really a change that we can entertain ourselves. We can consume tons of entertainment, but what we need truly to get out of this is a strategy, a to a perception of oneself that is different.

Speaker 3:          00:05:16       And then the strategy that's in line with that perception of a strongest self have a more free self. I don't know, it's a very philosophical, but you asked me about it. Um, I'm just telling you, the, the, the West, think about it, if I had followed a, you know, what the box, the textbooks, the, uh, the conventions, I would not be in the place I am today, I would not have done what I've created. So it's a philosophy as much as it's a training modality because everything in life is philosophy, but you call it philosophy, outlook, perspective, opinion, values, whatever you call it, it's something in your mind is a certain perception

Speaker 4:          00:05:58       that makes you see yourself, see the world a certain way and behave accordingly. A bodybuilder, you may, you may think that it's purely physical, but it's not, it's a philosophy. The guy who wants to be big as a perception of himself as being very big and he's getting to train accordingly. So it always starts with the perception and then you behave accordingly. So everything in that sense, his philosophy now when you met this character will apply to all these movement teachers look like Jesus because that's a question that's been coming up over and over again on the forums when I feel obligated to ask. Um, I think there are a lot of the, the, the naturalistic persuasion. So, uh, first first impression of Irwin was that he's very intense. Uh, we went and we know there's a wooded area there in albuquerque and we thought we're going to go play around, you know, walk on some, you know, walk on some blogs and just kick in immediately.

Speaker 4:          00:07:01       It's like, no, we're working. And it was from the first time that we started, he was demanding excellence and, you know, demanding, uh, quite a bit of, of, of, of focus. And for me, you know, I'm kind of like an add type of person and um, you know, I, that's why I fight. There's a lot of different things to do. I can move, I can play, I can focus at certain times, then go fuck around at other times. And, and I'm working with Erwin. It's not only been a beneficial for, for me physically, but also, um, you know, as far as my, my, my, uh, focus and uh, just my, my attention. I'm physically. Initially it was hard, man. I was, I was maybe seven or eight months off my knee surgery. Um, my body was stiff. I had a great physical therapist and we were making progress in, in that respect.

Speaker 4:          00:07:58       But, um, I wasn't there yet. I had a lot of imbalances. I was, it was still kind of fucked up. But, um, what type of knee surgery you had? ACL reconstruction. Did you get cadaver or Patella? I had an allograft or cadaver. I like that. That's my favorite one. I encourage people to do that. I know the guys have said that it doesn't take, but when guys say it doesn't take, I always wonder if they were training too hard, too quick. So, um, I have a good friend who's a, a, a, a orthopedic surgeon, and he, he told me that it's strong initially because they use somebody, a Achilles tendon, which is four times thicker than your actual 50 percent stronger than a regular acl. But as your body's assimilating it, uh, it gets weaker. It apparently your body does this scaffolding of its own cells around it as it's assimilating it to your own tissue and it, it gets weaker during that point.

Speaker 4:          00:08:55       Eventually you wait a year, 18 months, it's going to be stronger than it was before. But even that period, seven, eight months where you're feeling good, um, the inflammation's gone away, the swelling has gone down. You're like, oh, I feel, I feel amazing. I can go fucking train, I can go spar. Boom. You blow it. Yeah. And they say it didn't take. But that's not really true, right? I don't, I don't think it's true. That wasn't my experience. I've thankfully, from what I've talked to doctors, they, that's exactly how they said it too, that you feel really good and you start training hard. Then you blow it out at Herman did that, Dominick Cruz did that. A bunch of guys have done that and it's, um, it's very common. Yeah. So, uh, you know, Erwin and I started working together initially. It's, man, I couldn't do hardly any of this stuff and I'm a high level athlete and it was frustrating.

Speaker 4:          00:09:45       So, um, I would go and I didn't put a little bit of information from him, I'd work a little bit by myself and then the next time we worked at I had, I would have made some progress and um, we'd worked together for, you know, once a week, maybe twice a week for over a year now. And now how, how are your camp structured? Because a lot of people, they structure the camps are very regimented. They have the particular days for strength and conditioning and it's all sort of design so that they have enough time to recover for their skill work and especially if you're working in that specific techniques for a specific type of fighter and you would have to incorporate all these things and then this movement training and stuff as well. Like how would you figure out when to put that in? Did you have to experiment or every camp really isn't experiment because as I've grown as an athlete, I've changed as I've got older, you know, I have to take more time off than I did before.

Speaker 4:          00:10:41       I have to really, you know, pay, pay attention to my body. So we do have somewhat of a structure like that, but it's also every, every, all the scheduling is tentative. It's like, okay, yeah, I have this scheduled on this day, but if I'm feeling like shit, I'm not going to go in there and do that. That's, that's a good way to get hurt. It's a big fight. I can't, I can't get fucked up. So when you feel like real worn out, you have to sort of like really be paying attention to your body? Yeah, absolutely. Um, and we do active recovery. My strength conditioning, the place that I, that I go, um, we do a lot of different things. They use some biofeedback, a dove, a software that is pretty cool. You stick some fucking sticky pads on your body and like ekg thing and it can actually tell you physiologically what your readiness level is.

