Speaker 1:          00:00:02       Okay.

Speaker 2:          00:00:04       Four, three, two, one. And we're alive. So what am I not supposed to say? Huh? Oh, a cunt. Oh yeah, that's all right. That's the title. The title of the show that we've, we've, we've, uh, uh, omitted from the print listings is a, yeah. The show is actually called, don't say cunt. Oh, with Paul and guys, this is the one place where you're not going to hear the word count. Yeah. So it kind of a Pronto for five minutes. There'll be 45 minutes because as we understand that Americans don't like the word count. Some Americans. Yeah, it's getting number. That's what we'll, yeah, we'll get, we'll get one. Until that day there was a, there's a bunch of women that were trying to take it back. Who Was it? Was that the, the guys we fucked girls. I think it was, they were trying to take it back through trying to like you, you know, take that and cut back the word.

Speaker 2:          00:00:54       Well, I think I'm very dead inside my head. What's the matter, David here? David. David's having this dry. Oh, it might, it might have disconnected. Yeah. This is fun. For the huge Amy. I'll hook it up. Did you go your okay. You might plug in. There's a little bit of an issue. I feel like there's a pressure differential. That's a bird feeling. You only have one ear on to, Oh, you're both of them on. They got in mind. Yeah, I took it off because they couldn't hear anything. Check, check, check, check. One, two, three, four, five, a little. No, that's Paul. Apparently. I think check, check, check. That's me. That's me. I can hear now. Okay. There are going to be down. Just something that somebody is in here. Gremlins monkeying with the fucking side. We're not. Hold on which one was being, I'm going to just adjust our shelf.

Speaker 2:          00:01:37       This one. Oh, there you go. Hold on one, one, one, one, one, one, one, one. I hear me, Dave. There we go. There we go. That's good. So I always hear Dave. So why, why did you choose that as your podcast title? We're Canadians and a content is not as, not nearly as bad and Canada's really swear word. Yeah, it, yeah. I don't know what they need to put out. Some sort of a periodic table of the atomic weight of swear words would be quite, quite heavy but heavier on the American version. But here, uh, in America con actually just drop through the crust of the earth and right down to the core you will go through the other side. So I guess we just found that patently ridiculous. Well, we use, we like, um, you know, we, we grew up, I grew up hearing the word a lot from my, my dad. What does your dad like? Well, not like much anymore. He's dead. Thanks. So he died. He died in [inaudible] 79. Sorry Dude, I didn't 79, but no, as I always say, he was mad. There are no better parents than dead parents. No, they can't fuck you up anymore. That's right. But my dad was a real really fond of that word and English Canadian.

Speaker 3:          00:03:00       He full Canadian. But being Canadian is kind of like being English a little bit on your money's still. And we get all the English movies on English, TV show we a pledge allegiance to the queen. And school, you know, and I still, so it's still going on possibly. Yeah. And in our sleep, so many good things about Canada yet so many preposterous. It's true. It's the fact, well, the fact that a monarchy still exists at all is preposterous as great on paper. Yeah. Well the monarchy, even itself, it's, it's become Kardashians. Refied well yeah, like I love him, but didn't they weren't they always, I guess they were, I mean, what, tell prince died days and, yeah. Or even just back to Henry the eighth. What, what maintained the, the monarchy other than the fact that people wanted celebrities and that was the only celebrities they had.

Speaker 3:          00:03:50       Right. And the priests and I think Henry, they also had ass implants if I'm, yeah, cause he did. Yeah. Yeah. Wow. Yeah. Good for him. Progressive. Yup. So ahead of his time. Yeah. That, that is an interesting thing. It's like the Prince Charles Lady, Di's saga was essentially one of our first reality things to enjoy. Yeah. Yes. That was madness when it happened. It was so huge. And then someone said, well, what if we just make housewives in orange county royalty and a, and you don't have to pay them as much as the king and Queen and you can cancel them. Yeah. Those shows are wonderful there. I've never seen an episode of any of their fascinating. The Beverly Hills one is there was, well, there's different versions of them, right. And different versions. You get to see the geographical creepiness of like Atlanta is its own thing. Yeah. Atlanta is not a bad one. The worst one was jersey. They're fucking savage people. My ancestors, those fucking savage monkey folk that live in the worst. Anything cut the first of the version, the worst of anything. The worst. The worst. Penicillin is the Jersey Penicillin. You know, CSI Jersey was terrible by the way. Nah, that doesn't exist.

Speaker 3:          00:05:03       Yeah. I'm the Beverly Hills. One of the, all of them were fascinating and it was take, take people forced them in these situations where they're going to have his artificial disputes. Well, it was crazy to me is watching people succumb to the pressure of all of that attention. Wouldn't, they've never experienced it before. And then you're going to just thrust them into this massively popular, you know, for lack of a better word, confessed. Yeah. Right. Well, if you take your test fame, yeah. I need divorce it up. Any supporting sort of supporting under talent structure. Yes. Or didn't support, sorry. Nothing to offer. No offering. There's no painting, no sculptor. He's still singing. They only take yes. Give cause fame will destroy. If you're a brilliant artist, fame will destroy you. If there's nothing underneath the fame, it's this, there's nothing to hold it up. While I remember watching Kelsey Grammer's wife, I had met her before, she seemed like a very nice lady.

Speaker 3:          00:06:02       Camille, Camille. And then she, uh, I forgot her name. Thank you. I didn't want to just contact owner. He has a huge Camille Fan. I have a tattoo. I was gonna say, do you have a tattoo? But she decided to play the heel. And the Prac, it was so obvious that the pressure was just overwhelming. The hatred that was coming her way. She had decided she was going to be the boss bitch on the show and just let everybody know, you know, this is how it is and I'm, I'm here to run things and just the swamp of evil. That came her way and then she's like, God quit done. Fuck this show. And she, she bailed out of it. Good for her. Yeah. It's even changed that role or was it like a producer and said here's your, well according to Kelsey he told her like, Hey, okay, this is what you've always wanted here.

Speaker 3:          00:06:54       Like cause that's like what led to their divorce or what was happening during then them getting divorced, you know, and essentially said, you know, this is what you've always wanted. Like don't think you understand this, so go to the good luck with it. And then you know, she, she just kind of vanished afterwards. She's like, fuck all this, which is wise on her part. She, she, she recognize what it is, but they're like those, those people that are on it. Like, I know some people who know some folks that are on that show and it's, they'd just go crazy. They start to pop and pills and losing their mind. They're in therapy every day and it's just madness. Yeah. That desire for fame with nothing more to it than other than a desire to be famous can only drive you insane. Yeah. Cause I think fame, fame as a, as an emergent property of doing something right is bearable, but it's products but so strange and so difficult to truly manage.

Speaker 3:          00:07:48       But you can at least say, I don't define myself by the fame. I define myself by the work that created the fame. Yes, yes. Whereas if there's no work underneath it, it's, you know, you only exist in so much as people are aware of you. You exist in those moments when you walk into a room and everyone's staring at you. That's what you look for. And that's that. I have that anyway because of my body. So I guess I know real famous. Right. And your and the horrible allergy you have to pants. True. I can't wear pants. Yeah. Every time I walk in a room. Well, I always say like that, that uh, that fame is a property of the beholder, not the beheld. And that that fame only exists along long. Somebody in the room knows who you are, right? In a minute, you're in a room where no one knows you, your fame evaporates.

