Speaker 1:          00:00:00       To to, to, to do.

Speaker 2:          00:00:05       Boom. Mike Baker. Ladies and gentlemen. Boom. How are you sir? I'm doing well. Hey. You know, it seems like the year is going well so far. Not much to report. Is that sarcasm? You guys allowed to use that guy? No, I know we're supposed to have that removed when we joined. Um, but uh, yeah. No, it's going good. Going good. Thank you families. Great kids are doing very well. Business is going very well. I know everybody was most concerned about my family and my kids. Absolutely. That's how people start off pocket. Well we just want to hear. You're having a good time up there in God's country. Ah, yeah. Idaho, Idaho. Beautiful place. We're just talking about how awesome it is up there and we're getting a lot of snow. I mean you got to get on a ton of snow up in the north, particularly here in California, but we're getting just hammered five feet up in big bear.

Speaker 2:          00:00:49       Bear apparently just got covered in snow, which is awesome. We had like 330 inches of snow up where we've got a place up in about two hours outside of Boise, up in the mountains where we go skiing and fishing and I'm not at the same time. That'd be a hell of a sport. Someone's probably done that. We know. I know. I do know the guys are cross country skiing into hunting spots now. Yeah. That's a thing that guys are doing. There's actually these foldable skis and you strapped these things on and they can stuff in your pack when you're done. And apparently it's way better than snow shoes. So when guys are trying to traverse, like really unpack like fresh snow, no path fix stuff. They're doing cross country skiing. And I mean, that's tough. That's tough work. But it, it's, it's not as tough as snow shoes.

Speaker 2:          00:01:32       Snow shoeing is, it is a grind for any distance. Right? But, uh, but yeah, you know what you do see, I mean we were skiing fresh tracks off off the, uh, the side back backside of one of the mountains that we ski is two weeks ago and the snow was falling. There was no wind, it was just beautiful. There was nobody we didn't. I think we saw, I think we saw two other skiers the whole time that we were out and it's just stopped constantly and just stare and look around and you think how beautiful it says, and then I do what everybody does. I take out my phone to it cause I'm going to capture the moment on my phone camera and somehow get the grand of this scene on my iphone and I always do the same thing. I go, I go back to the sit in the cabinet.

Speaker 2:          00:02:14       I look at. I go, oh, that's a stupid photo. Looks like white. Yeah, that you. That's it. That's the picture you took. That's one of them is pretty goddamn beautiful. Still pretty beautiful. I have some buddies that live up in Ketchum. They run a firstlight. My friend Ryan Callahan. Shout out to Ryan Callahan. He runs a firstlight. It's a hunting clothing company and they're up and catch them and he's always just raving about it. Yeah, I catch them straight. That's where Sun Valley is and it gets more crowded up there. You know, but it's uh, it's kind of like a high end, a great town. It is a fancy fancy pants. Yeah. I mean if you look at Idaho, there's two. There's two blue spots in Idaho. One is boise. They're very democrat, you know, heavy city and the other is a catch him, uh, in that, in that particular county because of Sun Valley being there.

Speaker 2:          00:03:01       And so we get a lot of, a lot of wealthy folks, but it's a beautiful town. It's a great community. It's a year round community, but there's some other towns is a place up there in Idaho called McCall, which, uh, again, it's a couple hours outside of Boise, up in the mountains and it's a real town, right? I mean, there's nothing fancy about it, but it's a great place. Sits right on this beautiful lake, pay at like and uh, you know, fishing is fantastic. And then the skiing is great during the winter. It's, you know, I sound like I'm on the Chamber of Commerce. Well listen man, we were saying right before people from Idaho don't like to talk about how beautiful Idaho is because they're trying to keep people out. I know, I know I shouldn't do that. I have some friends that have a house on quarter lane and they sent me pictures and you just go, Holy Shit.

