Speaker 1:          00:00:02       Sure.

Speaker 2:          00:00:04       Three, two, one. He. Ha Ha. Colin, how are you buddy? I'm good man. How are you? Good, thanks. What's going on? What's cracking? Not a lot. It's a great honor for you to ask me back. I appreciate it. Oh my pleasure, dude. I had a great time with you last time. It's good to see, but thank you. Good to see you too. Congratulations. You were just showing me around this space. Thanks. Very cool. Thank you. I'm very excited for weeks. I'm excited too. I bet. Thanks man. Appreciate it. Jamie's moving shit around. What happened? Oh, I was out of line. Um, so a welcome and a house Colin's last stand going. It's good. It's fun. It's, you know, I always describe it. It's not big. It's just got this little narrow slice of the Internet and uh, it's attracted, you know, videos do 20, 30, 40, 50,000 views and I have a good spot.

Speaker 2:          00:00:45       That's a good place to be. I'm happy with it. And uh, you know, I have like 4,500 people on Patriot and supporting me and I don't serve ads on anything I do. So I'm just trying to make it organic and see how far I can take it and then go from there. Sam Harris says his entire podcast. That way he doesn't have any ads, which uh, I think it's amazing. Yeah, it's cool. Like I have no, I, you know, I worked at ign for a long time, the video game site and my old company so we had ads and I have no problem with them but I was trying to just kind of say like, I don't need more than what you're giving me. This is Brittany and I'm doing fine. And so, you know, maybe I'll do ads on future products but not with us dot well, yeah, I mean why not, right.

Speaker 2:          00:01:22       I mean just if you're enjoying it. I mean, you. Yeah. Do, you could do different products, you could do different projects whether you can do it different ways. Yep. Yeah. It's, it's, it's interesting now to try to figure out like what's the best way for people to put their stuff out there. Like I know a lot of people, like in the podcast world, some people use soundcloud, some puppies, other things, some people just go straight to youtube. I mean it's a, there's a lot of experimentation going on now. Yeah. And, and I, I'm always fascinated by that particular thing about how I do a podcast now just on the side called fireside chats where I just have random people into talk about random things. Um, and uh, it was similar but not nearly as good as your show. And uh, I, I'm always amazed that people are like, why don't you put this on Youtube?

Speaker 2:          00:02:02       And I'm like, you just want to stare at a static image on youtube. There's like, not, I don't even have it on video. People just anxious about how people consume the content. So maybe like a spreadsheet approach is probably the smartest idea. Well, if you could hire someone to do images that represent the conversation, maybe that would be a reason to have it on youtube. But I hear you. Yeah. It's people just get excited about our platform. They get locked into a platform and then they just digest everything in that platform, whether it's snapchat or instagram or youtube, they just, it's. And it's weird with Jamie and I have been talking about this a lot lately about like what, what makes it through, like how did youtube become the only one where people upload videos? That seems insane. It seems like that seems so straightforward. You have it so people can upload videos. You put ads on those videos and that's it. I mean it seems like there would be hundreds of those sites. Yeah, I think they were just first and it was kind of like, uh, was like ubiquitous

Speaker 3:          00:03:00       quickly. So I find that with a lot of like social media too, like you think about, um, like snapchat's really faltering now because instagram is basically stolen it's entire platform and it's all about like kind of these little monopolies that exist. Monopolies were pictures, monopolies for video, monopoly for interacting with friends and family on facebook and stuff like that. There's no thinking about, there's no facebook competitor. No, no, no. I mean, facebook seems to me to be more indulgent medium though it seems like, like I've read some, like sometimes I'll see people's facebook posts and I just see the first paragraph and then we'll see how long ago was. I'm like fuck, reading that. Just keep moving. It's just too much. It's so, yeah, it's like I find my girlfriend just deactivated her facebook account and I was like, I don't find so much utility in it anymore.

Speaker 3:          00:03:46       Especially after the election. I'm like, everyone hates each other on here and it's not fun. I already have twitter for that, you know, but like you're saying on twitter you can't go on and on and on and on about how much you hate Donald Trump or Hillary Clinton. So there's like no way to retreat. I find that I don't even use facebook that much anymore. I use it because my instagram posts directly to twitter and to facebook. That's how I use it. And. But it's interesting that it shows that and the amount of people that engage like my facebook as a fraction of what everything else has and I think it's because I don't use it. Yeah, I think. I think algorithmically the more you use it, probably the more massages you to the top of, of a person's feet or whatever. Because that's what's annoying about facebook is you can't put anything in order.

Speaker 3:          00:04:25       We have no idea what you've seen already. I was just talking to someone the other day. I only have 700 friends on there or whatever. A lot of people from college that I might've had a class with or something and I'm like, why did the same 15 people to show up on that? I don't even interact with these people, so I feel like I'm missing a ton of stuff and I still find twitter is the most useful for me. People love facebook though for arguing. They fucking love it, man. I, I've gone over some political arguments that people have on facebook and it's like, Jesus, how do you have the time for this? Do people have other things that you enjoy? Yeah, know there's something about that sort of tit for tat verbal exchange, like trying to one up someone and trying to make a better point and it's.

Speaker 3:          00:05:03       I feel like it's replaced sport for people, you know, for some folks I feel like it's a game and sort of what in some sort of a way, like a text based video game or saying yeah, like an old text adventure or something like that. Yeah, I, I. What I find in the. One interesting thing about the interesting thing about facebook that I think is worth noting is that it's typically real people with real names and real picture, so at least they're putting themselves out there as opposed to twitter. The kind of the anonymous nature of that. So I respect that for the most part on facebook. But again, I agree with you, it's like no one's winning this argument. It's just the repetitive. How many times am I going to see the same thing over and over again? I've kind of just withdrawn from that entirely because. Yeah, well you know, I'm wanting to talk to you about Internet controversy because when we had you on the first time it was Kinda just after your whole thing and happen with this. He had made this one like incredibly innocuous tweet. It was a like a day without women or something like that. Silence. Like what was the tweet? It was a our peace and quiet hashtag a day without a woman. Yeah, I mean which is like an Al Bundy joke maybe.

Speaker 4:          00:06:06       And but the thing is like if that happened today, nobody would give a shit. It's weird. It's like then it was, it was a boiling controversial, like the first bubbles of just social media outrage. It seems like you were one of the first bubble.

