Speaker 1:          00:00:05       Okay.

Speaker 2:          00:00:07       The Joe Rogan experience

Speaker 2:          00:00:18       and we're live. You don't have to wear headphones if you don't want your Paul Stanley. That's right. That's right. What do you want to take a shit on the floor over there? You feel free. Hey, you know, use your age if that's what turns you on. But I would accept it. I wouldn't even take photos of it. I wouldn't even tell anybody. I'm just putting Joe Rogan podcast. You put it down on Twitter? Yeah. Okay. He did it. Beautiful. All right, we're live. Good. First of all, I just want to say thank you very much for being here at this. When I was a little kid, like I, I've been a fan of kiss since. I can't remember when I wasn't like I was a tiny little kid when I first found out about kiss. So to have you here in my podcast, I've been to many of your shows both pre when you wore makeup.

Speaker 2:          00:01:01       Then when you got off of makeup and then when he got back on makeup again. So I've been through the full spectrum, so low. I had the solo albums. I was there too. You were there for the whole thing through the whole thing. Every show you were at. I was at, that's what I hear. But that is a weird thing though, that you like you guys, um, you broke up, we're not broke up, but you got rid of Chris and you got rid of ace and then you brought in new guys and now you kind of have guys that play those roles. Is that how you're doing it now? I don't know that you, you could, I mean, that's a tough one to answer. You know, I think where we went astray is when we started, when we first replaced Peter and we decided we needed a new character.

Speaker 2:          00:01:46       And the problem with that kind of stuff is that it started to become interestingly, I think, disingenuous. It, it, it, it took on an air of fake in the sense that, um, it became a menagerie. I mean, we had a fox and a Egyptian warrior next week would have turtle boy and the frog, the frog man. So I think once we, we brought a son Peter back for the reunion tour, which, um, I hoped we'd go on forever. And in other words, I hope that everybody would get back together. Um, everybody would see the, the, the uh, error in their ways and we would move forward and stay together forever. But when that wasn't to be, I thought, you know, we really built these four images and arguably you can go anywhere in the world and people know who kisses regardless of whether they know who those people are. So to to give up that, because we found that those guys were no longer either capable or wanted to give it 100% well who loses out the fans. So no, we, you know, those images are the images that will continue when I'm not hearing either. Yeah. That's gotta be

Speaker 3:          00:02:59       a strange place to be where you and Jean are bolt these super focused healthy non drug using guys. And then you have these two guys in your band that are integral parts of the band. You know, I mean, Beth was a huge hit. It was, and look, this, this whole show could turn into denigrating the former members, but I don't want to do that. But honestly, um, that song was the product of a great producer who had a big hand in writing it and a co writer who Peter used on a lot of things that he supposedly wrote. So, um, but they were integral members of the band and, uh, it's very difficult to, to move forward when two of the people are like, at times like flat tires, you're trying to, you're trying to move forward. Um, it becomes more of a problem when they're, um, re reason, reason for being is to foil and, and to, um, throw off track what you're trying to do.

Speaker 3:          00:04:12       So at some point it really became more about trying to disrupt what we were trying to do with no regard to whether or not what they want to do was right or wrong. They just wanted, let's screwed gene and Paul. So we'll say no, and they'll say yes. So it really became very, very, very difficult. So do you think they did that? Because, I mean, did they have a logical reason? Was it just because they were self sabotaging the anyway, I think self sabotaging comes into it because I think that's been a, something that's run through parts of their lives. But I also think that there was, um, a lot of resentment and honestly, I don't believe in resenting people for what they can do that you can't, if you're lucky enough to have people around you who can do what, you can't make them your best friend.

Speaker 3:          00:05:03       You know? I mean, I learn from Oren and um, everybody can't be, you know, everybody can't be the best at what they do, but you can benefit from being around those people. So look, I, I, I never wanted or expected anybody in the band to do necessarily the same amount of work that I did, but I expected them to give 100%. Everybody's, you know, I was all for splitting things evenly, uh, in the original lineup of the band up until, uh, you know, those guys departed the first time. But, um, you have to give your best, when you say like resent, like resent for what you, what they can't do. But they were a great, I mean, Peter, Chris was a fantastic drummer. Ace freely was a great guitarist. Who, what would they resent other than your sobriety

Speaker 2:          00:05:58       or your health? I think focus and drive and determination. Yeah. Determination and seeing the whole picture and, and I'm wanting this to be as good as it could be as opposed to falling back on all, you know, it's rock and roll. Well, rock and roll is no excuse for mediocrity. And rock and roll is no excuse for not doing your job. You know, if somebody says, Oh, my playing is rock and roll. No, that's just bad. You know, it's bad. And then there's rock and roll. So, um, you know, he, look, it's a long time ago and it's kind of like talking about a girlfriend or a wife you had a long time ago and trying to, to disseminate what went wrong. And at some point it really doesn't matter. Yeah. It's, it's always hard to deal with people that are in that sort of self sabic sabotaging mode.

