Speaker 1:          00:00:03       Okay.

Speaker 2:          00:00:04       The Joe Rogan experience podcast is brought to you by the fleshlight, have you to go to Joe rogan.net and click on the link for the flashlight and you enter in the code name Rogan, and you can get 15% off and masturbate at a discount. And we're also brought to you by Onnit labs, creators of Alpha brain and new mood, cognitive enhancers, vitamins for your dome bitches. Get it together. If you think it costs too much, please duplicate the formula. We don't mind. We just want you to use it. It's good shit. Go to Joe rogan.net. Click on the link for on it and enter in the code and a rug and you get 10% off that to Brian counts in the house. You dirty freak.

Speaker 3:          00:00:44       Ready to get shit. [inaudible]

Speaker 2:          00:00:52       we're going to break it down. It's all gonna make sense today. Brian counts here. My brother, my brother, happy to be here and my friends. Thank you to whoever gave me this this weekend at the icehouse. Some dude gave me hunter s Thompson is the rum diary a nice paper back. Just one of the things I got it is shared drugs.

Speaker 4:          00:01:14       Psychedelics, have you done your share yet? No, not yet as mushrooms. I took a four hour shower on mushrooms once. Nice. And then I was hiking in big whiskey mountain on mushrooms with my buddy. We decided to take a back route, which you never do. I was climbing up a landslide. That's smart. And I was like, to my buddy, I go, dude. He goes, what? I go, you got to move with the mountain. You're not moving with the mountain. He's like, okay, he's a real mountain mine. So he's climbing. I go, still not more in the mountain. Okay, I'm gonna stay here and talk to this rock. And I had to have a conversation with the Rock and then as he tells it, we're on top of whisky mountain, which is a very big mountain. Okay. Luckily it was in the summer as well. I was with, I was dating Patrick back in the day and they were waiting downstairs and he turns back around and I'm not wearing any clothes.

Speaker 4:          00:01:56       And I mean, no clue. And I'm, I'm top of a mountain that you, that takes a really long time to climb up and I'm naked. What'd you do with the clothes? Oh, we never found my clothes. No, but I did stop and eat a lot of blueberries and by the time we also took a shit, um, squatting. And then as I was doing that naked, my buddy moved some branches pretending it was a bear jumped up and started to run and uh, that caused a problem. And then I came back down the mountain, all scratched up, no clothes and I can't stop and eat blueberries. My buddy who's got you stop eating blueberries. I had a blue mouth. Uh, Shit. You walked, you walked barefoot. That's right. My phone. I'll cut up. My skills was going to take, I don't know, a day and a, I literally, literally, literally probably four hours or something, like a five hours were up at any point during the war.

Speaker 4:          00:02:47       When I finally got down, I had a blue mouth from eating blueberries and, and I was all cut up and patty was like, what you're doing? I was like, I need to did my ass in the lake. I've shit ass cause I didn't have, I couldn't walk wipe it. So, um, yeah, one another. One of my shit stories. Thank you. So, so she was like, wow, that's attractive. You're a, you're my man. Well I'll take the skinny guy with the Blue Mountain has shit in his assets. It was coming down off mushrooms. So that was my experience with [inaudible]. How much did you take? Did I heat? My buddy gave me just a handful, handful, it goes eat them. I was like, okay, I want to have an experience. You got to get them on an empty stomach. I hadn't eaten. Of course. That's really good. And we're climbing man.

Speaker 4:          00:03:29       And I just started literally just hallucinating. I, you're better off that you didn't eat anything. If you had eaten something, you'd probably throw it really bad. I took a shower one time, I wouldn't get out of the shower. Patty was banging on the door and I was like, I'll be there. I'm trying to figure something out. And then, nope. It's hard to explain. But I believe I kept seeing my profile and the first thing I was like, cause I kept saying, Oh fuck, I wish I was barrel chested. I'm not barrel chest, my grandfather's barrel chested. I know I have a sunken chest. This is horse shit. I was like, that's a terrible profile. So then I resolved, resolved while I was in the shower to just spend the entire summer on a bench press. I was going to hire a coach, just a bench, which that never happened.

Speaker 4:          00:04:09       And then I came out of the shower and then I had this experience of somebody standing like watching me and judging me. And I felt like it was the devil telling me that I was a phony. So I was like, oh, I'm a phony. I'm a skinny phony. Why you think it was the devil? I don't fucking know. I just felt, I saw this just felt like that's what it was like. It was just the truth. And so me and I was so raw. I came out fucking God. Maybe, maybe. Or was it just felt like the devil because he didn't want to, didn't want to admit the truth. Exactly. That's what the badge that is, bro. I can always tell the people, you can just see, it's so interesting to watch how people, like I was thinking about this the other day, how people basically as adults, like I would call it to adulthood and what they call maturity is the slow acceptance of what you will never be.

Speaker 4:          00:04:57       That's kind of what it is. So what happens is you so much things, you see little girls dressed like princesses, right? And and that's their ideal. They grow up with these ideas. We still, we stick these ideals and children. Like you're going to marry a prince and he's going to be pimped prince charming and that shit gets whittled away. You start settling for simulation and simulation. It basically your life becomes, I'll take what I can get until finally you're dating some guy with on his ears and a pot belly. Well at least he pays a fucking bills, which is when I like to get them. By the way, I like to get them when they're just going through a divorce, had their heartbroken to 300 times. They're 40. They work out way too much. That anger and frustration is combined into this fucking creates like a freaky that I can really work with. Hotel 39 year old. Crazy wall.

Speaker 4:          00:05:44       Yes. Yes. Look at my ass like work out all the time. That's fantastic. I like, I'm old, not even old old. That's young for me. So, um, you're coming down the hill, you're totally naked. You're high as a kite on mushrooms. Do whatever. Any point. Realize like you starting to sober up at any point in time. Like what's, what's happening as you're sobering up, what was happening as I was sobering up and because I'm such a freak because I had read a lot about how when you can be on a mountain in the summer, winter storm can brew up, right? They can pick up, you can get caught in hailstorms, freeze to death actually sometimes, you know? And so, uh, I was like, I was like, I got to get the phone and I'd read about k two, and I don't know if he ever read about climbing k two.

Speaker 4:          00:06:31       It's one thing to climb Mount Everest. It's quite another thing that can't climb. K Two I believe there's only one side of k two one can climb. And for a while I believe in, you can check this on fact check one in four people, uh, wouldn't make it. Uh, uh, on k two people died all the time because people would make it. Can you do fact check? Cause I believe that was the case for quite awhile. She's cranky. And so what happened was it was the holy grail of mountains still is cause uh, cause um, what happens is storms whip up really fucking fast. Like really fast and a and you die. Yeah. So, so what happened was I, um, I started thinking of storm might whip up and I suck in the cold. Whoa. What does it say on fact check?

Speaker 2:          00:07:16       Um, it's just talking about there was a, there's been a bunch of disasters.

