Speaker 1:          00:00:04       Four, three, two, one.

Speaker 2:          00:00:09       Hey, what's going on? Hey, how do I get that quick, quick fix. Oh my God. It's so amazing how fast it came back to me. Like the addiction of playing that game over and over again. That it's a real problem. Yeah, we've been going crazy. Jamie has been fucking me up to. So today I got lucky that he had to help you get his shit together. He really killed that. He's been fucking me up. Yeah, you don't really play quake, right? You just from playing a fortnight and stuff. I tested myself a little bit because I knew that this was gonna happen eventually, so I had to get some practice with some rockets that at some point and yeah, but it helped. It honestly helps to warm up with quake to play for at night or play pub g or something like that because the quick whatever it is of aiming, you don't do it that much.

Speaker 2:          00:00:50       So like when you're doing it three times, you've already done it 55 times playing quake just in one round. So like your little interaction you have with someone a shotgun. Usually when so quick. It's so fast paced. Yeah. We're playing quake for. It's like Jesus Christ. I haven't played that game and maybe 15 years. See Two. You're ever going to do it again? I probably shouldn't, but what I noticed is my eyesight's sucks now. My eyesight is not nearly as good. It's interesting. From 42 to 46, there was a big dropoff in at 46. The fucking floor fell out. Now it's like my eyesight's Shit Gamer glasses. It takes me a minute when I play games to one game isn't enough yet. It probably takes 10 minutes, maybe less, but like to just start tracking things, getting your eyes up to speed. The distance you are away from that screen.

Speaker 2:          00:01:37       I'll all. It takes a little bit of time to get in there. Yeah, man, it's, we're right now we're just playing it on the local area network. But uh, once you start going online and playing other people, that's when it gets super, super addictive. People that still play that game must be insane. Oh my God. I don't want to be anywhere near psychopaths if they're playing that game. It's because they're really good at it. Probably, you know, like who else? Like young kids aren't buying that game. Back in the day you even had a Joe Rogan a level that somebody created. Remember that somebody created a level. That's right. Was that what game with three or four? I think it was for. Was it really for. Was 11 though, didn't it come out in 2011? Maybe it was three days. Might have been three wasn't it? Wasn't rock arena arena for.

Speaker 2:          00:02:20       I don't know. Oh my gosh, I don't remember. I don't remember. I know there was rocket arena for quake two and there was rocket arena for quake three because I started with rocket arena for quick two, which have you played today? You would think the graphics are hilariously bad, but uh, it's a good game. It's a little slower. The fast game was like quake one was really fast, too quick too, is slower and then quake three became more like quake one combination of quick one quick to do. It's pretty fast. Quick us. Perfect. Miss it. And you tried to play the new quake but you didn't, you didn't like it as much as that. The only problem is it's fun. We had a good time. The only problem is you have to do through their servers.

Speaker 3:          00:03:00       So it takes time. It's got a load and it's like, it's not. I'm inpatient, right motherfucking child. That's crazy. Yeah. You, you, you refused to try any of the other ones, right? Like they're all just new addictions, you know, waiting to happen. I just feel like if I got one addiction,

Speaker 4:          00:03:20       uh, this weekend on Saturday, they had a concert in fortnight. Yeah, marshmallow. It was crazy. Yeah. What does that mean? I think it's tough to explain what they had. It's called an event, what they're calling it. A second event. So at 2:00 everybody showed up at the game in this fucking concert started. It was all the avatars were together, like in one gigantic were normal mode, you know, you played at just like normal and then all of a sudden like two minutes to go. They took everybody's guns away and like you all just sort of congregated around the stage and the music started to show started. They started doing interactive things with all the avatars and everything and like 10 minutes later just it cut off, but it turns out it was actually live. He, he was tweeting about it all day because for promotion and whatnot. But people were asking like, how'd you do that? How'd you work it out? His voice was going live to everyone and was playing. It was probably millions of people and it was just normal dj voice stuff like, hey jump guys. Hey, what is it? They were just like, hey guys, come on. Like he wasn't interacting too much as much as he probably does during a normal set when he's playing to 20,000 people in Vegas or whatever. Yeah.

Speaker 3:          00:04:24       So when he does it, he probably has like a really good microphone to like, it's not like the microphone that you talk shit on, right? Yeah. Yeah. They had something else set up yet. When we first started doing quick known you had a type. Yeah, that's how goofy it was. You to. You couldn't talk shit. Like now people are talking like they're all in a group together talking shit. Right. I have a voice changer now too, but doesn't have talking shit. Get in the way. Like if you hear people talking, it gets in the way of hearing. Sounds like sound cues.

Speaker 4:          00:04:49       Yes. Yeah. Tell your teammates shut the fuck up. You can turn that off also. Oh, you can. I like to hear the footsteps going around coming around the corner and stuff.

Speaker 3:          00:04:56       It's makes it scary. Yeah. It's part of what's scary about quake is like you, you hear someone running grow and you know the right around the corner, you can control all that. It's all up to you. Volume settings and all that kind of very, very addictive game. So we should talk about this, uh, the Jack podcast because everybody got so upset about it and let's clear up a few things. First of all, the guy seems to be willing to talk about anything. It's not that I didn't want to talk to about those things is just he was being a, I wouldn't say he's evasive, but it was basically just saying what he knew based on the company policy. I didn't know what else more to ask him and people felt like I didn't press him hard enough and he to his credit, reached out to me and said that he would offer to do another one to ask more questions.

