Speaker 1:          00:00:00       Four three, two, one. Boom.

Speaker 2:          00:00:04       Matt, you're the first guy to ever bring homemade cold brew. Yes, sir. To the studio. I think we should enjoy some. Okay, let's absence. Yeah, it's uh, it's, it's, it's pretty much kerosene. So you want to sip it, be careful. I usually, yeah, I usually dilute it with a little bit of water. Wow. Yeah. I got this off out about this guy. It's a company called [inaudible] where it's a guy and he just wrote this, all these beans from all over the world and drops him off at this one bicycle cafe and a Venice or something. No, no. I live in Los Feliz. Close. Close second. No. Cheers Buddy. Thanks for having me. My pleasure. I had a coffee expert on the podcast before. Just start it. I mean, I don't know anything about coughing just out on a whim because of this Guy Peter Juliano. That's his name. Juliano or Giuliani. I'm avoiding,

Speaker 2:          00:00:53       uh, the word Giuliani, like specific Juliano Juliano. Yeah, yeah, yeah. But he's the, like a legit coffee expert. He's explained to us that all coffee comes from Ethiopia. Oh really? Yeah. All of it came out of there. That's, that's the root originated it. Oh, okay. And then they started growing it and Latin American countries and all over the other place. Yeah. Colombian. You know, we're always as a kid, Colombian coffee was the course saying like Juan Valdez. Yeah. He's still at, we, I went to Columbia over the summer and uh, you still see pictures and drawings of him everywhere cause they were like, yeah, because he brought kind of fame to Columbia and differentiated it from out the other South American countries. Yeah. Well this guy was, it was really fun. This is actually a very good cold. Oh, cool. Very tasty. Nice, interesting. It's a different flavor. Yeah. I mean it get cold brew coffee.

Speaker 2:          00:01:41       You take at least 70% of the bitterness out and it makes it smoother and it just no acidic and you don't get that. That's the stomach sourness you get when you drink a big pot of hot coffee. I usually don't get that. I'm okay with coffee, but I do like the flavor of this. This is really good. Okay. This is Ethiopian. Yeah. I just, I'm no expert. I just go, what's the best one to make cold brew? And they pointed a bag and I buy it and that's all, you know, smart. Just defer to experts. That's kind of the key to life I think. But he was Giuliani Juliano Juliano sorry Peter. He was explaining to us that um, the reason why they all have these different complex flavors and how they, how they would take care of the beans because Ethiopia is a very dry climate where South America is very hot.

Speaker 2:          00:02:27       So they developed all these problems with a coffee, rust. Have you ever heard of coffee rust? Yeah. Yeah. They develop like weird molds and stuff. That's why they had to figure out different ways of processing and wet processing is verse to just leaving them out and drying them. Oh Wow. Yeah. Did he talk about the illegality of coffee and it's kind of earlier stages when it would go out into different regions and cultures and religious areas? Well, bordain actually was the first person to tell me that they were outlawing coffee shops and coffee houses back in the day. See there's a clip somewhere online of bordain explaining to us how coffee shops were being outlawed because at the time everyone basically was drunk all day, right. Because people just, they, all they did was drink booze because you know, a lot of times if you had water sitting around that water would probably have some funky shit and it was still water and you'd get sick drinking it.

Speaker 2:          00:03:19       But you could be, you know, if water or the alcohol in it, you wouldn't get sick. It's a preservative. Monks would only drink beer and like crazy. It's not, I can't imagine if you've ever had like Belgian Ale. It's like I have three, I'm just like, fuck. Okay. Jesus. And you'd think those guys just pacing themselves all day to stay somewhat hydrated. And I think they just got used to it, but it must have been terrible for their bodies. I, yeah, that's what I was thinking. It's like, oh, I was just thinking about like life expectancy and how like, ah, now I feel like we're going to see people living well into their hundreds and stuff and like our generation and younger. Uh, but back then you're just like, you're 30. Alright, you should make a whale man, because it's, well, it's just if anything went wrong you were done.

Speaker 2:          00:04:01       Where it's like I have a lot of friends that have had their appendix taken out or they broke a leg hiking. They managed to get okay. You know what I mean? Like the back end that was the wolves ate you lays leave you so the wolves don't come after the rest of us and just take one for the team. If your appendix, when you were just possessed by demons know, know what the fuck happened. Yeah. You just struck dumb, like just fall down and just rotted out from the inside and no one knew why it and the amount of, the amount of, I've heard this statistic that like something like 80% of medieval land land battles were fought drunk or something, something, some insane ratio. They like, of course it wouldn't have to be. Yeah, I would. I would have to shotgun a bottle of Jack to pick up like a battle ax and just run into a crowd of guys and just start swinging away.

Speaker 2:          00:04:46       Well, the vikings were famous for waging war while they were on mushrooms though would eat siliciden mushrooms and just fucking go banana may Emma Nita Mascara too, I think was the other mushroom that they ate and they would just go fucking crazy with axes while they were, who knows what they were saying. He would say that the legend of the Berserker. Yeah. Where are we at the term Berzerk from? You're obviously familiar and you're a, you're a warrior, a philosopher, so you know that is, but like, yeah, that's probably what you just go into a trance and you're just killing everything in sight and you're basically like a, an insect on cocaine. It's just chopping everything down around you. Yeah. You remember when we were talking about that new Viking show that's on Netflix? We missed it. It wasn't the comedy one. There's another one. There's another one that's like a serious viking show on Netflix that's supposed to be like the show vikings, but way better, which I kinda liked the show vikings.

Speaker 2:          00:05:36       Yeah. It was good. You're good. It was good. I thought. It's funny though, how, uh, you don't image the last kingdom that's asking the last I heard. That's amazing. Where I'm so, you know, we, we, we, we focus on one thing and where it's like you'd look, you're the vikings, you're like, where are the hats? Where they wear the helmets with horns, with all these braids everyone has, I think he's a normal pizza. They all, they, they should all be monsters, but it's like vikings were all sizes, right? Well, they were all big like this. The problem is like, there's not that many giant actors unless you want to recruit football players. It's so true, you know? Yeah. But if you go to Holland or something like that and one of the things you walk right, you go, God damn, everyone's big. That's a good point.

