Speaker 1:          00:00:03       Three,

Speaker 2:          00:00:12       what is that other thing that you have saved their chunk.

Speaker 3:          00:00:16       That's John Mayer. What is it? John Mayer won't sue us. He likes us. You could play.

Speaker 2:          00:00:28       Let's start from scratch. Why? Because there can be three. Three quarter was. Oh, okay. Ready? Go. Do you open your shell with a. your body is wonderland.

Speaker 3:          00:00:38       Yes. My body is one.

Speaker 2:          00:00:41       Don't hate the Joe Rogan experience.

Speaker 3:          00:00:46       Take three folks. This is a fucking ghetto podcast. All right. This is how we rock it plays the gentlemen, the one and only Eddie F dot. Join us. Ladies and gentlemen, please give it up for Eddie. F I F

Speaker 2:          00:01:00       tea. You can find him on twitter. He's a hilarious standup comedian and a good pal of mine and we are sponsored by the fleshlight. Before we go any further, go to Joe Rogan.net. Click the link and type in the name Rogan and you get 15 percent off. It's fogging a fabulous masturbation to have Mr. Jeff, I know you're not into those things. You know you're a wholesome gentlemen. You're not. You're not the type of boy didn't go dry. You go drive. I go drive high. I feel like when I put lube on my hand that I'm really committing to beating off and it's like, what's wrong with me? I ain't even do dry dry. I feel like I can just get in and get out when I need to, but when I do the flashlight, you have to use a loop. What did the flashlight.

Speaker 2:          00:01:36       Do they have like a celebrity vaginas and parsley. Do they've thought of it all? Yeah, they have alien vaginas. Like blue ones will go to your Avatar bitches, but it's not avatar. Of course. It's alien as if his avatar that you have to pay. I hung out with the flashlight guy last night. I had a great time. So a checklist. Dow was cool. Yeah. If he's in town next week we're going to get him. He's. He doesn't work for flush live anymore. He quit. He's opened up his own company. Yeah, that's right. Did they have any like really, really obscure, like people like skewer porn stars? I'm sure they do like weird. I haven't looked through the catalog that you can like even though I'm a part of the company, I have not looked through the catalog and Luca, you know, like how I was flesh lighting with Roseanne. Barr's vagina. Oh God. I bet she would do it. Roseanne would probably do it. Bet Rosie O'donnell might do it too, but there's a lot of lesbians. It would do it just to throw someone's out there using their vagina properly with Rosie's, you'd have to take two flashlights and just rub them together.

Speaker 2:          00:02:34       Humana, when Eddie, you have to is also on a podcast called you guys call it talking shit. Just talking shit with Jim Jefferies and Jim Jefferies and Eddie eft. And recently you guys get fucked because I guess you swore in your itunes. Yeah, just start title. Like we ask for the episode. We had one title once that was called at. I guess I'm going to have to eat this dude's can't. Was one of them. A

Speaker 4:          00:02:59       guy named Brian Mccarthy told us a story about how he fucked a postop transsexual. And uh, he was telling the story about how she told them she used to be a dude before he fucked her before he fucked her, but he said he was already like so into it that he was like, all right, and then they're having a threesome with her and the dude's getting a blow job and he's like, I'm looking at the back and he goes and I realize, I guess I'm going to have to eat this dude's content. And so we titled it that. And so he did. Yeah, he did. He tells his thoughts. Episode three, we still think it's our funniest. What is this guy's name again? Brian McCarthy. He actually lives right out here. He's Caroline McCarthy. Is he a comic and sort of. He hosts all these things. He's got a show on a national lampoon radio.

Speaker 4:          00:03:44       He's the funniest. If he came in a room with a bunch of comics, every comic would go. That's the funniest guy in the. Really fucking wait a minute. Where he would have joey is in that room. I'm telling you, you can't tell me there's a guy alive. It's funny than God is like a challenge. So Joey nonsense as would, uh, would find this guy really. Is he doing? He's fucking weird. There's no way to explain them. Me, I believe you, but I don't believe he's funnier than Joey Diaz. I don't think that's possible. He's like this fat guy that he's got a wife and kids normal life, but he drilling worn on the side and he wears pink polo shirts and like white box and any, you know, he's got like the secret life that he leads and maybe you shouldn't be talking about it on the podcast, he told her story about smuggling weed from Jamaica in boom boxes and getting arrested and having to go to jail for two and a half months in Jamaica.

Speaker 4:          00:04:32       You know, when he got to America and he went to jail. He stayed in jail for two and a half months rather than tell. Call his parents to get them bailed out because he didn't want his mom to know. So it was just going to sit it out and let his mom think he was in Jamaica. Oh my gosh. Just a fucked up. How old was he when this happened? Like 20 years old and Oh my God, I just rather take two and a half months in prison. Jesus Christ. So he's just wired crazy yet and yeah, that's a dude that will fucking keep a secret though. That's a guy that I'd want working for me. Yeah. Two and a half months. Two and a half months in jail instead of telling his mom, that's a fucking soldier right there. Yeah. We got to soldier Ryan Mccarthy in episode three of your podcasts and I need to hear this now and then we have on our show on our, on our.

