Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:03       boom. And we're live. What's up brother? How are you man, Joe Rogan. I am so happy to be here. I'm so happy to see you. Fuck, you've gone through a journey. Oh Man. Since the last time I seen him yesterday was one year from your heart transplant anniversary. Exactly. Wow. One year. And Joe, if I told you it was easy, I'd be lying. But man, it was so worth the journey and they ain't even funny. What does it feel like right now? Like have another person's heart in your body. What does that feel like? Well, a lot of times it feels like I actually did die and this is just a dream my hand right now. Yup. Wow. This, this is, I think there's, this would be my heaven. You look great. You're still jacked. No, not losing any weight. Oh yeah, yeah, yeah. But I mean, you still, you still jacked. He's still got muscles. Uh, you know, it's, it's such a,

Speaker 3:          00:01:00       a fall from where I was, you know, I really appreciate it though, but I, I, you know, I look at myself, man, it's just, uh, you know, fragmented. What I used to be, but you know, still here. That's what's so important to me, man.

Speaker 2:          00:01:14       Well, the ridiculous thing you were doing, you're making videos of your working out like getting ready and after your heart attack, heart operation, this you have a heart transplant and you're running in a parking lot and you trip and fall. I'm like, Jesus man, slow down. You just decided that you were just going to start pushing from the beginning.

Speaker 3:          00:01:36       Well, uh, actually my brain was ready but my body wasn't. Did they warn you about doing that? Did they say it was okay? You can tell me that they gave me permission to walk and you know me, I'm like walk shit. I can run my mind so that I could. Right. What does it feel like though? Like when you, like what is the difference between the way your heart feels now? It's night and day. You know, before I got the transplant it had got really bad, really bad. I had a Frat line two more times, uh, you know, before the actual transplant and it was, I couldn't go through one another frat. Right. I mean, that would've been it. But the difference now, I mean, it feels, I only say flatline, like your heart stops. Yes. Yes. And what did they do to start it back up again?

Speaker 3:          00:02:30       Okay. After had this last heart attack, um, they asked me to see Mr freshly, do you want to us to put in a pacemaker? And I, you know, I thought about it a lot because my brother and my older brother at Walt had a pacemaker installed before he passed away. And his pacemaker was actually going off, uh, when he, when he died. So I'm like, man, I didn't really do any good for him. So I was like going back and forth and then this, it's sounding voice, say Diego and get it. And so I told him he had put it in and pacemaker saved me. Wow. So it went flat like she, her heart gave up. And then the p, what is the pacemaker do exactly? It's like a defibrillator, you know, I think they had the paddles to give you an electric shock, you know, that's, that's what the pacemaker does.

Speaker 3:          00:03:17       Just give you a little inside, uh, inside, and it's connected directly to your heart, that sucker flat lines. It gives you a jolt. Wow. Yeah. Did you feel it? No. No. I was, I was dead until you're dead. You don't feel nothing. So you'd blocked out to Oh, uh, it's not, uh, a blackout or, uh, uh, like those offerings. You're sleeping. Death is totally different. Totally different. And you, I knew that I was dead before I died before at flat. Right. It was just me and my wife at home and I was talking to her just like I'm talking to you. And the next thing, all the lights went out. It was like a one of those old fashioned TVs. I don't know if you're old enough to remember these black and white TVs. Yeah, yeah. That's exactly how it was. Just sort of Chinese pop, tiny pinprick of light and you know that, that's it.

Speaker 3:          00:04:21       Wow. It's no, you know, you absolutely know that this is it. And it's not, you know, this is the irreversible and you're, you're, you know, that it's, this is death and this, you're not just those in our, you know, did you have a near death experience? I everything. Um, the only thing you have to, I don't think I had time to say was I had timely, uh, call my wife's name. But I mean, when they say things rush, you know, everything's like, this is the, this is it. You know, you're not going to be able to do this anymore. You're not going to get it. This is it. This is it. The final finalization of everything hits you like the, you know, this is it, you know, this is the final thing. This is your last moment on earth and you know it. And I'm like, what do you do B, you know, I can do with say my wife's name. And that was it. That was it. So the, the pacemaker kicks in and then you route.

Speaker 3:          00:05:23       Yeah. And it was, so that's a damn good description. I mean, it was like a, I thought I felt like that I had been asleep for hours. It was the best, most peaceful, restful time of my entire life. Wow. And in just a short moment, it felt like I had been asleep for eight hours, so rested so well rested. So, and my wife told me, and I was just a short period of time, but it felt like I'd been asleep for eight hours. So this happened twice? Yes. The second time was in the hospital. Oh Wow. So they tell you, okay, Mr. Fletcher, we have a heart for you. Yeah, they call me like two 40 in the morning. So that you have to get in there right now. Is that how it felt was? No, I had hours, uh, before I had to actually be at the hospital.

Speaker 3:          00:06:18       I said the be it the hospital thing, like six or seven, they had more. Yeah. And then you think an whoa boy. Uh, I was happy and sad when I got the car. I was happy for myself, um, because I didn't think I could go through another flat line, but I was sad for the donor and dawn's Fam. Yeah. I knew somebody had to pass away in order for me to get that hard. So I felt real bad about that. So they put it in you, you wake up, what does that feel like? Um, it felt like, uh, um, being born again, a rebirth. I never tried. Never go at life. Wow. Yeah. I get it. Never started another chance they had it, my said ain't over.

Speaker 3:          00:07:12       Wow. So from this, so they have to open you up, do that chest spreader thing and uh, and what is all that like? Well, are you, of course that you were out, but when you wake up and you look down, you're covered with stitches, right? I mean, it must be a giant scar, right? They, it's, they are so good now to go get it. You know, I have a scar, but considering that it's my second time being split open, you know, the first time, uh, and Oh five, when they put a metal valve in, I've flattened. I during that operates in three times on, you know, on the table during the, the operation itself. Uh, so me and flat line, you got a five flat lines. I think I'm at my limit man. Um, I seen the scars. They had to take a pace, the pacemaker out, they took the metal valve out of it.

Speaker 3:          00:08:07       Well, they took the old heart, had the metal fab and he took the old hard out. They put in a new heart and uh, it's just me and it's unbelievably this before a shower would kill me if I took a shower, I'd be done for the rest of the day. A shower. Yeah. Shout we kill me for the rest of the day and I had to seat in the shower, you know, uh, how would, how would a shower kill you? Oh Man. It was that amount of physical activity and you know, uh, how, you know, people take taking a shower for granted, but that amount of physical activity would kill me. I'd be white out just for washing your sheets. Yes. For the rest of the day, man. It was. So you were hanging by a smell? Yeah, definitely. Definitely. It was, you know, Kim, you know, and my wife was opening jars for me, you know, here I am, former big spreads world champion and I got my wife.

Speaker 3:          00:09:02       Hey baby cause you open these jelly jar for me. Wow. Yeah it's a humbling, humbling. Very big time. Big Time. How long did you have to stay in the hospital for? Um, we were in the hospital, not very long. I mean we got out of uh, we went straight to intensive care. They keep you there for like three days, but I think I was probably released to within two weeks total. Wow. And then are you using a walker? Are you walking fine? Like I wouldn't say I was walking fine but I was walking just walking slowly. Oh, big time. Big Time. Slowly. Yeah, I was crawling along. Yeah. Wow. And how long did it take to, for you to get to where you're at? And like now? Like now I'd have no idea that you had a heart transplant and really well I appreciate it.

Speaker 3:          00:09:55       No. When I saw you, me, you look very happy. Oh, I am happy. You look like you're growing. I am extremely happy just to be alive when you come that close to dying. I mean every day is just the blessing, man. If people are having ain't doing CT, I'm blessed man. I'm sorry I got no complaints. Oh yes. No complaints whatsoever. I'm through. I seen, I want to hug them. Joe. I'm so happy to see. I'm so happy to see you man. I'm alive. Wow. Cause we, you know, last time we talked about me needing a transplant and I needed the transplant, it now back. I had it, the first six months were rough. Yeah. The first six months after it was uh, the jelly jar oatmealy jelly jars, just not being able to do, you know, normal things. The first thing I tried to do was walk.

Speaker 3:          00:10:56       So they had me walk around, I guess a city block. I mean, city plot. Joe. When I first tried to walk around a city buck, I'd have to stop probably 1213 times and take a seat and get up and try to walk. And it was, it was killing me, man. My, my, you know, my, my wife would slow down and he slowed down and walk with me and us too. It was such a struggle and I'm like, you know what, I don't give a damn how long it take me. I'm going to make you mad and I'm going to make it says keep, keep going. And what kind of activity are you able to do now? A year later, I am a lifting again, but very lightly I am able to do, you know, the machines and stuff from the 10. Uh, I think I've been able to do that for the last two months.

Speaker 3:          00:11:46       So when you say it lightly, is this by doctor's orders? Oh yeah. The doctor. I can't do anything. You know, without them approving it first. Yeah. Except the run in the parking lot. Didn't even approve. Yeah. Well mine was like, go ahead, you can do it. My body was like, leave me out this month. Yeah. So what, what holds you back in terms of like lifting weights? Like why do you have to go light? And my strength is just nowhere near what it used to be. The strength of steel, you know, I can tell that, uh, you know, I have a long way to go, but, you know, just to be able to do anything. So I guess I kinda need to do and I do what I can. That's what I tell people all the time, man. If you can't, uh, you know, do what you want to do, at least get in there and do what you can do.

Speaker 3:          00:12:31       Yeah. It's better than doing nothing. Yeah. Yeah. So now did they have you on medications to make sure that the heart doesn't get rejected by your body? Most definitely in an, and people out there who've had transplants, I know that they were like, oh man. Yeah. I take about 21 different medications everyday. Yup. 21 different medica and when the side effects of the stuff, they used to be worst, but now, you know, my uh, fetus swollen pretty much every day. Um, something in the medical kind of kicks my arthritis. I have arthritis too, so it kind of kicks in and told her stiff, you know, pretty much every day. But when I compare the side effects to the work took possibly after him, which is death and the side effects ain't shit, I'll take them now when you have to take this medication forever, uh, it gets less, less and less.

