Speaker 1:          00:00:09       Experience.

Speaker 2:          00:00:22       Louis is here from unbox therapy, sweating our beautiful new equipment that doesn't work. Especially our new fucking super awesome HD set up. We were supposed to be live in HD by now, but someone fucked us. They sold us this fucking Sony HD box that's supposed to work great with Ustream. Doesn't fucking work at all with Ustream. Not only is it not work with you steam, it's never been proven to work with Ustream. Use Dreams. Never got one from them to test it lies and propaganda. At least. At least it's pretty looking though. It looks dope as fuck. So we'll probably wind up going with a tri caster cause this fucking sack of shit isn't working correctly.

Speaker 2:          00:01:08       And we're watching, um, that we, we talked about zero before the podcast started that has anything to do with tech. Everything was about sexual allegations, sexual assault allegations, whether or not someone should be rioting, whether or not these fucking idiots that are closing down the one on one freeway in La to protest something that happened in another state. It's crazy times. The yellow is that about all these crazy white, it's all white people that are protesting like in, do you, have you seen New York City in New York City as well? Oh yeah. They won't show it on the news because it's like everyone's like, it's all white people. It's all these like wow. Emo, white people, social justice warriors demanding justice. I Dunno. It's rampant. Everybody's, everybody's trying to latch on it to express themselves through this high profile situation. Well, I think that there's no doubt there can be no doubt that there's a real issue with police brutality.

Speaker 2:          00:02:04       There can be no doubt. There's many instances, and this is not the best one. You know, Jamie was talking about it before the podcast that the 12 year old boy who was shot in Cleveland with a fake gun, a toy gun, like seconds after the cops arrive. That is way scarier to me. That kid that was shot in a Walmart who had a toy gun, that is way scarier to me. You know? Then even asking questions, talking, trying to find out what's going on, they're just shooting. Yeah. It's funny. It's a funny thing about which news stories prevail and become the mainstream ones they need to be. This is sort of perfect and appealing package that people want to share and talk about and sort of that drives conversation. They the, the really like obviously terrible ones that nobody has, you know, like it's hard to have an opinion about that other than that's terrible when when it comes to like a kid shot with a toy gun

Speaker 3:          00:03:00       versus the other one. The other situation in a Michael Brown. Yeah, the Michael Brown situation where for some reason they're appear, you know, there, there's, there's these defined sides on that and that thing. There's very little gray area for discussion. It's like pick your team. We were talking about this before the show, but I was watching on Twitter, a white rapper and a black guy arguing and the black guy was on the side of the cop that shot the kid, the, and you know, it wasn't an asshole, wasn't a Republican. He was saying, look, the reality is this guy had robbed a store just before then had been involved in a bunch of criminal type behaviors. And there's witnesses saying that he charged the cop, like you don't know what happened. And the, the white rapper was arguing with him and he was saying, you are blind to the facts in your desire to be down and, you know, which had to hurt the white rapper.

Speaker 3:          00:03:59       Right. You know, black I accuses you of fucking posing, but there's, I mean, that's, but that's what's happening in the street right now, isn't it? I mean, it's the same thing. It's that it's, uh, it's appealing for people to latch onto a cause in order to help try to identify themselves. Yeah. You know, to get something out of it, to get some kind of very good way of defining it. Yeah. To get some kind of a, I dunno, like they like this, this kind of a wind can be a success for them that they can express themselves through, uh, these kinds of issues. But obviously it's not about, it's not just about a cop shooting a guy. Right. It's like in this particular case, it appears to me that it's part of a much bigger issue in specifically that area. Uh, and, and, and probably the way of life.

Speaker 3:          00:04:43       They're like, is it really, you need to be a certain kind of person to just jump on a riot train, right? Like, oh, wicked, perfect, let's burn down more shit. Right? Yeah. And I mean, sometimes it will be, it's not necessarily just race. Sometimes it will be a certain set of circumstances, like a sports team loses and people go crazy and start smashing cars and whatever, and it, it's somehow attracts other people to that, to that, uh, agenda. I remember, uh, in Toronto during, I think it was the g 20 summit when it was like the first time ever, people had like smashed when I was living downtown at the time. And I had a, I had my first kid will and he was little. And I remember sitting at home inside and knowing that people were out there smashing windows going like, how in God's name are these people justifying it? How, how do they believe for a moment that smashing his Starbucks is what's going to change anything. It's such a weird way to try and get what you want. Is it, is it any, it's not even a Po. I Dunno. It seems to me like the equivalent of kicking and screaming as an adult. Oh, it's, it's even worse. It's so idiotic. There was a Twitter post today that I read where this guy was standing in front of a BMW in

Speaker 2:          00:05:58       Oakland, California, which by the way is nowhere fucking near Ferguson and the windows were smashed and it said, fuck corporations, corporations. Let me tell you something. You dumb cunt. You wrote that on a phone that was made by a fucking corporation. You piece of Shit fucking dunce and you broadcast the damn picture via another corporation that allowed you to even have the voice to reach the people that you ended up reaching with it. And what has BMW done besides make awesome cars? What have they done this so terrible besides making fantastically engineered automobiles that you couldn't possibly come up with yourself? Yeah, I don't, I don't know specifically, but I think it is very strange that people pick and choose which corporations are there for them and which ones are against them. Because ultimately this entire economic ecosystem is what allows everyone to survive and what allows anyone to have any kind of wellbeing.

Speaker 2:          00:06:58       It's not perfect. Everybody knows that. But when you burned down and Mcdonald's in your neighborhood, you're taking away jobs from the people that actually need them. You know what I mean? Like, or the Walmart or whatever, whatever it was at the destruction that's happening over there. It's like by, by force, you want to throw a Tantrum, but at the same time the consequence is bigger than you personally. It's a, there are, I'm sure plenty of upstanding citizens who just wanted to go back to work. And this corporation that you're angry with is actually, uh, something that people rely on in the case of this BMW dealership. I mean, you're talking about such an unrelated institution. Yes. So unrelated Starbucks. There's people that were guarding Starbucks and we're freaking out. Fuck Starbucks. You know, what about the people? What about the people? People pay for that stuff.

Speaker 2:          00:07:53       You know that Starbucks is a franchise, like someone owns it. They had an air earned money, save it, get a bank loan, go out of their way, hire employees, put together a business model. I mean Jesus fucking Christ, this childlike view of the world, and this is not exonerating police, this is not, and I feel for the police because I think their job is almost impossible to be a cop and a crime ridden area is almost impossible. There's almost nothing you can do to stem the tide unless you could go back in time and somehow or another, not even the parents of the children who grew up to be criminals, but the parents of the parents that the children that grubs were criminals and somehow reach them, somehow educate them or provide them with some sort of counseling or some, some factor that's going to change the way they view the world and view community and view each other and give them

