Speaker 1:          00:00:00       Okay.

Speaker 2:          00:00:00       And four, three, two,

Speaker 2:          00:00:08       boom. And we're live pat of the university of bad ass or eight. I'm more like the, uh, I'm more like the vice president, the president, probably a CJ or TCC. He's the president of the University of bad ass three Maria cohost and have a little podcast. We do, dude, I fucking love your Instagram page. If there's new stuff that I'm going to call when the shit hits the fan might be you woo, rock and roll, baby on there for your brother. I also like guys who are my age or older that still get after it and the gym and you're fucking page is filled with you getting after it, bro. We could go on, we could full of a full segment. I'm that alone. And the secret, the big secret behind it, which there's not much of a secret as you know. I mean, it isn't hard after hard work sucks and not everybody's cut out for it.

Speaker 2:          00:00:57       Yeah. People just don't enjoy it. Yep. They tried to find a lot of, a lot of Nice excuses why they don't get after it. And one of the big excuses his age. Yeah. Um, I run into guys all the time during my full time training, Gig Ram training guys on the range who say, uh, you know, 38 or 40, or whatever, and I'm getting old. I'm like, Bro, let me tell you something. This is, this is something somebody told me when I was 30 and I've got affirmation, uh, uh, of this from guys like you who have stayed fit their entire lives. The fittest of a man's age is around like 44, 45. That's when you can be on the top of your game and ultra runners. Yeah. You know, the strongest, the fastest, the fittest, the smartest, you know, when it comes to knowing your body and how much you can do and how much you could take after that, then you got to start being a lot smaller, you know, die how you work out, how often, you know, like, I'm, I'm super tentative now, not to overwork.

Speaker 2:          00:02:08       Yeah. Me Too. Um, because I've been told there is no such thing as overworked, but there is a such thing as under recovery. Um, I, I err on the side of caution a lot. Yeah. A lot more now. And I've got it down, man. I, I, I started, uh, this system combat strength training when I retired from the military because when I retired from the military, I retired before reconstructive surgeries, 13 broken bones and any ground pounder who's, you know, special ops guy who did 20 plus years, there's a lot of freaking mile, which on that combat chassis, right? You know, he's, he's jacked up. What'd you get reconstructed? Uh, the first one was, uh, this bicep. I was a toad jumper. It doesn't have to make sense. Uh, what does it mean? Oh, it's related to static line jumping, uh, where you pass a static line off to a jump master.

Speaker 2:          00:03:05       He secures it and the static line, uh, at the end of the static line deploys your parachute. So it's like, you know, it's like rookie jumping. It's, it's real infantry base jumping. Well, that static line got wrapped around my reserve and around my arm and pulled me with the plane and it pulled my bicep into my form, broke ribs, dislocated shoulder concussion. And this is when I was fucking 18 years, I'd just do it and I already got jacked up. Uh, next one was, um, a diskectomy l five s one just come, just a kind of an amalgamation of Hilo crashes and vehicle crashes and stuff like that.
