Speaker 1:          00:00:03       Three, two, one,

Speaker 2:          00:00:06       and we're live. What's up? Right. Hey Man, let's go on. Great. Sam Harris, ladies and gentlemen at Harris and Harris. Dan and Sam. No relation, obviously no relation and brother from another mother kind of thing. Aw, sweet. Actually know how we work this out. We are deeply unrelated because you're your Harris is the Jewish side of your family, right?

Speaker 3:          00:00:24       No, no, no, no. To my Harris is the Yes to actually, no, you're right. My Harris is the Jewish side of the family. It was changed at Ellis Island from allegedly from Adis, which doesn't sound Jewish either, but uh, yes,

Speaker 2:          00:00:37       right. Your heart is the Glam side of the family. Funny how many people's names were changed at Ellis Island? Yeah, like what are they like? Nah, not American enough. Meanwhile, snorts egg made it proudly. Yeah. Odd. So, uh, anyway, thanks for coming you guys. Thanks for having some weird time. You know, I've been extra weirded out over the last couple months and I just got back from Mexico, was on vacation. I didn't do shit for a week and in not doing anything for a week, I really got a chance to sit down and think about stuff and I'm more weirded out by life today than I think I ever have been before. So I'm excited to have you on because I want to hear your story because Sam has been telling me about it and I looked into it and please explain like what happened to you, like where you were and what happened to you.

Speaker 3:          00:01:27       Okay. So it was a, you're, you're talking about the panic attack. It was 2004. I was on a little show that we do at ABC news called Good Morning America. Big shots, a big show show. It's not a little show. And I was, I was doing the job that I was filling in as the news reader. That's the person who comes on at the top of each hour and reason the headlines. And I just freaked out. I just lost it. So as a couple seconds into it and I, I started to get really scared and it just, uh, if you've ever had a pet, have you ever had a panic? No. So it's like anxiety on steroids, so you start to worry, but then your fight or flight instincts kick in. So, um, your lungs seize up, your palms start sweating, your mouth dries up, your heart is racing, your mind is racing. You just, I couldn't breathe and therefore couldn't speak. So a couple of seconds into reading what was supposed to be six stories right off of the teleprompter. I just, I lost the capacity to speak and I had to kind of squeak out a, something about, you know, back to you,

Speaker 2:          00:02:34       to the main anchors. Wow. That sucked. Uncontrollable. No. What, what caused it?

Speaker 3:          00:02:41       I do, yeah, definitely know I'm some dumb behavior in my personal life is what caused it. I had spent a lot of time as a war reporter at ABC News. I was in Afghanistan and Pakistan, Israel, the West Bank, Gaza six, six trips to and uh, I had come home from a long run and I covered a kind of pre-invasion invasion and then a insurgency in one's kind of six month run and I came home after that and I got depressed and I didn't actually know I was depressed, but I was having some obvious symptoms in hindsight. Uh, I was having trouble getting out of bed, felt like that, had a low grade fever all the time. And then I did something really smart, which is I started to self medicate with cocaine and ecstasy. Uh, and even though I wasn't doing it all the time, I like to say it wasn't like that, you know, you ever see the wolf of Wall Street where they're popping ludes that that wasn't me.

Speaker 3:          00:03:38       I was, and I wasn't getting high on the air or anything like that, but, you know, I was getting, I was partying in my spare time because it made me feel better. Uh, so after I had the panic attack I went to a doctor who's an expert in panic and he started asking me a bunch of questions, try to figure out what, what, what had caused the panic attack and one of the questions was do, do drugs, and I was like, yeah, I do drugs. And he leaned back in his chair and gave me a look. That's communicated, uh, the following sentiment. Um, okay asshole mystery solved. And he just pointed out that, you know, you raised the level of adrenaline in your brain artificially, uh, you, you make it much more likely to have a panic attack. And I at at, at baseline, I'm a jittery little dudes so it doesn't, doesn't take much to put me in that zone. We can just offer me coffee. And I said no because that even that will freak me out.

Speaker 2:          00:04:28       Well, it's weird that ecstasy and cocaine was the combination because ecstasy is something that they actually give to a lot of soldiers that have ptsd. And there's been quite a few tests on that. Yeah, I don't, I don't actually think ecstasy was the problem. The coke, I think it was a coke. Yeah, that makes sense. Yeah. So those are the two drugs I was mostly doing. How often were you doing it?

Speaker 3:          00:04:47       I would say, you know, there would be months where I wasn't doing it at all because I would, I was off. I covered the 2004 presidential campaign that I didn't have a lot of time to be snorting coke. So, um, but when I was home and around my friends, you know, on a good, on a busy week, you know, two, three times a week.

Speaker 2:          00:05:06       Wow. That's a lot. Yeah, that'll do you [inaudible] there's a, there's a comeback right now that cocaine is experiencing really ever go away. I don't know, I've never done it. Was there some sort of cocaine recession that had to bounce back from? I believe there was really. No, this is what I'm talking totally ignorant. I've been out of the game for a long time, so yeah. Yeah. I'm, I'm kind of boring now. I'm a, but it feels to me like it's kind of a perennial favorite. Yeah. I don't know. I mean, I feel like it went through a recession, maybe it's just my perception. I had a buddy of mine when I was in high school and his cousin was hooked on coke and I watched while we're in high school, we start selling it and he withered away, lost like 30 pounds or something like that and just him and his girlfriend just hide out in the attic. They lived, they had an attic apartment. They would just hide out there and watch TV and do coconut oil, coke to people and I was like, well

Speaker 3:          00:05:58       fuck that drug, whatever that drug's doing. Like these people. It was almost like knowing someone who had gotten bitten by a vampire become something different. It was very strange. So my experience is seeing people do that led me to never do it. Yeah, I mean it certainly was not like that for me, but you know, I, I could see it over the horizon. You can. It's an incredibly addictive drug. So I think you've made the right call. Yeah, it seems a little. It's got a little too much gravity attached to it. Yeah, I mean, you, you, you can get hooked and it will bring you down. There are other drugs you can do. I'm not recommending drugs, but, uh, the way of my friend Sam, my, my half brother, Sam over there. Let me get to it.

