Speaker 1:          00:00:01       Want me to introduce you, ladies and gentlemen, the great Everlast. Hmm.

Speaker 2:          00:00:13       Okay.

Speaker 3:          00:01:05       Yes ma'am. Got to close back to stone black. Black Cow. The egg coffee. Oh, is she? Oh, she's

Speaker 2:          00:02:12       jazz lag. Joan. Jess lack and chunky. We'll see what bill was the south around here. Spanish. Oh, grass. Some remedial saddle fathers. And she says, she says she smell flowers.

Speaker 3:          00:03:00       Slack. Kismet. Slowly, softly flow. Since Shit backed though, by offering and the stone goes so much coffee. No, didn't, no copy

Speaker 4:          00:03:41       lag.

Speaker 3:          00:03:41       Gotcha.

Speaker 4:          00:04:00       We're full of that user. That's how it started. Can you hear me? Yeah. Okay. Can you hear me? Yeah. Just everything's a little off cause we're adjusted for music. Just want to make sure everything's cool. Notice we didn't know commercials. Fuck it. What kind of shirt are you wearing today? Joe is on a chart as podcast sponsored by on a.com. Go to [inaudible] dot com get yourself an orangutan. Kettlebell does the new ones and they, uh, there's $5 for each one of them goes to a foundation to, uh, to help save orangutans. Apparently a rank tanks are in trouble. So, uh, we decided that since we're buying these a, or selling these up, a primal bells there based on primates, we'll do some other ones. I don't want to tell you what the other things are, but they're not real life animals. But the ones that we're doing right now are all chimps, gorillas and orangutans.

Speaker 4:          00:04:53       Orangutans are in trouble. And so, uh, I guess they are. I mean, that's supposedly they're endangered. Oh, I thought you meant the kettle bell is in trouble. No, no, no. They're endangered. I mean, we still have the 1.5 pooed thing on it and I need to change that after we talked about it yesterday. I'm going to call, I'll worry about that shit today. It should say at least under it, it should say a 35 pounds, 50 pounds. He said like what the fuck's a poot. Especially if you're like a little check, but you've really liked gorillas and you're looking to get one m two poots that shit's heavy as fuck. You don't want me to swinging that around. Go to on a.com use the code word Rogan and save 10% off any and all supplements that we're selling. And again, $5 off of each orangutan kettle bell goes to help save or rank tents. I'm done with saving. Chimpanzees rang tans. I'm done with all that. I'm going with all of that man. We're also sponsored by legal zoom. Legal Zoom is a website that allows you to do a lot of things you would normally have to go to a lawyer for and you, you could do it all from your own computer. Like Shit, like, uh, incorporate form an LLC. You can actually get divorced. We're trying to get uncle creepy divorced through legal zoom. Ian Mccall,

Speaker 5:          00:05:58       uh, the MMA fighter was on the show. He's trying to get legal zoom to do is divorce. Um, I think, I think they'll down the problem. You got to do it by yourself. Essentially. You've got to go through the process. Um, you know, you have to fill out all the information, but then once you do that, if you get scrambled and you're like, Oh shit, I'm freaking out. I don't think this is legal. Legal Zoom will hook you up with an attorney. They'll connect you with an independent attorney if you need additional guidance. So they want to emphasize at legal. Zoom is not a law firm, but they provide self-help service at your specific direction. Meaning they let you understand and they, they talk you through the process of creating legal documents like wills or LLCs or things along those lines. And even divorces,

Speaker 6:          00:06:41       use the codeword Rogan and save yourself some money. Everlast is here, Ladies and gentlemen, my wrong thinking. Robert Shapiro started that. Or was he just in early like spokesperson? Is that true? I don't know. Let's look that up. I don't know. I don't, I have this sense. This was the early spokesman or he might've started it. Wow. Wow. It was a smart move. Yeah. But that's one of those things where you go, Ooh, hmm. Hmm. Do I want to be a, do I want to be connected with homeboy? What is Mark Furhman do these days? That'd be people don't find out like where people are like that aren't, you know, that notorious like people are, yeah. Let's see, it says jumped to legal zoom here. I guess he had something to do with it. Shapiro's one of the cofounders of legals Everlast deep inside the system, understanding all the behind the scenes. I just haven't smoked up that part of the brain yet. Dog and I saw that's a wrong, there was still a little Shapiro [inaudible] Shapiro knowledge left there somehow eat some fresh fruits and vegetables. I still live in like the car chase is going on like oh I'm living in the nineties brother hit the music. Hi. I

