Speaker 1:          00:04          Okay.

Speaker 2:          00:08          [inaudible]

Speaker 3:          00:18          I really like, it's like it's more than it is. It's like what they were afraid of was pirate radio where everyone can have their own radio station. You know, they wanted to control that, regulate that. I can't remember now, but now the podcast is way more pervasive than even just regular prior pirate pirate radio because you can listen to it when there's no radio signal. You can listen to her iPhone, iPad or an iPhone rather and, and, and keep that shit. You know in the gym you could, you could listen to it on planes so you could listen to it. You know, you could have an iPod and take it with you in the bathroom if you want to. You can go swimming with those fucking, they have waterproof iPod containers. You can listen to that shit while you're swimming. You know, there you need a reality show.

Speaker 3:          00:56          That's what you need to, you're a Weirdo. You're an interesting motherfucker. People would like to, I like to watch you have one. I know, but I'm saying you need one on TV. Someone needs to snatch that shut up and just follow you around with professional cameras and shit. I mean, the thing that you're doing, I'm mastering the system is cool and it's letting people know, oh no budget. He rolled budget, you know, there's a little budget. I am paying someone to put it together, but it's like minimal shit. You know what I mean? If there was some kind of budget, it would be nice where I can have someone, when I can just tell someone to do anything and like a, like a producer dude and I go, I want this. I want that. Once I get to the point where I have a guide that will just do everything that I say and I could afford a Pam or someone else's paying him once, then everything's going to go right because there's so much shit I want to do.

Speaker 3:          01:35          I just don't have time to do everything now. Right. Every day is packed with shit and I'm not even trying. Just everyday is just so busy. Yeah. Well the good thing is you're doing everything you wanted to. That's what you know, like the key to a happy life is, even though you're busy, you're still busy with things or you enjoy. Yeah. I'm not complaining at all. Matt, every day, every day. I love my last name and I'm not complaining. I'm just really busy. Yeah. It's just, it's, it's sometimes it's hard to, you know, I got calmed myself down and counseled myself. Dude, you're lucky. Motherfuckers smile. You should be laughing right now. You should be enjoying the moment right now. What the fuck are you doing? Stressing them out this and stressing about that. Forget about that. I got it every day. I got myself stripe stress though.

Speaker 3:          02:15          So what keeps you pushing forward? That's what makes you, what motivates you? That same drive, even though sometimes a fresh jar, it's all this energy that you built up to try to become successful. It's very hard to become successful and be really laid back at the same time. And a lot of times people just don't push far enough. It's just you've got to learn when to chill out and when not to. But in order to really push forward, you gotta be pretty intense, you know, to really get shit done. There's no way. It just, it's hard to be laid back and to get shit done. You know, you've got to get got to get her up, you know, just crazy man. Yeah. Crazy shit. It's all good stuff though. What's going on with you Brian? What's the latest? Get tired. Why are you tired? It's doing a lot of work. Work. I'm really busy. Like it's like you're in better shape. I've been working out. No, it's fine. He's been fucking and eating bananas.

Speaker 4:          03:01          Look at them. I see you haven't. This is what he does. Fucking go. Reladyne fucking eat bananas. Fuck three times in the drink. Sparkling Water and he eats bananas and he fucks in every now and then it goes to Starbucks, the gorilla diet. I've been making big commercial. I've been reading the Kalyan whatever diet, Paleo Sally and she a little commercial parody then you and Dunkin shoot. That would be fucking great. Your Diet. It's just soda water. Like Perrier bananas and Fucking Dude. That'd be a funny video. You could have champagne if you, this is what you, this is your workout routine. This is what you do. Show it like you gotta you gotta spend 10 minutes Doggy, 10 minutes fucking not an aerobic activity. Some sort of serious fucking that shit that's your, that's your was roam around alone. She's gotta be on top and she's got to keep moving and you've got at least thrust the hips, you know what I mean?

