Speaker 1:          00:00:02       Uh,

Speaker 2:          00:00:11       oh wow. I trust this guy. You just sense it when it happened. He tells me he gives me a countdown. Oh, okay. I see. Gives me countdown and then he does this. Oh, that's cool. I'm trying to bring that back. When you see, see people and you like him, you give him the double double guns. It's a hard, hard sell these days. Why? Everybody's scared of guns. Oh, you're saying it's funny. You know, like if the odds of you doing it, you have to do it within a certain amount of time from a mass shooting. Right? Like you couldn't do it the day of. I couldn't be like a columbine. You like dunk.

Speaker 2:          00:00:55       Wow. He's so morose. We're fucked up. Sense of humor that guy's got, he's making fun day. How could you, why is that funny to him? That is not fine. I can't believe you're fucking doing those signs to, can I sit down and talk to you for a second bro? Don't you think it's time? It's time to really talk about using these guns. Gestures because honestly, I know it's not really hurting anybody, but we have to pay respect to the people who've lost their lives in these terrible weapons and I just think we should remove it for rails. You just show me the replacement Emoji. Apple has a new Emoji. They got rid of the pistol and they put, they turn it into a water gun. I'll tell you, man, every time I looked at that whole pistol Emoji, and this is no joke, when I used to look at it, it just filled me with a desire to go shoot up a fucking shopping mall.

Speaker 2:          00:01:42       That Emoji, so I'm glad they got rid of it. Me. It made me want to go back to the old west. I wanted to be like a cowboy. Maybe if they had shopped, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait. Apple adds more gender diverse emojis in Ios 10 please explain to us Google with new Emoji to find the Waterpik and this is what came up first. Yeah. How dare you. How dare you bring this up. 100 new and redesigned emoji characters, including no more guns, but you know, female, female athletes. Okay. That's cool. Cool. Oh, so okay. Gender diverse. All right, well we'll do high for the show. I was thinking gender neutral. Gender diversity does buttes. Those are some sweet new emojis. That's actually cool. Nothing wrong with that. Emojis are weird. It's weird. One like friends start sending you emojis because like for the longest time guys never sent Emoji.

Speaker 2:          00:02:39       No Way. And now it's happening. I love him man. What a useful fucking thing. That animated gifs and the emojis praise God and heaven. It's so great. It saves so much time. It gets across so much more. Language is so limited, man. We have to like, it really is. I think we're going to hieroglyphs what do you eventually, yeah, I think that's what these emojis are. Yeah, right. Yeah. I think there are a modern version of hieroglyphs. That's right. Yeah. They articulate so much, you know, it's like very efficient form of language. It just needs to get a little deeper so that the emojis are animated a little bit so that they can, you can sort of tune in the Emoji to this specific thing you're trying to convey to somebody instead of just the smiley face, which they have in the Apple Watch. You can like kind of like, you can control it a little bit.

Speaker 2:          00:03:30       The Smiley face Emoji. You just need to be able to dial it in a little bit more. Do you think by limiting like by keeping it more open ended, right. Like instead of having a bunch of like descriptives nouns and verbs and things like that instead of that having more of an open ended idea, like a smiley face. Yeah, like a smiley face. Uh, and then knuckles, which is like, Yo give me some knuckles, I'll see you later. You know what I mean? Like you can kind of like keep it in this weird non undefined stay. Like we both know what it is but it's not, it's not written anywhere. Yeah. And it relieves you of having to like compose some sentence. Do I use an exclamation mark here? Should I use a comma? What do I need to say? I just want to get, I'm going to see him in like 20 minutes.

