Speaker 1:          00:00:00       Do we have enough left for tomorrow? We don't have tomorrow. I'll bring the sweet

Speaker 2:          00:00:07       Ben Shapiro. We are live. The people have spoken.

Speaker 2:          00:00:10       Well, thank you for having me. Thanks for being here, man. I became a fan of yours when I watched you. Um, uh, with what the fuck is his name? The CNN asshole. Piers Morgan. That was glorious when you went after him with the sandy hook thing, like right away. Immediately, like a, it was just glorious and you could tell that he didn't know what to do with it and he literally said, how dare you, which is what I say to people all the time when I'm joking you was one of my friends had it looked like he was clutching his pearls. He was really pissed. He was really good. It was a two segment interview and during the break I said to him, thanks so much for having me on any kind of growled at me. He was not a happy camper. He. Yeah. Well you crushed him.

Speaker 2:          00:00:50       And the other, one of my other favorite ones was Chelsea handler crushing him where she was literally talking like, you don't even talk to me in the break and the break. You're checking your phone and checking twitter and, and he, you could tell he was like, oh no, he just came from that Weird British tabloid environment and you found out that the company that he worked for did really creepy shit. Like check people's voicemails. They hacked into people's people who are dead and they gave the family false hope because they had checked the voicemail and they found out that someone checked in, they thought, oh, maybe she's still alive. And then we made him a host on like the x factor. I brought him on. CNN is awesome. I just don't make any decisions on, around why CNN thought that we have this fascination with British people.

Speaker 2:          00:01:31       Yes. If you have a British accent, we automatically add 20 points here. Icu. Yeah. They're great for like selling mops, late night and nonstick cookware. And I enjoyed John Oliver. I think John Oliver's great. And apparently he has a, you know, a lot of people think of all British accents as being the same, but he has like a blue collar British accent. But I don't, I, I can't tell the difference too much except for when I'm watching my fair lady or something. Well, I could tell people from Manchester and stuff like that because they, they, you know, they have like the sort of way of talking so fast that all the words kind of pile into each other. But uh, yeah, Oliver's, his uh, his recent one. Eddie Bravo got really mad at it. The recent one about, uh, Alex Jones is fucking hilarious. I don't know if you've seen it. It's almost impossible to make something not funny about Alex Jones. You've got to meet Alex. have you met him?

Speaker 2:          00:02:22       I don't know that given how much I've made fun of him. Fine. He says strip off his shirt and he might be, they'd calm down. You're a good guy. We're basically on the same team. He would come around if you remember the piers Morgan thing happened two nights after Alex was on Piers Morgan said, Elena. So appears was like flying high because he had that whole debate with Alex and Alex did his shtick and it was really over the top and he thought I was going to be like Alex Jones prior to and who's going to be peers succeeds again and Alex and I could not be more different than our britches. No, you're very rational and very reasonable and we've been talking about some your debates.
